"","gq","gqtypeg","farm","ownershg","nfams","ncouples","nmothers","nfathers","momloc","stepmom","momrule","poploc","steppop","poprule","sploc","sprule","famsize","nchild","nchlt5","famunit","nsibs","relateg","sex","raceg","marst","chborn","school","educrec","schltype","empstatg","labforce","classwkg","wkswork2","hrswork2","yrlastwk","workedyr","incfarm","migrat5g","movedin","vetstat","value","rent","ftotinc","eldch","yngch","age","occscore","sei","inctot","incwage","incbus","incss","incwelfr","incother","poverty","binaryClass"
"1128","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)","1","1","1","1","0","0","0","0","0","0","2","1","5","3","0","1","0","Head_Householder","Male","Black_Negro","Married_spouse_present","No_children","No_not_in_school","4+_years_of_college","Not_enrolled","Unemployed","Yes_in_labor_force","Works_for_wages_salary","50-52_weeks","40_hours","Worked_2_yrs_prior","No","0","Same_house","5","No_Service",4e+05,0,18000,9,5,60,33,48,0,0,0,0,0,0,122,"P"
"877","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)","1","1","1","1","2","0","1","1","0","1","0","0","5","0","0","1","2","Child","Male","White","Never_married_single","No_children","Yes_in_school","Grade_5-8","Public_school","Employed","Yes_in_labor_force","Works_for_wages_salary","50-52_weeks","40_hours","Never_worked","Yes","999999","Same_house","0","No_Service",225000,0,51000,99,99,11,0,0,0,999999,999999,99999,99999,99999,345,"P"
"8676","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)","1","1","1","1","0","0","0","0","0","0","0","0","6","0","0","1","0","Other_relatives","Male","White","Never_married_single","No_children","No_not_in_school","Grade_5-8","Not_enrolled","Employed","Yes_in_labor_force","Works_for_wages_salary","1-13_weeks","40_hours","Worked_current_yr","Yes","0","Moved_place_not_reported","0","No_Service",162500,0,45392,99,99,20,9,6,192,192,0,0,0,0,266,"P"
"7844","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented","3","0","1","0","1","0","1","0","0","0","0","0","4","0","0","1","2","Child","Male","Black_Negro","Never_married_single","No_children","No_not_in_school","1_to_3_years_of_college","Not_enrolled","Not_in_labor_force","No_not_in_labor_force","Works_for_wages_salary","50-52_weeks","40_hours","Worked_6-10_yrs_ago","No","0","Same_house","0","No_Service",999999,625,36200,99,99,20,0,0,8016,0,0,0,8016,0,278,"P"
"5921","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented","1","1","1","2","2","0","1","1","0","1","0","0","5","0","0","1","1","Child","Male","White","Never_married_single","No_children","Yes_in_school","Grade_5-8","Public_school","Employed","Yes_in_labor_force","Works_for_wages_salary","50-52_weeks","40_hours","Never_worked","Yes","999999","Moved_place_not_reported","0","No_Service",999999,875,75189,99,99,11,0,0,0,999999,999999,99999,99999,99999,496,"P"
"6525","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented","3","2","0","0","0","0","0","0","0","0","0","0","1","0","0","3","0","Partner_friend_visitor","Female","White","Never_married_single","No_children","No_not_in_school","Grade_12","Not_enrolled","Not_in_labor_force","No_not_in_labor_force","Works_for_wages_salary","50-52_weeks","40_hours","Never_worked","No","0","Moved_place_not_reported","0","No_Service",999999,675,28000,99,99,22,0,0,0,0,0,0,0,0,1,"P"
"5070","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)","1","1","1","1","0","0","0","0","0","0","1","1","4","2","0","1","0","Spouse","Female","White","Married_spouse_present","2__children","No_not_in_school","1_to_3_years_of_college","Not_enrolled","Employed","Yes_in_labor_force","Works_for_wages_salary","27-39_weeks","35-39_hours","Never_worked","Yes","0","Same_house","0","No_Service",4e+05,0,80250,20,14,47,21,66,8200,8200,0,0,0,0,501,"P"
"2899","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented","1","1","1","1","0","0","0","0","0","0","2","1","4","2","2","1","0","Head_Householder","Male","White","Married_spouse_present","No_children","No_not_in_school","Grade_5-8","Not_enrolled","Employed","Yes_in_labor_force","Works_for_wages_salary","50-52_weeks","41-48_hours","Never_worked","Yes","0","Same_house","2","No_Service",999999,387,11250,2,1,27,11,11,11250,11250,0,0,0,0,89,"P"
"7074","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)","1","1","0","0","0","0","0","0","0","0","2","1","2","0","0","1","0","Head_Householder","Male","White","Married_spouse_present","No_children","No_not_in_school","Grade_5-8","Not_enrolled","Not_in_labor_force","No_not_in_labor_force","Works_for_wages_salary","50-52_weeks","40_hours","Worked_6-10_yrs_ago","No","0","Same_house","6","No_Service",187500,0,11068,99,99,71,0,0,7684,0,0,7224,460,0,148,"P"
"4649","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)","1","1","2","1","2","0","1","1","0","1","0","0","7","0","0","1","3","Child","Male","White","Never_married_single","No_children","Yes_in_school","Grade_12","Public_school","Unemployed","Yes_in_labor_force","Works_for_wages_salary","1-13_weeks","40_hours","Worked_current_yr","Yes","0","Moved_place_not_reported","0","No_Service",137500,0,85216,99,99,23,24,47,0,0,0,0,0,0,415,"P"
"2158","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented","1","1","1","1","2","0","1","1","0","1","0","0","4","0","0","1","1","Child","Male","White","Never_married_single","No_children","Yes_in_school","Grade_5-8","Public_school","Employed","Yes_in_labor_force","Works_for_wages_salary","50-52_weeks","40_hours","Never_worked","Yes","999999","Same_house","0","No_Service",999999,675,62721,99,99,13,0,0,0,999999,999999,99999,99999,99999,499,"P"
"3475","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","Head_Householder","Male","Chinese","Divorced","No_children","Yes_in_school","4+_years_of_college","Public_school","Employed","Yes_in_labor_force","Self-employed","50-52_weeks","49-59_hours","Never_worked","Yes","0","Moved_place_not_reported","1","No_Service",999999,625,40000,99,99,34,25,44,40000,0,40000,0,0,0,501,"P"
"1947","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)","1","1","1","0","3","0","1","0","0","0","2","1","3","0","0","1","0","Head_Householder","Male","White","Married_spouse_present","No_children","Yes_in_school","4+_years_of_college","Public_school","Not_in_labor_force","No_not_in_labor_force","Works_for_wages_salary","14-26_weeks","40_hours","Worked_previous_yr","Yes","0","Same_house","6","Yes",225000,0,41411,99,99,51,26,72,24219,2375,0,0,0,0,427,"P"
"2579","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","Head_Householder","Female","Black_Negro","Divorced","No_children","No_not_in_school","4+_years_of_college","Not_enrolled","Employed","Yes_in_labor_force","Works_for_wages_salary","50-52_weeks","40_hours","Worked_current_yr","Yes","0","Moved_place_not_reported","2","Yes",999999,512,47958,99,99,35,19,46,47958,47908,0,0,0,0,501,"P"
"1529","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)","1","1","1","1","0","0","0","0","0","0","2","1","4","2","0","1","0","Head_Householder","Male","White","Married_spouse_present","No_children","No_not_in_school","Grade_5-8","Not_enrolled","Employed","Yes_in_labor_force","Works_for_wages_salary","50-52_weeks","40_hours","Never_worked","Yes","0","Same_house","6","No_Service",85000,0,39892,20,18,45,23,18,32700,32000,0,0,0,0,312,"P"
"7288","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented","1","1","0","0","0","0","0","0","0","0","1","1","2","0","0","1","0","Spouse","Female","White","Married_spouse_present","1_child","No_not_in_school","Grade_12","Not_enrolled","Employed","Yes_in_labor_force","Works_for_wages_salary","50-52_weeks","35-39_hours","Never_worked","Yes","0","Same_house","0","No_Service",999999,725,74700,99,99,71,41,68,17000,13000,0,4000,0,0,501,"N"
"4632","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","Head_Householder","Male","White","Divorced","No_children","No_not_in_school","1_to_3_years_of_college","Not_enrolled","Employed","Yes_in_labor_force","Self-employed","50-52_weeks","49-59_hours","Never_worked","Yes","0","Moved_place_not_reported","1","No_Service",999999,1000,48373,99,99,39,41,68,48373,48373,0,0,0,0,501,"P"
"6518","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented","1","2","2","2","0","0","0","0","0","0","3","1","7","1","0","1","0","Parent","Female","Other_Asian_or_Pacific","Married_spouse_present","5","No_not_in_school","Grade_12","Not_enrolled","Not_in_labor_force","No_not_in_labor_force","Works_for_wages_salary","50-52_weeks","40_hours","Never_worked","No","0","Moved_place_not_reported","0","No_Service",999999,1000,2005,41,41,63,0,0,0,0,0,0,0,0,10,"P"
"4343","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented","1","1","1","1","2","0","1","1","0","1","0","0","6","0","0","1","3","Child","Female","White","Never_married_single","No_children","No_not_in_school","1_to_3_years_of_college","Not_enrolled","Employed","Yes_in_labor_force","Works_for_wages_salary","50-52_weeks","40_hours","Never_worked","Yes","999999","Moved_place_not_reported","0","No_Service",999999,875,23189,99,99,2,0,0,0,999999,999999,99999,99999,99999,140,"P"
"1221","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented","1","1","1","1","2","0","1","1","0","1","0","0","10","0","0","1","7","Child","Female","White","Never_married_single","No_children","No_not_in_school","Grade_5-8","Not_enrolled","Unemployed","Yes_in_labor_force","Works_for_wages_salary","50-52_weeks","40_hours","Never_worked","No","0","Moved_place_not_reported","0","No_Service",999999,337,32870,99,99,20,0,0,0,0,0,0,0,0,122,"P"
"2857","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)","1","1","1","1","2","0","1","1","0","1","0","0","4","0","0","1","1","Child","Male","Black_Negro","Never_married_single","No_children","Yes_in_school","None_or_preschool","Public_school","Employed","Yes_in_labor_force","Works_for_wages_salary","50-52_weeks","40_hours","Never_worked","Yes","999999","Moved_place_not_reported","0","No_Service",187500,0,93600,99,99,6,0,0,0,999999,999999,99999,99999,99999,501,"P"
"5399","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)","1","0","1","0","0","0","0","0","0","0","0","0","2","1","0","1","0","Parent","Female","White","Widowed","4","No_not_in_school","Grade_12","Not_enrolled","Not_in_labor_force","No_not_in_labor_force","Works_for_wages_salary","50-52_weeks","40_hours","Never_worked","No","0","Moved_place_not_reported","0","No_Service",4e+05,0,333831,42,42,69,0,0,4800,0,0,0,4800,0,501,"P"
"525","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented","1","2","2","2","0","0","0","0","0","0","2","1","7","2","1","1","1","Head_Householder","Male","White","Married_spouse_present","No_children","No_not_in_school","1_to_3_years_of_college","Not_enrolled","Employed","Yes_in_labor_force","Works_for_wages_salary","50-52_weeks","40_hours","Never_worked","Yes","0","Same_house","5","No_Service",999999,675,45500,5,1,29,27,22,8000,8000,0,0,0,0,230,"N"
"1068","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented","1","0","1","0","1","0","1","0","0","0","0","0","7","0","0","1","3","Child","Female","White","Never_married_single","No_children","No_not_in_school","4+_years_of_college","Not_enrolled","Employed","Yes_in_labor_force","Works_for_wages_salary","50-52_weeks","40_hours","Never_worked","Yes","0","Moved_place_not_reported","0","No_Service",999999,875,37000,99,99,36,61,93,10000,10000,0,0,0,0,184,"P"
"5521","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented","1","1","0","0","0","0","0","0","0","0","1","1","2","0","0","1","0","Spouse","Female","White","Married_spouse_present","No_children","No_not_in_school","4+_years_of_college","Not_enrolled","Not_in_labor_force","No_not_in_labor_force","Works_for_wages_salary","50-52_weeks","40_hours","Worked_previous_yr","Yes","0","Moved_place_not_reported","0","No_Service",999999,537,18000,99,99,24,23,18,5000,5000,0,0,0,0,217,"P"
"8213","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)","1","1","1","1","2","0","1","1","0","1","0","0","5","0","0","1","2","Child","Female","White","Never_married_single","No_children","Yes_in_school","1_to_3_years_of_college","Public_school","Not_in_labor_force","No_not_in_labor_force","Works_for_wages_salary","50-52_weeks","40_hours","Never_worked","No","0","Same_house","0","No_Service",4e+05,0,90000,99,99,21,0,0,0,0,0,0,0,0,501,"P"
"5837","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented","1","1","1","1","0","0","0","0","0","0","2","1","5","3","0","1","0","Head_Householder","Male","White","Married_spouse_present","No_children","No_not_in_school","Grade_12","Not_enrolled","Employed","Yes_in_labor_force","Works_for_wages_salary","50-52_weeks","60+_hours","Never_worked","Yes","0","Moved_place_not_reported","1","Yes",999999,875,38000,17,9,47,22,10,36000,11000,7000,0,0,0,257,"N"
"5861","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented","1","1","0","0","0","0","0","0","0","0","1","1","2","0","0","1","0","Spouse","Female","White","Married_spouse_present","No_children","No_not_in_school","4+_years_of_college","Not_enrolled","Employed","Yes_in_labor_force","Works_for_wages_salary","40-47_weeks","40_hours","Never_worked","Yes","0","Moved_place_not_reported","0","No_Service",999999,575,58300,99,99,27,26,72,18100,18000,0,0,0,0,501,"P"
"6336","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)","1","1","0","0","0","0","0","0","0","0","2","1","2","0","0","1","0","Head_Householder","Male","Chinese","Married_spouse_present","No_children","No_not_in_school","1_to_3_years_of_college","Not_enrolled","Employed","Yes_in_labor_force","Works_for_wages_salary","50-52_weeks","40_hours","Never_worked","Yes","0","Same_house","6","No_Service",275000,0,58000,99,99,41,25,44,34000,34000,0,0,0,0,501,"P"
"5490","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented","1","2","2","2","0","0","0","0","0","0","6","1","9","1","0","1","1","Sibling","Male","White","Married_spouse_present","No_children","No_not_in_school","Grade_10","Not_enrolled","Employed","Yes_in_labor_force","Works_for_wages_salary","48-49_weeks","40_hours","Worked_current_yr","Yes","0","Moved_place_not_reported","0","No_Service",999999,575,47000,5,5,29,28,22,24000,24000,0,0,0,0,183,"P"
"7493","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented","1","1","1","1","0","0","0","0","0","0","1","1","4","2","2","1","0","Spouse","Female","White","Married_spouse_present","2__children","Yes_in_school","Grade_5-8","Public_school","Not_in_labor_force","No_not_in_labor_force","Works_for_wages_salary","50-52_weeks","40_hours","Worked_3-5_yrs_ago","No","0","Moved_place_not_reported","0","No_Service",999999,362,29000,3,0,26,22,18,0,0,0,0,0,0,231,"P"
"1790","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)","1","1","1","1","1","3","1","2","0","1","0","0","4","0","0","1","1","Child","Male","White","Never_married_single","No_children","Yes_in_school","Grade_11","Public_school","Employed","Yes_in_labor_force","Works_for_wages_salary","50-52_weeks","15-29_hours","Never_worked","No","0","Moved_place_not_reported","0","No_Service",275000,0,122208,99,99,18,10,19,0,0,0,0,0,0,501,"P"
"4938","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented","1","1","0","0","0","0","0","0","0","0","2","1","2","0","0","1","0","Head_Householder","Male","White","Married_spouse_present","No_children","No_not_in_school","1_to_3_years_of_college","Not_enrolled","Unemployed","Yes_in_labor_force","Works_for_wages_salary","50-52_weeks","40_hours","Worked_2_yrs_prior","No","0","Moved_place_not_reported","2","No_Service",999999,625,31000,99,99,29,16,15,0,0,0,0,0,0,373,"P"
"464","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)","1","0","0","1","0","0","0","1","0","1","0","0","5","0","0","1","2","Child","Male","Other_Asian_or_Pacific","Never_married_single","No_children","Yes_in_school","Grade_1-4","Public_school","Employed","Yes_in_labor_force","Works_for_wages_salary","50-52_weeks","40_hours","Never_worked","Yes","999999","Same_house","0","No_Service",350000,0,43350,99,99,9,0,0,0,999999,999999,99999,99999,99999,293,"P"
"7975","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)","1","1","0","0","0","0","0","0","0","0","2","1","2","0","0","1","0","Head_Householder","Male","White","Married_spouse_present","No_children","No_not_in_school","Grade_12","Not_enrolled","Employed","Yes_in_labor_force","Works_for_wages_salary","50-52_weeks","41-48_hours","Never_worked","Yes","0","Same_house","6","No_Service",350000,0,42600,99,99,52,21,18,42600,32000,10000,0,0,0,501,"P"
"3862","Institution","Institution_(1990)","Non-Farm","Rented","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","Institutional_inmates","Male","White","Never_married_single","No_children","Yes_in_school","Grade_5-8","Public_school","Employed","Yes_in_labor_force","Works_for_wages_salary","50-52_weeks","40_hours","Never_worked","Yes","999999","Same_house","0","No_Service",999999,0,999999,99,99,15,0,0,0,999999,999999,0,0,0,0,"P"
"8275","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented","1","1","1","1","2","0","1","1","3","1","0","0","4","0","0","1","0","Child","Female","White","Never_married_single","No_children","Yes_in_school","Grade_1-4","Public_school","Employed","Yes_in_labor_force","Works_for_wages_salary","50-52_weeks","40_hours","Never_worked","Yes","999999","Same_house","0","No_Service",999999,337,25800,99,99,7,0,0,0,999999,999999,99999,99999,99999,198,"P"
"1894","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","Head_Householder","Male","White","Never_married_single","No_children","No_not_in_school","4+_years_of_college","Not_enrolled","Employed","Yes_in_labor_force","Self-employed","50-52_weeks","41-48_hours","Never_worked","Yes","0","Moved_place_not_reported","2","No_Service",4e+05,0,133515,99,99,40,61,93,133515,0,123515,0,0,0,501,"P"
"3100","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented","1","1","1","1","0","0","0","0","0","0","1","1","5","3","0","1","0","Spouse","Female","White","Married_spouse_present","3","No_not_in_school","Grade_12","Not_enrolled","Employed","Yes_in_labor_force","Works_for_wages_salary","1-13_weeks","40_hours","Never_worked","Yes","0","Same_house","0","No_Service",999999,387,16587,13,8,45,24,47,2617,2617,0,0,0,0,112,"P"
"3989","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)","2","1","1","1","2","0","1","1","0","1","0","0","5","0","0","1","2","Child","Male","White","Never_married_single","No_children","Yes_in_school","Grade_1-4","Public_school","Employed","Yes_in_labor_force","Works_for_wages_salary","50-52_weeks","40_hours","Never_worked","Yes","999999","Moved_place_not_reported","0","No_Service",4e+05,0,227716,99,99,11,0,0,0,999999,999999,99999,99999,99999,501,"P"
"6876","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)","1","1","1","1","0","0","0","0","0","0","2","1","5","3","1","1","0","Head_Householder","Male","White","Married_spouse_present","No_children","No_not_in_school","1_to_3_years_of_college","Not_enrolled","Employed","Yes_in_labor_force","Works_for_wages_salary","50-52_weeks","40_hours","Never_worked","Yes","0","Moved_place_not_reported","2","No_Service",225000,0,60600,16,2,37,32,49,36000,36000,0,0,0,0,410,"P"
"6763","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented","1","1","1","1","0","0","0","0","0","0","1","1","6","4","2","1","0","Spouse","Female","Black_Negro","Married_spouse_present","4","No_not_in_school","Grade_1-4","Not_enrolled","Employed","Yes_in_labor_force","Works_for_wages_salary","50-52_weeks","15-29_hours","Never_worked","Yes","0","Same_house","0","No_Service",999999,412,25476,8,1,31,22,18,6356,6356,0,0,0,0,154,"P"
"1327","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented","1","1","0","0","0","0","0","0","0","0","0","0","6","0","0","1","0","Grandchild","Male","Other_Asian_or_Pacific","Never_married_single","No_children","Yes_in_school","None_or_preschool","Public_school","Employed","Yes_in_labor_force","Works_for_wages_salary","50-52_weeks","40_hours","Never_worked","Yes","999999","Moved_place_not_reported","0","No_Service",999999,675,4224,99,99,6,0,0,0,999999,999999,99999,99999,99999,25,"P"
"8748","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented","1","1","0","0","0","0","0","0","0","0","1","1","2","0","0","1","0","Spouse","Female","White","Married_spouse_present","No_children","Yes_in_school","1_to_3_years_of_college","Public_school","Employed","Yes_in_labor_force","Works_for_wages_salary","48-49_weeks","15-29_hours","Never_worked","Yes","0","Moved_place_not_reported","0","No_Service",999999,512,45000,99,99,27,14,26,10000,10000,0,0,0,0,501,"P"
"8478","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)","1","1","0","0","0","0","0","0","0","0","0","0","4","0","0","1","2","Sibling","Female","Other_Asian_or_Pacific","Never_married_single","No_children","Yes_in_school","Grade_1-4","Public_school","Employed","Yes_in_labor_force","Works_for_wages_salary","50-52_weeks","40_hours","Never_worked","Yes","999999","Moved_place_not_reported","0","No_Service",350000,0,230060,99,99,9,0,0,0,999999,999999,99999,99999,99999,501,"P"
"6472","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented","1","1","1","1","0","0","0","0","0","0","2","1","4","1","0","1","0","Head_Householder","Male","White","Married_spouse_present","No_children","No_not_in_school","Grade_5-8","Not_enrolled","Employed","Yes_in_labor_force","Works_for_wages_salary","14-26_weeks","40_hours","Never_worked","Yes","0","Moved_place_not_reported","2","No_Service",999999,437,7500,25,25,36,22,18,7500,7500,0,0,0,0,59,"N"
