"","df_factors","Latitude","Altitude","Rainfall","Frosts","Year","PMCno","DBH","Ht","Surv","Vig","Ins_res","Stem_Fm","Crown_Fm","Brnch_Fm","Utility"
"104","fa",-39.8333333333333,70,1000,-2,1981,1482,23,11,13,3,3.5,2,1,1,"0"
"717","pu",-39.7166666666667,150,900,-2,1986,3272,33.68,14.41,47.5373695248695,2.7668782895216,2.66192335653095,2.73223491213137,3.15482451919293,2.64091294505741,"0"
"492","am",-41.2666666666667,300,1200,-3,1982,2560,11.66,7.27,100,3,3,2,3,2,"0"
"616","cr",-40,150,1300,-2,1983,1252,26.05,12.15,10,3,3,2.5,3.3,3,"0"
"615","co",-40,150,1300,-2,1983,2562,38.79,14.56,50,3.9,3.6,3.2,3.5,2.4,"1"
"465","ob",-41.1333333333333,220,1050,-2,1983,1522,7.6,3.76,63,2,3,3,3,3,"0"
"525","fa",-41.2666666666667,300,1200,-3,1982,2548,10.08,6.52,50,3,3,4,4,4,"0"
"176","fr",-40.95,180,1080,-3,1981,1786,17.74,9.99,100,5,3,3,2.5,2,"1"
"345","rd",-40.6,150,1250,-3,1983,2575,6.87,9.4,50,1.5,3,2,2,2,"0"
"110","ka",-39.8333333333333,70,1000,-2,1981,1171,10.4,6.4,75,1.7,1.5,0,0,0,"0"
"84","fr",-39.8333333333333,70,1000,-2,1981,1339,17.3,13.2,71,3.3,3,3,3,3,"0"
"29","rd",-39.6333333333333,100,850,-2,1980,1524,12.39,5.55,80,3,2.5,2,2,2,"0"
"141","re",-39.8333333333333,70,1000,-2,1981,2482,16.4,12.1,88,4.8,3,3.3,3.5,2,"1"
"252","re",-41.2,160,1000,-3,1981,2428,10.9,9.8,4,3,2.5,2,3,4,"0"
"620","ni",-40,150,1300,-2,1983,2568,40.08,12.27,50,4.1,2.5,2.3,2.6,1.7,"1"
"304","bxs",-40.95,180,1080,-3,1982,1111,12.26,6.81,71,4.2,3,3,2,2,"0"
"545","sm",-41.2666666666667,300,1200,-3,1982,1340,1.56,2.16,50,1,2,2,2,3,"0"
"557","ka",-41.2666666666667,300,1200,-3,1982,2631,5.75,4.26,75,2,3,2,2,2,"0"
"661","rd",-40.95,180,1080,-3,1981,2575,7.94,6.16,51,2.5,2,2.5,4.5,4,"0"
"287","br",-40.95,180,1080,-3,1982,2621,3.31,4.34,50,3,2.5,3,3,3,"0"
"614","rd",-40,150,1300,-2,1983,2575,13.81,10.62,10,1.5,3,2,4,3,"0"
"145","si",-39.8333333333333,70,1000,-2,1981,2435,20.3,13.6,63,4,2.7,3,2.5,2,"1"
"329","sm",-40.95,180,1080,-3,1982,1340,7.58,6.06,38,2,2,3,3,3,"0"
"487","rd",-41.1333333333333,220,1050,-2,1983,2575,15.93,9.1,88,3,3,2,2.5,2.5,"0"
"630","bxs",-40.95,180,1080,-3,1981,1111,2.84,3.41,3,1,2,3,3,3,"0"
"498","fa",-41.2666666666667,300,1200,-3,1982,1482,6.52,5.81,100,3,3,3,3,3,"1"
"619","ni",-40,150,1300,-2,1983,2547,42.95,13.91,50,4.2,2.8,2,2.5,1.7,"1"
"576","am",-40,150,1300,-2,1983,2560,24.94,14.33,10,3,4,3.5,4,3,"1"
"490","re",-41.1333333333333,220,1050,-2,1983,2574,7.22,4.1,57,3,3,2,3,2,"0"
"103","el",-39.8333333333333,70,1000,-2,1981,1338,13.5,10,13,3,4,3,4,3.3,"0"
"316","rd",-40.95,180,1080,-3,1982,2575,6.97,5.32,50,2,3.5,2,3,3,"0"
"51","ob",-39,200,1400,-2,1980,1522,30.48,12.09,68.6790642383477,4.5,4,3.5,3.5,2.5,"1"
"290","fa",-40.95,180,1080,-3,1982,2548,22.23,12.82,100,5,4,3,3,2,"1"
"650","nd",-40.95,180,1080,-3,1981,1596,17.27,9.01,48,3.5,3,3.3,4,3,"1"
"735","ob",-40.6,100,1250,-2,1983,1522,27.36,11.49,67,4.7,3.3,3.4,3.4,3,"1"
"282","rd",-41.2,160,1000,-3,1981,1524,11.8,7.4,88,2.5,2,2.5,3,3,"0"
"143","ro",-39.8333333333333,70,1000,-2,1981,1192,12.2,4.4,75,3,2,3,2.5,2.5,"0"
"442","fa",-41.1333333333333,220,1050,-2,1983,1482,22.62,8.83,88,2,3,3,3,3,"0"
"285","bxs",-40.95,180,1080,-3,1982,1111,6.02,3.63,38,2.5,3,3,3,3,"0"
"48","mn",-39,200,1400,-2,1980,1362,26.5,10.97,69.8547368485411,3.5,3.5,3.7,4,3.7,"1"
"501","ka",-41.2666666666667,300,1200,-3,1982,2631,17.83,6.56,75,4,2,1,1,1,"0"
"511","re",-41.2666666666667,300,1200,-3,1982,2550,9.84,8.68,75,2,2,4,4,4,"0"
"295","nd",-40.95,180,1080,-3,1982,2635,7.48,3.74,25,3,3.5,3,4,3.5,"0"
"536","ov",-41.2666666666667,300,1200,-3,1982,1785,2.56,2.91,75,1,1,2,2,3,"0"
"214","br",-41.2,160,1000,-3,1981,1112,13,11.1,100,3,2,3.5,3,3,"0"
"339","ob",-40.6,150,1250,-3,1983,1522,19.13,10.66,38,3.5,3,2.5,2.5,2,"1"
"346","fr",-40.6,150,1250,-3,1983,2552,31.87,20.52,25,3.7,3.5,2.5,2.5,1.5,"0"
"43","ov",-39,200,1400,-2,1980,1521,31.38,13.32,68.686658673972,4.3,2.7,4,3.5,3.3,"1"
"1","co",-39.6333333333333,100,850,-2,1980,1520,18.45,9.96,40,4,3,3.5,4,3.5,"1"
"674","nd",-39.7166666666667,150,900,-2,1986,3068,4.14,1.89,49.0318149681759,2.78492406565184,2.6717184066796,2.74373897453957,3.13651873976939,2.64783732264779,"0"
"590","ov",-40,150,1300,-2,1983,1788,31.05,15.25,30,3.2,1.8,2.8,3.5,2.9,"0"
"628","ov",-40,150,1300,-2,1983,2571,41.87,15.25,30,4.2,2.8,2.6,3.3,2.2,"1"
"233","rd",-41.2,160,1000,-3,1981,1524,6.5,7,50,2.5,2.5,3,3,3,"0"
"293","nd",-40.95,180,1080,-3,1982,1596,12.21,8.72,75,3.3,3.5,3,4,3.5,"1"
"573","rd",-41.2666666666667,300,1200,-3,1982,2575,9.63,5.11,50,1,0.5,2,2,2,"0"
"369","am",-40.6,150,1250,-3,1983,1592,18.4,14.18,50,3.5,3.2,2,2.5,1.5,"1"
"451","pa",-41.1333333333333,220,1050,-2,1983,2750,12.8,7.25,50,2.3,4.5,2.5,3,3,"0"
"86","fr",-39.8333333333333,70,1000,-2,1981,2447,19.8,10.7,75,4.5,3,3,3,2.5,"1"
"483","ob",-41.1333333333333,220,1050,-2,1983,2570,18.3,9.06,50,3.5,3,2.5,3,2.5,"0"
"327","re",-40.95,180,1080,-3,1982,2574,15.26,14.08,25,3,4,4,4,3,"1"
"622","nd",-40,150,1300,-2,1983,2569,31.33,10.2,10,3.5,4,3,4,3,"1"
"355","nd",-40.6,150,1250,-3,1983,2569,15.15,15.82,75,3,3,3.1,3.4,3,"1"
"49","nd",-39,200,1400,-2,1980,1596,24.42,7.85,68.1336620878923,3,3.5,3.3,3.3,3.3,"1"
"361","pa",-40.6,150,1250,-3,1983,2750,29.47,14.67,88,4,4,3,3,1.7,"1"
"655","ov",-40.95,180,1080,-3,1981,2622,11.07,8.95,70,3,2,2.5,4,3,"1"
"242","fa",-41.2,160,1000,-3,1981,1482,15.4,15.8,4,3,3,3,3,3,"0"
"440","co",-41.1333333333333,220,1050,-2,1983,2562,19.64,11.02,100,4,3,3,3,3,"1"
"247","ka",-41.2,160,1000,-3,1981,1171,6.6,5.8,2,3,2.5,2.5,3,0.5,"0"
"219","fr",-41.2,160,1000,-3,1981,1339,13.7,9.9,88,4,3,2.5,2.5,2.5,"0"
"135","nd",-39.8333333333333,70,1000,-2,1981,1596,15.1,12.3,88,3.5,3,3.3,4,4,"1"
"713","nd",-39.7166666666667,150,900,-2,1986,3271,12.2,5.56,47.5408428652375,2.76678847123092,2.66180489891273,2.73211946823475,3.15455742511804,2.64078359124242,"0"
"711","co",-39.7166666666667,150,900,-2,1986,2562,29.11,12.28,52.756465790917,2.83051008588969,2.69678470838767,2.77306913491745,3.09193427238327,2.66576851850483,"0"
"377","ob",-40.6,150,1250,-3,1983,1522,21.7,17.33,25,3.3,3,3,3,3,"1"
"408","nd",-40.95,180,1080,-3,1983,1596,7.83,6.79,100,3,3,3.5,4.5,3.5,"1"
"654","ov",-40.95,180,1080,-3,1981,2571,12.72,10.6,37,3,2,3.5,4.5,4.3,"1"
"565","ov",-41.2666666666667,300,1200,-3,1982,1785,3.03,1.75,75,1,2,2,2,2,"0"
"467","ov",-41.1333333333333,220,1050,-2,1983,2571,16.15,6.19,100,3,2.3,3,4,4,"1"
"356","ni",-40.6,150,1250,-3,1983,2568,20.46,19.26,50,3,2.2,3.3,3.3,3,"1"
"130","fr",-39.8333333333333,70,1000,-2,1981,1339,23.9,12.7,37,4,3,3,3,3,"1"
"65","nd",-40.1833333333333,130,1000,-3,1980,1596,20.4,10.2,60,4,4,3,3,2.5,"1"
"359","ov",-40.6,150,1250,-3,1983,1788,16.99,16.52,25,3,2.7,3.2,3.7,3.2,"0"
"722","te",-39.7166666666667,150,900,-2,1986,2768,26.37,9.89,51.2413198606449,2.81200774564848,2.68663254150633,2.76118278055278,3.11014152162919,2.65852016392152,"0"
"124","bxs",-39.8333333333333,70,1000,-2,1981,1111,14.2,10.8,100,3,2.8,3.3,3.3,3,"1"
"77","ag",-39.8333333333333,70,1000,-2,1981,1094,3.4,5.5,50,1,1,3,3,3,"0"
"218","fa",-41.2,160,1000,-3,1981,1482,15.9,8.8,75,4,3,3,2,2.5,"1"
"194","jo",-40.95,180,1080,-3,1981,1595,2.29,2.67,75,2.5,1.5,3,4,4,"0"
"19","rd",-39.6333333333333,100,850,-2,1980,1524,8.23,6.5,70,2,2,3.3,4,3.5,"0"
"273","ob",-41.2,160,1000,-3,1981,2469,5.7,5.6,100,3,2.5,4,5,4,"1"
"418","re",-40.95,180,1080,-3,1983,2553,4.79,4.36,38,2,3.5,3.5,4,3.5,"0"
"543","re",-41.2666666666667,300,1200,-3,1982,2574,10.07,12.74,100,2.5,2.5,5,5,5,"1"
"419","rd",-40.95,180,1080,-3,1983,2575,6.7,6.83,75,2.7,2.7,3,3.5,3.5,"0"
"403","cr",-40.95,180,1080,-3,1983,1252,5.36,4.61,63,3,3,2,2,3,"0"
"587","nd",-40,150,1300,-2,1983,2635,20.4,10.2,10,3.3,4.5,3.3,4,3.5,"1"
"16","ob",-39.6333333333333,100,850,-2,1980,1522,13.08,9.79,90,5,4.5,5,4,4,"1"
"705","am",-39.7166666666667,150,900,-2,1986,3266,20.16,9.21,47.5790790177387,2.76730509618199,2.66211436889086,2.73247306356883,3.15418264917282,2.64102137417648,"0"
"138","ov",-39.8333333333333,70,1000,-2,1981,1785,10.5,7.6,88,2.3,2,3,3.5,3,"0"
"500","ka",-41.2666666666667,300,1200,-3,1982,1171,10.81,3.45,100,3,2,1,1,1,"0"
"229","re",-41.2,160,1000,-3,1981,2430,14,13,63,5,3,3,2,2.5,"1"
"423","cr",-40.95,180,1080,-3,1983,1252,5.86,5.61,50,3,4,2.5,2.5,3,"0"
"421","am",-40.95,180,1080,-3,1983,2560,13.13,11.49,88,3,4,3,4,4,"1"
"140","re",-39.8333333333333,70,1000,-2,1981,1787,21.8,13.8,100,5,3,3,3,2,"1"
"126","br",-39.8333333333333,70,1000,-2,1981,1113,9.6,7,100,2.6,2,3,3,3,"0"
"693","nd",-39.7166666666667,150,900,-2,1986,2569,27.79,12.65,52.7048584149,2.82987555465323,2.69643428185623,2.77265960879417,3.09254706177131,2.66551686010395,"0"
"508","ov",-41.2666666666667,300,1200,-3,1982,1785,8.65,5.95,100,1.5,1,3,3,3,"0"
"592","pu",-40,150,1300,-2,1983,2573,32.97,14.24,40,3.2,4,3.1,3.3,3,"1"
"271","nd",-41.2,160,1000,-3,1981,1596,10.4,9.4,100,4,3,2,3.5,3,"1"
"607","ob",-40,150,1300,-2,1983,2570,49.88,14.05,10,4,4.5,3,4,3,"1"
"577","co",-40,150,1300,-2,1983,2562,29.22,13.58,30,3.6,3.8,3.5,3.9,3.7,"1"
"512","re",-41.2666666666667,300,1200,-3,1982,1352,4.98,4.05,75,2,2.5,3,3,3,"0"
"629","re",-40,150,1300,-2,1983,2550,9.99,5.33,10,1.5,2.5,3,3,3,"0"
"504","nd",-41.2666666666667,300,1200,-3,1982,2635,8.58,7.48,100,3.5,3,2.5,3.5,3,"1"
"457","co",-41.1333333333333,220,1050,-2,1983,2562,17.62,9.9,88,3.3,3.3,3,3.5,3.3,"1"
"358","ob",-40.6,150,1250,-3,1983,2570,22.98,19.9,50,4,2.7,3.5,3.3,3.5,"1"
"127","el",-39.8333333333333,70,1000,-2,1981,1338,18.9,9,13,2,3.5,3,3.5,3,"0"
"41","ni",-39,200,1400,-2,1980,2088,31.74,11.69,64.5177931207747,4,2.5,3,3,2,"1"
"548","bxs",-41.2666666666667,300,1200,-3,1982,1111,11.9,7.2,100,3,2,3,3,3,"0"
"305","br",-40.95,180,1080,-3,1982,2620,3.54,3.43,100,2.5,2,3.3,3.3,3.3,"0"
"413","ov",-40.95,180,1080,-3,1983,1788,16.16,10.98,13,3.5,2.5,3,4,3,"1"
"651","nd",-40.95,180,1080,-3,1981,2634,11.84,9.13,18,2.5,3.5,2.5,3.5,3,"0"
"309","nd",-40.95,180,1080,-3,1982,1596,5.73,4.98,75,2.7,3,3,4,3,"0"
"441","cr",-41.1333333333333,220,1050,-2,1983,1252,14.13,8.85,100,3,2.5,1.5,2,2,"0"
"117","re",-39.8333333333333,70,1000,-2,1981,2482,17,14.1,88,4.5,3,3.7,3.7,3.7,"1"
"566","ov",-41.2666666666667,300,1200,-3,1982,2571,6.41,3.26,75,2,2,2,2,2,"0"
"470","rd",-41.1333333333333,220,1050,-2,1983,2575,13.31,8.75,75,2.8,3,2.5,3,2.5,"0"
"336","nd",-40.6,150,1250,-3,1983,2569,17.83,11.8,50,3,3,3,4,2.5,"1"
"349","am",-40.6,150,1250,-3,1983,1592,24.95,19.69,50,3.5,3,2.7,3,2.7,"1"
"72","nd",-40.1833333333333,130,1000,-3,1980,1596,24.5,12,20,4,4,4,4,2,"1"
"474","co",-41.1333333333333,220,1050,-2,1983,2562,17.62,9.9,100,3.5,3,3,3.3,3.3,"1"
"168","br",-40.95,180,1080,-3,1981,1112,11.43,7.83,88,3,2,3.5,4,4,"1"
"645","am",-40.95,180,1080,-3,1981,2560,9.16,7.23,17,3,4,3,4,4,"0"
"586","nd",-40,150,1300,-2,1983,2634,40.52,18.95,10,4.5,4.5,3,4,2,"1"
"455","am",-41.1333333333333,220,1050,-2,1983,1592,24.3,10.49,50,3.5,3,3,4,2.5,"1"
"608","ob",-40,150,1300,-2,1983,1522,52.26,15.45,10,5,4.5,2.5,2,2.5,"1"
"234","sm",-41.2,160,1000,-3,1981,1340,5.7,5.7,100,3,2,3,3,3,"0"
"484","ov",-41.1333333333333,220,1050,-2,1983,2571,14.53,5.57,100,3,2,3,4,3.5,"0"
"706","am",-39.7166666666667,150,900,-2,1986,3267,16.63,7.59,47.5710723083189,2.76718515193287,2.66203695842761,2.73238632763972,3.15424108240148,2.64095859799002,"0"
"73","ni",-40.1833333333333,130,1000,-3,1980,2088,17.6,9,90,4.5,2.5,3,2,1.5,"1"
"539","re",-41.2666666666667,300,1200,-3,1982,2550,5.44,4.05,50,1,2,3,3,3,"0"
"15","ni",-39.6333333333333,100,850,-2,1980,2088,10.78,8.93,100,3,2,3,3,3,"1"
"610","ov",-40,150,1300,-2,1983,2571,39.79,18.02,40,4.3,2.5,3.4,3.8,3.1,"1"
"294","nd",-40.95,180,1080,-3,1982,2634,6.6,8.1,50,2.8,4,3,4,3.5,"0"
"62","rd",-40.1833333333333,130,1000,-3,1980,1524,5.4,4.5,20,1,2,3,3,3,"0"
"696","pu",-39.7166666666667,150,900,-2,1986,3272,35.37,15.14,47.5376780673344,2.76689256265598,2.66193668376245,2.7322486689176,3.15483871497433,2.64092601776609,"0"
"35","pu",-39,200,1400,-2,1980,1523,33.13,12.33,68.6721082636877,4,4,3.5,4,2.7,"1"
"381","pa",-40.6,150,1250,-3,1983,2750,32.75,16.37,50,4,4,2,2,2,"1"
"602","ni",-40,150,1300,-2,1983,2547,46.36,19.09,40,4.3,2.6,3.8,2.9,2.6,"1"
"604","nd",-40,150,1300,-2,1983,1596,15.2335450650728,17.05,40,3.9,3.9,3.2,3.3,2.4,"1"
"626","ob",-40,150,1300,-2,1983,1522,42.43,13.35,40,4,3.4,3,3.5,2.1,"1"
"31","fr",-39,200,1400,-2,1980,1487,27.98,8.64,68.9354263498507,2.3,4,2,2,2,"0"
"28","pu",-39.6333333333333,100,850,-2,1980,1523,17.18,9.99,90,4.3,4.5,3.5,4,3.3,"1"
"544","rd",-41.2666666666667,300,1200,-3,1982,2575,8.56,3.33,75,2,3,2,2,2,"0"
"148","bxs",-40.95,180,1080,-3,1981,1111,4.49,4.11,44,2.5,3,3,3,3,"0"
"572","re",-41.2666666666667,300,1200,-3,1982,2574,13.55,9.26,75,3,3,4,4,3.5,"1"
"284","jo",-41.2,160,1000,-3,1981,1595,1.5,1.8,88,1.5,1,3,4,3,"0"
"334","fa",-40.6,150,1250,-3,1983,2548,41.04,16.6,50,3.3,3,2,1.5,1.5,"1"
"703","te",-39.7166666666667,150,900,-2,1986,3275,28.19,10.57,47.5141577367464,2.76655605932108,2.66172626454769,2.73201097064558,3.1550373658399,2.64075909578408,"0"
"268","fr",-41.2,160,1000,-3,1981,1339,10.1,9.5,75,3,3,2,2,2,"0"
"93","re",-39.8333333333333,70,1000,-2,1981,1787,18.1,14.8,100,4.6,4,4.3,4.3,4,"1"
"561","nd",-41.2666666666667,300,1200,-3,1982,2635,13.73,8.58,75,3,3,3,3,3,"0"
"300","rd",-40.95,180,1080,-3,1982,2575,2.72,3.43,50,1,1,2,2,3,"0"
"652","ov",-40.95,180,1080,-3,1981,1788,9.54,6.83,13,2.5,1.8,2.5,4,3,"0"
"241","fa",-41.2,160,1000,-3,1981,1978,19.6,10.3,3,3,2.5,2.5,2,2,"0"
"33","ni",-39,200,1400,-2,1980,2088,33.41,8.35,64.5175808796349,4,2.8,2.5,1.5,1.5,"0"
"437","rd",-40.95,180,1080,-3,1983,2575,2.63,4.6,38,2,1.5,3,3,3,"0"
"564","ov",-41.2666666666667,300,1200,-3,1982,1259,11.66,6.18,75,3,2,3,3,3,"0"
"634","nd",-40.95,180,1080,-3,1981,1596,4.56,3.58,13,2,3,2,3,3,"0"
"217","fa",-41.2,160,1000,-3,1981,1978,15.7,10,100,4,3,2.5,2.5,2.5,"1"
"108","fr",-39.8333333333333,70,1000,-2,1981,2447,20.8,12.6,63,4,3,3.3,3.5,3.5,"1"
"580","fa",-40,150,1300,-2,1983,1482,38.15,16.85,10,3.5,4,3.3,4,3.5,"1"
"731","te",-46.3202958966973,150,1750,-2,1986,-237.987930878747,29.02,10.87,87.4524555223402,3.68327946756125,3.38915699429016,3.50827407410554,3.4062416828549,3.3054015130453,"0"
"209","rd",-40.95,180,1080,-3,1981,1524,4.49,4.49,88,2.3,2,2.5,4,3,"0"
"338","ni",-40.6,150,1250,-3,1983,2568,24.89,16.71,63,3,2.5,2.7,3,2,"0"
"434","ov",-40.95,180,1080,-3,1983,2571,8.75,7.27,38,3.5,2.5,3,4,3.3,"0"
"256","nc",-41.2,160,1000,-3,1981,1780,3.2,5.9,1.5,3,2,2,2,0,"0"
"201","nd",-40.95,180,1080,-3,1981,1596,7.03,5.99,88,3.5,2.7,3.5,4,4,"1"
"712","nd",-39.7166666666667,150,900,-2,1986,3270,29.29,13.33,47.5513567106642,2.76702433804343,2.6619905416682,2.73231792649013,3.15461424560474,2.64095252970018,"0"
"354","nd",-40.6,150,1250,-3,1983,1596,21.45,16.76,75,3,3.2,3.3,3.5,3,"1"
"357","ob",-40.6,150,1250,-3,1983,1522,20.8,15.41,25,3.5,2.8,3.3,3.2,3.5,"1"
"560","nd",-41.2666666666667,300,1200,-3,1982,2634,16.3,7.84,100,3,3,3,3,3,"0"
"75","pu",-40.1833333333333,130,1000,-3,1980,1523,11.5,9,20,2.7,3.7,4,4,3,"1"
"2","fr",-39.6333333333333,100,850,-2,1980,1487,13.15,9.65,90,4.5,4,3.5,3.5,3,"1"
"116","re",-39.8333333333333,70,1000,-2,1981,1787,19.6,16.6,100,5,3,4,4,3,"1"
"131","fr",-39.8333333333333,70,1000,-2,1981,1786,17.8,12.2,63,4.7,3.1,3,3,3,"1"
"367","ob",-40.6,150,1250,-3,1983,2458,18.88,10.53,63,3.5,3,2,2,1.5,"0"
"714","nd",-39.7166666666667,150,900,-2,1986,2569,22.89,10.42,52.7039516111538,2.82983362824964,2.69639513704922,2.77261920169099,3.09250537835537,2.66547846404977,"0"
"633","fa",-40.95,180,1080,-3,1981,2548,15.58,8.06,27,3,3.5,3,2.5,3,"0"
"517","am",-41.2666666666667,300,1200,-3,1982,1592,4.73,5.31,100,2,3,3,4,4,"1"
"156","ob",-40.95,180,1080,-3,1981,2469,19.92,7.37,13,2,2.5,3,3,3,"0"
"439","am",-41.1333333333333,220,1050,-2,1983,2560,20.72,8.67,100,3.5,3.5,2.5,4,4,"1"
"197","fa",-40.95,180,1080,-3,1981,1482,10.54,7.84,88,4,3.3,3.3,3.5,3.5,"1"
"220","fr",-41.2,160,1000,-3,1981,2447,11.2,9.1,88,4,3.5,3,3.5,3,"1"
"462","nd",-41.1333333333333,220,1050,-2,1983,2569,20.86,9.89,25,1.5,3,3,3,3,"0"
"555","fr",-41.2666666666667,300,1200,-3,1982,2552,16.83,10.31,75,4,3,4,4,3,"1"
"732","fa",-40.6,100,1250,-2,1983,2548,41.63,12.64,28,4.2,3.2,2.3,1.9,1.7,"0"
