"","surgery","Age","temp_extremities","peripheral_pulse","mucous_membranes","capillary_refill_time","pain","peristalsis","abdominal_distension","nasogastric_tube","nasogastric_reflux","rectal_examination","abdomen","outcome","rectal_temperature","pulse","respiratory_rate","packed_cell_volume","total_protein","surgical_lesion"
"175","yes","adult","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine","lived",-2.54643094306084,-5.40998467718449,-2.31420326462132,-3.11878992049021,-0.796864373662691,"yes"
"278","no","adult","normal","normal","normal pink","<3","alert no pain","hypermotile","none","slight","none","normal","normal","lived",37.8,40,16,37,6.8,"no"
"109","yes","young","cool","reduced","bright pink","<3","intermittent mild pain","hypomotile","moderate","none","none","absent","distended large intestine","died",38.4,84,40,36,6.6,"yes"
"83","yes","adult","cool","reduced","dark cyanotic",">=3","continuous severe pain","hypomotile","severe","none","none","absent","distended large intestine","died",38,92.0914764616097,24,68,7.8,"yes"
"28","yes","adult","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine","died",-1.85360278239805,-2.90832575119833,-1.23256440943125,-2.07959530435043,-2.70758275990297,"no"
"140","yes","adult","cool","normal","normal pink","<3","depressed","normal","none","none","none","absent","distended large intestine","lived",38.1,44,9,31,7.3,"no"
"251","no","adult","cool","reduced","bright pink","<3","alert no pain","absent","none","none","none","absent","distended large intestine","died",36.6,42,18,52,7.1,"yes"
"220","yes","adult","cold","absent","normal pink",">=3","continuous severe pain","absent","none","slight","none","absent","distended large intestine","euthanized",39.2,88,58,50.4471180413051,-11.173612496246,"no"
"107","no","adult","normal","normal","pale pink","<3","alert no pain","hypomotile","slight","slight","none","normal","distended large intestine","lived",37.3,50,32,44,7,"no"
"303","yes","adult","cool","normal","pale cyanotic",">=3","intermittent severe pain","absent","moderate","none","none","absent","distended large intestine","euthanized",37,56,24,35,61,"no"
"32","yes","adult","warm","normal","normal pink","<3","intermittent mild pain","hypomotile","moderate","slight","none","absent","distended large intestine","lived",37.2,60,28.1160674544226,43,6.6,"yes"
"326","no","adult","warm","normal","pale pink","<3","intermittent mild pain","hypomotile","none","slight","none","normal","firm feces in large intestine","lived",38.1,44,40,35,6.8,"no"
"148","yes","adult","cool","reduced","dark cyanotic",">=3","depressed","absent","slight","slight","<1l","absent","distended small intestine","lived",38.3,132,51.432242479376,57,8,"yes"
"286","no","adult","cool","normal","normal pink",">=3","intermittent severe pain","hypomotile","moderate","none","<1l","absent","distended large intestine","euthanized",37.8,82,12,50,7,"yes"
"101","yes","adult","cold","reduced","pale cyanotic",">=3","continuous severe pain","absent","none","slight","none","absent","distended large intestine","euthanized",19.0688197455248,60,20,26.5696319887046,-29.9088528144322,"yes"
"144","yes","adult","cool","reduced","dark cyanotic","<3","depressed","absent","severe","significant",">1l","absent","distended large intestine","euthanized",37.1,84,40,75,81,"no"
"117","no","adult","cool","reduced","pale cyanotic",">=3","intermittent mild pain","absent","moderate","slight","<1l","absent","distended large intestine","euthanized",39.5,83.7964107097107,35.8725716375914,47.3494410227317,6.7,"yes"
"106","yes","adult","cool","reduced","pale pink","<3","intermittent mild pain","hypomotile","none","none","none","normal","distended large intestine","lived",38.3,52,96,43,6.1,"yes"
"63","no","adult","cold","reduced","pale cyanotic",">=3","depressed","absent","severe","none","none","absent","distended large intestine","euthanized",38.2,130,16,65,82,"no"
"223","yes","adult","normal","normal","pale pink","<3","intermittent mild pain","hypomotile","slight","slight","none","absent","distended small intestine","lived",37.7,66,12,31.5,6.2,"yes"
"318","yes","adult","warm","reduced","pale pink","<3","intermittent severe pain","hypomotile","moderate","slight","none","absent","distended large intestine","died",37.5,88,20,35,6.4,"yes"
"50","no","adult","normal","normal","bright pink","<3","alert no pain","hypomotile","slight","none","none","absent","other","lived",38.6,46,24.9362410806182,49,9.1,"no"
"307","no","adult","warm","normal","bright pink","<3","intermittent mild pain","hypomotile","none","slight","none","increased","distended large intestine","lived",37.8,48,12,48,7.3,"no"
"349","yes","adult","cool","normal","normal pink","<3","intermittent severe pain","hypomotile","none","slight","none","decreased","distended large intestine","lived",38.6,48,20,37,75,"yes"
"137","yes","adult","normal","normal","normal pink","<3","alert no pain","normal","severe","slight",">1l","absent","distended large intestine","lived",38,48,21.5894040591994,35.4183947784421,41.9292668653433,"yes"
"365","yes","adult","normal","normal","bright pink","<3","depressed","hypermotile","none","none","none","normal","distended small intestine","euthanized",38,60,12,44,65,"yes"
"281","no","adult","cool","reduced","bright red","<3","depressed","hypomotile","none","none","none","absent","normal","died",40,78,37.2224801336605,66,6.5,"yes"
"142","yes","adult","cold","reduced","dark cyanotic",">=3","continuous severe pain","absent","severe","slight","none","absent","distended large intestine","died",51.6178352796991,120,49.6636348368825,57,4.5,"yes"
"284","no","adult","normal","normal","normal pink","<3","intermittent mild pain","hypermotile","none","slight","none","normal","distended large intestine","lived",38.5,54,26.0398858085223,40,6.8,"no"
"169","yes","adult","cool","normal","normal pink",">=3","continuous severe pain","hypomotile","severe","significant","none","absent","distended large intestine","euthanized",21.9993889279128,65,24,30.0573439250423,-27.8583926877049,"yes"
"47","no","adult","normal","normal","normal pink","<3","alert no pain","hypermotile","none","none","none","normal","distended large intestine","lived",37.5,48,16,37,6.5,"no"
"203","no","adult","normal","normal","normal pink","<3","depressed","hypomotile","none","slight","none","absent","normal","lived",37.2,36,9,35,5.7,"no"
"23","yes","young","cool","reduced","normal pink","<3","depressed","absent","none","slight","none","absent","distended large intestine","lived",38.3,130,60,50,70,"yes"
"180","yes","adult","cool","normal","bright red",">=3","intermittent severe pain","hypomotile","moderate","slight","<1l","absent","distended small intestine","died",38.4,84,30,47,7.5,"yes"
"213","yes","adult","cool","normal","pale pink","<3","intermittent mild pain","normal","slight","slight","none","normal","distended small intestine","lived",37.6,45,12,39,7,"yes"
"224","yes","adult","normal","normal","normal pink","<3","intermittent mild pain","hypermotile","none","none","none","decreased","distended large intestine","lived",38.8,50,14,38,58,"yes"
"162","no","adult","cool","normal","normal pink",">=3","intermittent mild pain","hypomotile","slight","slight","none","decreased","distended large intestine","lived",39.5,60,10,38,56,"no"
"42","no","adult","cool","normal","pale pink","<3","intermittent mild pain","hypomotile","none","none","none","increased","other","lived",38,60,12,47,7,"no"
"0","no","adult","cool","reduced","normal pink",">=3","continuous severe pain","absent","severe","slight","none","decreased","distended large intestine","died",38.5,66,28,45,8.4,"no"
"310","no","adult","cool","normal","bright red","<3","depressed","absent","slight","none",">1l","absent","distended small intestine","died",39,84,12,62,5.9,"yes"
"77","no","adult","warm","normal","normal pink","<3","alert no pain","hypermotile","none","none","none","normal","normal","lived",38.7,52,20,33,77,"no"
"115","no","adult","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","slight","slight","none","absent","distended large intestine","lived",46.5556361926499,72.7134152983213,40,45,70,"no"
"232","yes","adult","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine","lived",38.5,30,18,40,7.7,"yes"
"60","no","adult","normal","normal","pale pink","<3","depressed","hypermotile","none","none","none","absent","distended large intestine","lived",37.8,48,32,37,6.7,"no"
"85","no","adult","warm","reduced","pale pink","meaning unknown","intermittent mild pain","hypermotile","slight","slight",">1l","absent","distended small intestine","lived",38,54,30,45,6.2,"no"
"312","yes","adult","cool","normal","pale cyanotic",">=3","continuous severe pain","absent","severe","none","none","absent","distended large intestine","died",63.7770009242492,140,49.2092071134211,30,69,"no"
"48","yes","adult","cool","reduced","pale pink",">=3","depressed","hypomotile","moderate","slight",">1l","decreased","normal","died",38.9,80,44,54,6.5,"yes"
"241","yes","adult","normal","normal","bright pink","<3","alert no pain","normal","none","none","none","normal","distended large intestine","lived",38.2,52,16,43,8.1,"no"
"245","no","adult","cool","reduced","pale pink",">=3","continuous severe pain","absent","severe","slight","none","absent","distended large intestine","died",43.9602416321418,96,42.3177441404858,60,2.61731531661419,"yes"
"246","yes","adult","cool","normal","pale pink","<3","intermittent severe pain","normal","severe","slight",">1l","normal","distended large intestine","lived",37.6,68,32,47,7.2,"yes"
"238","no","adult","cool","reduced","pale pink","<3","intermittent mild pain","hypomotile","slight","slight","<1l","absent","distended small intestine","euthanized",36.1,88,36.4907471388755,45,7,"yes"
"218","yes","adult","normal","increased","bright pink","<3","depressed","normal","none","slight","none","absent","distended large intestine","euthanized",38.1,40,36,37.0456634954805,58.5545386842167,"yes"
"134","yes","adult","cool","normal","pale cyanotic",">=3","continuous severe pain","absent","none","slight","none","increased","distended large intestine","died",45.8716109604056,100,43.319618277927,59,6.3,"yes"
"342","yes","adult","normal","normal","pale pink","<3","intermittent mild pain","absent","none","slight","none","normal","distended small intestine","lived",34.5728649323499,48,96,42,8,"yes"
"341","no","adult","cool","reduced","bright pink",">=3","depressed","absent","none","slight","none","absent","distended large intestine","lived",38.3,45,20,35.6562829148096,53.7851913813511,"no"
"293","yes","adult","cool","reduced","pale pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended small intestine","euthanized",44.3088065861995,78,24,43,62,"no"
"52","no","adult","normal","normal","pale pink","<3","alert no pain","hypomotile","none","slight","none","increased","other","lived",34.7286166803394,75.3030508736977,32.2290346877354,43,7.7,"no"
"327","no","adult","warm","normal","pale pink","<3","alert no pain","hypomotile","slight","slight","none","decreased","distended large intestine","lived",38.4,52,20,41,63,"no"
"64","yes","adult","cool","normal","pale cyanotic",">=3","intermittent mild pain","hypomotile","slight","none",">1l","absent","distended large intestine","lived",39,64,36,44,7.5,"yes"
"340","no","adult","cool","reduced","pale pink","<3","intermittent mild pain","hypermotile","none","slight","none","absent","distended large intestine","lived",38,56,44,47,70,"no"
"294","no","adult","normal","normal","normal pink","<3","depressed","hypermotile","none","slight","none","decreased","other","lived",38.5,40,16,37,67,"no"
"352","no","adult","normal","normal","pale pink","<3","depressed","hypomotile","slight","none",">1l","decreased","distended large intestine","euthanized",37.8,60,16,41,73,"no"
"123","yes","adult","normal","normal","pale pink","<3","intermittent severe pain","absent","moderate","slight","none","absent","distended small intestine","died",38.2,64,24,45,7.5,"yes"
"249","no","adult","warm","normal","normal pink",">=3","intermittent mild pain","hypomotile","none","slight","none","absent","other","lived",38.2,48,23.3444222308858,34,6.6,"no"
"76","yes","adult","cool","reduced","normal pink","<3","intermittent mild pain","hypomotile","slight","slight","none","decreased","distended large intestine","lived",37.6,38,20,37,68,"yes"
"217","yes","adult","cool","normal","normal pink",">=3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine","lived",38,76,18,71,11,"yes"
"97","yes","adult","cool","reduced","pale cyanotic","<3","depressed","hypomotile","moderate","slight","<1l","absent","distended large intestine","euthanized",38.1,88,32,55,60,"no"
"193","yes","adult","cool","reduced","pale cyanotic",">=3","intermittent severe pain","hypomotile","severe","slight","none","absent","distended large intestine","died",35.1218318762339,60,48,58,7.6,"yes"
"18","yes","adult","normal","normal","bright pink","<3","depressed","hypomotile","none","none","none","increased","distended large intestine","lived",37.6,64,21,40,7,"yes"
"16","yes","young","cool","reduced","pale cyanotic",">=3","intermittent severe pain","absent","moderate","significant","none","absent","distended large intestine","died",52.0804698952138,128,36,53,7.8,"no"
"161","yes","adult","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine","died",38.3,42,24,40,8.5,"yes"
"202","yes","adult","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","none","none","absent","distended large intestine","euthanized",37.5,48,40,41,55,"yes"
"30","no","adult","cool","reduced","pale cyanotic",">=3","continuous severe pain","absent","severe","significant",">1l","absent","distended large intestine","died",37.7,96,30,66,7.5,"yes"
"313","yes","adult","cool","reduced","pale pink","<3","continuous severe pain","absent","severe","slight",">1l","absent","distended large intestine","died",37.9,120,60,52,6.6,"yes"
"98","no","adult","warm","normal","pale pink","<3","alert no pain","hypomotile","slight","none","none","normal","distended large intestine","lived",37.7,44,40,41,60,"no"
"173","yes","adult","cool","reduced","bright red",">=3","depressed","absent","moderate","slight","<1l","absent","distended small intestine","died",49.666534190295,104,46.3239704492747,69,8.6,"yes"
"146","yes","adult","normal","reduced","pale pink","<3","intermittent mild pain","absent","severe","none","<1l","absent","distended large intestine","lived",38.2,48,20.9029210560775,42,71,"yes"
"236","no","adult","normal","normal","normal pink","<3","intermittent mild pain","hypermotile","slight","slight","none","normal","distended large intestine","lived",38.2,42,26,36,6.9,"no"
"74","yes","young","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine","died",29.7493294174884,65.3263582097335,27.9680850530551,37,4.9,"yes"
"15","yes","adult","cool","normal","pale cyanotic","<3","continuous severe pain","hypomotile","moderate","slight","<1l","absent","distended large intestine","died",37.6,96,48,45,6.8,"yes"
"337","yes","adult","normal","normal","normal pink","<3","alert no pain","hypermotile","none","slight","none","normal","normal","lived",37.6,40,18.2430782420728,33.0494820015633,52.456531922352,"yes"
"8","no","adult","cool","absent","pale pink","<3","intermittent severe pain","absent","severe","slight","none","decreased","distended large intestine","euthanized",35.3369599521137,80,36,38,6.2,"yes"
"49","no","adult","cool","reduced","bright red",">=3","intermittent severe pain","hypermotile","slight","none",">1l","increased","normal","died",37.2,84,48,73,5.5,"no"
"91","no","adult","cool","reduced","normal pink",">=3","depressed","hypomotile","moderate","slight","none","normal","distended large intestine","died",40.3,114,36,57,8.1,"yes"
"121","yes","adult","cool","normal","dark cyanotic",">=3","intermittent severe pain","hypomotile","none","slight",">1l","normal","distended small intestine","euthanized",38.3,80,40,67,10.2,"yes"
"151","yes","adult","cold","reduced","dark cyanotic",">=3","intermittent severe pain","absent","slight","none","<1l","absent","distended small intestine","died",39.3,90.3606108203489,38.3673519810935,75,69.8680644348077,"yes"
"290","no","adult","warm","normal","bright pink","<3","alert no pain","hypermotile","none","slight","none","normal","normal","lived",38.6,45,16,43,58,"no"
"206","yes","adult","warm","reduced","pale cyanotic",">=3","intermittent severe pain","absent","moderate","slight","none","decreased","distended large intestine","lived",38.5,96,30,50,65,"yes"
"344","no","adult","cold","reduced","dark cyanotic",">=3","depressed","absent","moderate","none","none","absent","distended large intestine","euthanized",36,100,20,74,5.7,"yes"
"366","no","adult","cool","normal","pale pink","<3","alert no pain","hypermotile","none","slight","none","absent","normal","lived",38,42,12,37,5.8,"no"
"222","yes","adult","cold","absent","pale cyanotic","<3","depressed","hypomotile","none","slight","none","absent","distended small intestine","lived",45.8051346365048,112,13,60,6.3,"yes"
"350","yes","adult","cool","normal","pale cyanotic","<3","depressed","hypomotile","moderate","slight","<1l","absent","distended small intestine","euthanized",53.6649060446987,82,72,53,65,"yes"
"292","yes","adult","normal","reduced","bright pink","<3","intermittent severe pain","hypomotile","moderate","none","none","normal","distended large intestine","died",37,66,20,35,6.9,"yes"
"139","no","adult","normal","normal","normal pink","<3","intermittent mild pain","hypomotile","none","none","none","absent","distended large intestine","lived",38,60,32,50,7,"no"
"125","yes","adult","cold","normal","normal pink","<3","intermittent mild pain","hypomotile","slight","slight",">1l","absent","distended small intestine","lived",38,42,68,41,7.6,"yes"
"356","no","adult","cool","normal","normal pink","<3","intermittent mild pain","absent","moderate","slight",">1l","absent","distended large intestine","lived",37.4,54,18,30,7.1,"yes"
"273","yes","adult","cool","reduced","pale pink","<3","continuous severe pain","hypomotile","moderate","none","none","absent","distended large intestine","died",37.7,120,28,65,7,"yes"
"235","yes","adult","normal","normal","bright red","<3","intermittent severe pain","hypomotile","none","slight","<1l","normal","distended large intestine","died",38.1,52,24,54,7.5,"yes"
"14","yes","adult","cool","normal","normal pink","<3","intermittent mild pain","absent","none","slight",">1l","absent","distended small intestine","lived",38.2,76,28,46,81,"yes"
"257","yes","adult","cool","reduced","pale cyanotic","<3","intermittent mild pain","absent","none","slight","<1l","absent","distended large intestine","died",38.7,96,28,64,9,"yes"
"256","yes","adult","warm","normal","normal pink","<3","depressed","hypermotile","none","none","none","normal","distended large intestine","euthanized",37.5,72,27.148325439029,35,65,"yes"
"194","no","adult","normal","normal","bright pink","<3","depressed","normal","none","slight","none","absent","normal","lived",37.9,88,24,37,56,"no"
"200","yes","adult","normal","normal","pale pink","<3","intermittent mild pain","hypermotile","moderate","slight","none","decreased","firm feces in large intestine","lived",37.3,48,12,40,6.6,"yes"
"300","no","adult","cool","normal","bright pink",">=3","intermittent mild pain","absent","none","slight",">1l","absent","other","lived",38.5,54,20,42,6.3,"no"
"266","no","adult","warm","normal","pale pink","<3","intermittent mild pain","hypomotile","slight","none","none","normal","distended large intestine","lived",38.6,68,20,38,6.5,"no"
"126","yes","adult","cool","normal","pale pink","<3","continuous severe pain","absent","slight","slight","none","absent","distended large intestine","lived",38.7,68.197935109152,29.1879982160939,33,6.5,"yes"
"132","yes","adult","cool","normal","pale pink","<3","intermittent severe pain","hypomotile","none","slight","none","decreased","distended large intestine","lived",38,48,20,43,73,"yes"
"40","yes","adult","cool","reduced","dark cyanotic",">=3","continuous severe pain","hypomotile","moderate","none","<1l","absent","distended large intestine","died",42.8557220631471,88,40.0381407391384,63,6.5,"yes"
"361","no","adult","cool","normal","normal pink","<3","alert no pain","hypermotile","slight","slight","none","decreased","other","lived",38.2,42,21.7737322601271,35,5.9,"no"
"158","no","adult","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine","lived",38,42,40,37.8337213030938,53.6918455470098,"no"
"116","yes","adult","normal","normal","normal pink","<3","intermittent mild pain","hypomotile","moderate","slight","none","absent","distended large intestine","lived",38,44,12,42,65,"yes"
"71","yes","adult","normal","normal","normal pink","<3","alert no pain","normal","none","slight","none","normal","normal","lived",37.8,48,28,46,5.9,"no"
"35","no","adult","cold","reduced","pale pink",">=3","intermittent severe pain","absent","moderate","slight","<1l","absent","other","euthanized",47.6862066885288,104,24,73,8.4,"yes"
"268","yes","adult","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","decreased","distended large intestine","lived",38.2,42,20,47,60,"no"
"207","yes","adult","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine","died",36.3715373188617,78.5561340219061,33.6179359042968,45,8.7,"yes"
"156","no","adult","normal","normal","normal pink","<3","intermittent mild pain","hypomotile","slight","none","none","normal","firm feces in large intestine","lived",38.6,52,20,36,6.6,"no"
"296","no","adult","cool","increased","pale cyanotic",">=3","intermittent severe pain","hypomotile","moderate","significant","none","absent","distended small intestine","euthanized",37.2,72,24,44,25.2573077919748,"yes"
"291","yes","adult","cool","reduced","pale pink","<3","depressed","hypomotile","moderate","slight",">1l","decreased","normal","died",38.9,80,44,54,6.5,"yes"
"258","no","adult","normal","normal","normal pink","<3","depressed","hypomotile","slight","slight","none","decreased","distended large intestine","lived",37.5,52,12,36,61,"no"
"105","yes","adult","normal","normal","pale pink",">=3","depressed","hypomotile","slight","slight","none","absent","distended large intestine","lived",32.3185439689351,70,36,36,7.3,"yes"
"184","no","adult","warm","increased","bright pink","<3","alert no pain","hypermotile","none","significant","none","normal","normal","lived",38.2,68,32,43,65,"no"
"87","no","adult","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine","euthanized",23.9627159803001,40,16,50,7,"yes"
