"","cost.of.living.adjustment","pension","education.allowance","vacation","longterm.disability.assistance","contribution.to.dental.plan","bereavement.assistance","contribution.to.health.plan","class","duration","wage.increase.first.year","wage.increase.second.year","wage.increase.third.year","working.hours","standby.pay","shift.differential","statutory.holidays"
"2","none","empl_contr","yes","generous","yes","half","yes","half","good",2.06127572083342,3.75740388226085,4.01776738336867,3.25374579534428,38,6.18578145929259,5,11
"5","none","empl_contr","yes","average","yes","full","yes","full","good",2,2,2.5,2.89804940013676,35,6.3283896045807,6,12
"43","tcf","none","yes","below_average","yes","full","yes","full","bad",2,2.5,3,3.07721671815403,40,7.96802643497693,8.69142177528814,11
"28","none","empl_contr","no","below_average","yes","full","yes","full","good",2,5,4,3.18429685177929,37,6.06791376915168,5,11
"29","none","none","yes","average","yes","full","yes","full","bad",3,2,2.5,2.8633483613107,35,6.2130894561094,5.84259558961789,10
"35","none","none","no","average","yes","none","yes","full","bad",2,2,2,3.04527004981518,40,8.03873914464564,8.88793440537655,11
"31","tc","none","no","below_average","yes","half","yes","full","bad",3,3,2,2.5,40,6.42838640592253,5,10
"34","tc","none","no","below_average","no","half","yes","full","bad",3,2,2.5,2.1,40,2,1,10
"11","none","empl_contr","yes","generous","yes","full","yes","full","good",2,6.4,6.4,3.53110886796832,38,5.73362408528917,4,15
"26","tcf","empl_contr","yes","below_average","yes","none","yes","half","good",2,4.5,4.5,4.88890747871444,29.2751481207101,-6.52394544300506,-22.0417232131198,10
"7","none","empl_contr","yes","below_average","yes","full","yes","full","good",3,6.9,4.8,2.3,40,5.53547053163444,3,12
"51","tcf","empl_contr","yes","generous","yes","half","yes","full","good",3,2,3,1.15991550996789,11.2941276889086,0.92617586758569,-0.6059636204162,3.41735592241145
"21","none","none","yes","below_average","yes","full","yes","full","bad",2,2.5,3,3.08875550537536,40,7.91141985758029,8.56238628354177,11
"50","none","empl_contr","yes","generous","yes","full","yes","full","good",2,7,5.3,5.02705253393411,36.6044442144625,-3.00900889076058,-15.7511799041063,11
"27","none","empl_contr","yes","generous","yes","full","yes","full","good",2,3,3,3.72224298022039,33,1.32230784121061,-5.0278834609331,12
"18","none","none","yes","average","no","none","no","none","bad",1,2,4.00833847067645,3.28011883930901,38,5.92565637884979,4.46577646157997,11
"39","none","empl_contr","yes","average","yes","full","yes","half","good",2,4.5,4,3.55373818960766,40,5.95770079989554,4,12
"49","none","ret_allw","yes","average","yes","full","yes","full","good",2,5.7,4.5,3.46177617264987,40,6.34752170224735,4.88819745966176,11
"1","none","ret_allw","yes","below_average","yes","full","yes","full","good",2,4.5,5.8,3.47337702744993,35,3.67959000752475,-0.121115688521339,11
