"","surgery","Age","rectal_temperature","pulse","respiratory_rate","temp_extremities","peripheral_pulse","mucous_membranes","capillary_refill_time","pain","peristalsis","abdominal_distension","nasogastric_tube","nasogastric_reflux","rectal_examination","abdomen","packed_cell_volume","total_protein","outcome","surgical_lesion"
"171","no","adult",39,86,16,"temp_extremities_cool","peripheral_pulse_reduced","bright red",">=3","intermittent mild pain","peristalsis_hypomotile","abdominal_distension_moderate","nasogastric_tube_slight","nasogastric_reflux_>1l","rectal_examination_absent","abdomen_distended large intestine",68,5.8,"died","yes"
"24","yes","adult",38.1,60,12,"temp_extremities_cool","peripheral_pulse_reduced","pale pink","<3","depressed","peristalsis_absent","abdominal_distension_moderate","nasogastric_tube_significant","nasogastric_reflux_>1l","rectal_examination_absent","abdomen_distended large intestine",51,65,"lived","yes"
"247","yes","adult",38.1,88,24,"temp_extremities_cool","peripheral_pulse_reduced","pale cyanotic","<3","continuous severe pain","peristalsis_absent","abdominal_distension_moderate","nasogastric_tube_slight","nasogastric_reflux_none","rectal_examination_decreased","abdomen_distended small intestine",41,4.6,"died","yes"
"197","no","adult",38.5,96,36,"temp_extremities_cool","peripheral_pulse_reduced","pale cyanotic",">=3","depressed","peristalsis_absent","abdominal_distension_slight","nasogastric_tube_none","nasogastric_reflux_>1l","rectal_examination_absent","abdomen_distended large intestine",70,8.5,"died","yes"
"38","no","adult",38.6,52,22.3682369173346,"temp_extremities_normal","peripheral_pulse_normal","normal pink","<3","intermittent mild pain","peristalsis_hypomotile","abdominal_distension_slight","nasogastric_tube_none","nasogastric_reflux_none","rectal_examination_normal","abdomen_firm feces in large intestine",32,6.6,"lived","no"
"297","yes","adult",37.5,72,30,"temp_extremities_cold","peripheral_pulse_reduced","pale cyanotic","<3","intermittent severe pain","peristalsis_absent","abdominal_distension_moderate","nasogastric_tube_slight","nasogastric_reflux_none","rectal_examination_decreased","abdomen_distended large intestine",60,6.8,"died","yes"
"279","no","adult",38.2,56,40,"temp_extremities_cold","peripheral_pulse_reduced","normal pink","<3","depressed","peristalsis_absent","abdominal_distension_moderate","nasogastric_tube_slight","nasogastric_reflux_>1l","rectal_examination_absent","abdomen_distended large intestine",47,7.2,"lived","no"
"159","no","adult",38.0613713445207,49.831439521484,12,"temp_extremities_normal","peripheral_pulse_normal","bright pink","<3","depressed","peristalsis_hypermotile","abdominal_distension_slight","nasogastric_tube_significant","nasogastric_reflux_none","rectal_examination_normal","abdomen_firm feces in large intestine",44,7.5,"lived","no"
"13","no","young",38,92,28,"temp_extremities_normal","peripheral_pulse_normal","bright pink","<3","alert no pain","peristalsis_hypomotile","abdominal_distension_slight","nasogastric_tube_significant","nasogastric_reflux_none","rectal_examination_normal","abdomen_normal",37,6.1,"died","no"
"129","yes","adult",38.4,49,24.8324059114907,"temp_extremities_normal","peripheral_pulse_normal","normal pink","<3","intermittent mild pain","peristalsis_hypomotile","abdominal_distension_none","nasogastric_tube_slight","nasogastric_reflux_none","rectal_examination_normal","abdomen_distended large intestine",44,7.6,"lived","yes"
"44","yes","adult",35.4,140,24,"temp_extremities_cool","peripheral_pulse_reduced","pale cyanotic",">=3","intermittent severe pain","peristalsis_absent","abdominal_distension_moderate","nasogastric_tube_slight","nasogastric_reflux_none","rectal_examination_absent","abdomen_distended large intestine",57,69,"euthanized","yes"
"21","no","adult",38.4,48,16,"temp_extremities_normal","peripheral_pulse_normal","normal pink","<3","alert no pain","peristalsis_hypomotile","abdominal_distension_none","nasogastric_tube_slight","nasogastric_reflux_<1l","rectal_examination_absent","abdomen_firm feces in large intestine",49,6.8,"lived","no"
"205","no","adult",38.5,100,36.9393336617177,"temp_extremities_cool","peripheral_pulse_reduced","bright red",">=3","intermittent severe pain","peristalsis_hypomotile","abdominal_distension_severe","nasogastric_tube_slight","nasogastric_reflux_none","rectal_examination_absent","abdomen_distended large intestine",52.2313638098229,21.1800725958869,"euthanized","no"
"229","yes","young",38.5,120,70,"temp_extremities_cool","peripheral_pulse_normal","normal pink","<3","intermittent mild pain","peristalsis_hypermotile","abdominal_distension_none","nasogastric_tube_slight","nasogastric_reflux_none","rectal_examination_normal","abdomen_distended large intestine",35,54,"lived","yes"
"192","yes","adult",38.2,48,18,"temp_extremities_normal","peripheral_pulse_normal","normal pink","<3","intermittent mild pain","peristalsis_hypomotile","abdominal_distension_moderate","nasogastric_tube_none","nasogastric_reflux_>1l","rectal_examination_absent","abdomen_distended large intestine",48,74,"lived","yes"
"103","yes","young",38,140,68,"temp_extremities_normal","peripheral_pulse_normal","normal pink","<3","intermittent mild pain","peristalsis_hypomotile","abdominal_distension_slight","nasogastric_tube_slight","nasogastric_reflux_none","rectal_examination_increased","abdomen_normal",39,5.3,"lived","yes"
"254","yes","adult",38.2264453400099,80,35.1816889948946,"temp_extremities_cool","peripheral_pulse_reduced","pale pink","<3","intermittent severe pain","peristalsis_absent","abdominal_distension_severe","nasogastric_tube_slight","nasogastric_reflux_none","rectal_examination_absent","abdomen_distended large intestine",43,70,"lived","yes"
"321","yes","adult",38.3,80,37.4901848107742,"temp_extremities_cool","peripheral_pulse_reduced","pale cyanotic",">=3","continuous severe pain","peristalsis_absent","abdominal_distension_moderate","nasogastric_tube_slight","nasogastric_reflux_none","rectal_examination_absent","abdomen_distended small intestine",45,7.5,"lived","yes"
"102","no","adult",38.3,40,16,"temp_extremities_cool","peripheral_pulse_normal","normal pink","<3","depressed","peristalsis_hypomotile","abdominal_distension_none","nasogastric_tube_slight","nasogastric_reflux_none","rectal_examination_normal","abdomen_distended large intestine",37,57,"lived","no"
"12","yes","adult",37.2,42,12,"temp_extremities_warm","peripheral_pulse_normal","normal pink","<3","intermittent mild pain","peristalsis_hypomotile","abdominal_distension_moderate","nasogastric_tube_significant","nasogastric_reflux_none","rectal_examination_absent","abdomen_distended large intestine",43.217208289135,7,"lived","no"
"295","yes","adult",38.3150129600021,120,70,"temp_extremities_cold","peripheral_pulse_reduced","pale cyanotic",">=3","depressed","peristalsis_absent","abdominal_distension_moderate","nasogastric_tube_slight","nasogastric_reflux_<1l","rectal_examination_absent","abdomen_distended large intestine",55,65,"euthanized","no"
"351","yes","young",38.2,78,60,"temp_extremities_cold","peripheral_pulse_absent","dark cyanotic",">=3","intermittent mild pain","peristalsis_hypomotile","abdominal_distension_moderate","nasogastric_tube_slight","nasogastric_reflux_none","rectal_examination_normal","abdomen_distended large intestine",59,5.8,"died","yes"
"175","yes","adult",38.1469717827294,68.0685923628296,29.4740279352014,"temp_extremities_cool","peripheral_pulse_normal","normal pink","<3","intermittent mild pain","peristalsis_hypomotile","abdominal_distension_none","nasogastric_tube_slight","nasogastric_reflux_none","rectal_examination_absent","abdomen_distended large intestine",44.6535256930282,24.8641003811986,"lived","yes"
"278","no","adult",37.8,40,16,"temp_extremities_normal","peripheral_pulse_normal","normal pink","<3","alert no pain","peristalsis_hypermotile","abdominal_distension_none","nasogastric_tube_slight","nasogastric_reflux_none","rectal_examination_normal","abdomen_normal",37,6.8,"lived","no"
"109","yes","young",38.4,84,40,"temp_extremities_cool","peripheral_pulse_reduced","bright pink","<3","intermittent mild pain","peristalsis_hypomotile","abdominal_distension_moderate","nasogastric_tube_none","nasogastric_reflux_none","rectal_examination_absent","abdomen_distended large intestine",36,6.6,"died","yes"
"83","yes","adult",38,103.377855614221,24,"temp_extremities_cool","peripheral_pulse_reduced","dark cyanotic",">=3","continuous severe pain","peristalsis_absent","abdominal_distension_severe","nasogastric_tube_none","nasogastric_reflux_none","rectal_examination_absent","abdomen_distended large intestine",68,7.8,"died","yes"
"28","yes","adult",38.2524337024549,90.5372290804114,37.0481307323498,"temp_extremities_cool","peripheral_pulse_reduced","pale cyanotic",">=3","continuous severe pain","peristalsis_absent","abdominal_distension_moderate","nasogastric_tube_slight","nasogastric_reflux_none","rectal_examination_absent","abdomen_distended large intestine",52.3418008929156,21.1263827075083,"died","no"
"140","yes","adult",38.1,44,9,"temp_extremities_cool","peripheral_pulse_normal","normal pink","<3","depressed","peristalsis_normal","abdominal_distension_none","nasogastric_tube_none","nasogastric_reflux_none","rectal_examination_absent","abdomen_distended large intestine",31,7.3,"lived","no"
"251","no","adult",36.6,42,18,"temp_extremities_cool","peripheral_pulse_reduced","bright pink","<3","alert no pain","peristalsis_absent","abdominal_distension_none","nasogastric_tube_none","nasogastric_reflux_none","rectal_examination_absent","abdomen_distended large intestine",52,7.1,"died","yes"
"220","yes","adult",39.2,88,58,"temp_extremities_cold","peripheral_pulse_absent","pale cyanotic",">=3","continuous severe pain","peristalsis_absent","abdominal_distension_moderate","nasogastric_tube_slight","nasogastric_reflux_<1l","rectal_examination_absent","abdomen_distended large intestine",58.3038818032318,18.2278684619741,"euthanized","no"
"107","no","adult",37.3,50,32,"temp_extremities_normal","peripheral_pulse_normal","pale pink","<3","alert no pain","peristalsis_hypomotile","abdominal_distension_slight","nasogastric_tube_slight","nasogastric_reflux_none","rectal_examination_normal","abdomen_normal",44,7,"lived","no"
"303","yes","adult",37,56,24,"temp_extremities_cool","peripheral_pulse_normal","pale cyanotic",">=3","intermittent severe pain","peristalsis_absent","abdominal_distension_moderate","nasogastric_tube_none","nasogastric_reflux_none","rectal_examination_absent","abdomen_distended large intestine",35,61,"euthanized","no"
"32","yes","adult",37.2,60,28.0792697307648,"temp_extremities_warm","peripheral_pulse_normal","normal pink","<3","intermittent mild pain","peristalsis_hypomotile","abdominal_distension_moderate","nasogastric_tube_slight","nasogastric_reflux_none","rectal_examination_absent","abdomen_distended large intestine",43,6.6,"lived","yes"
"326","no","adult",38.1,44,40,"temp_extremities_warm","peripheral_pulse_normal","pale pink","<3","intermittent mild pain","peristalsis_hypomotile","abdominal_distension_none","nasogastric_tube_slight","nasogastric_reflux_none","rectal_examination_normal","abdomen_firm feces in large intestine",35,6.8,"lived","no"
"148","yes","adult",38.3,132,39.4266979168308,"temp_extremities_cool","peripheral_pulse_reduced","dark cyanotic",">=3","depressed","peristalsis_absent","abdominal_distension_slight","nasogastric_tube_slight","nasogastric_reflux_<1l","rectal_examination_absent","abdomen_distended small intestine",57,8,"lived","yes"
"286","no","adult",37.8,82,12,"temp_extremities_cool","peripheral_pulse_normal","normal pink",">=3","intermittent severe pain","peristalsis_hypomotile","abdominal_distension_moderate","nasogastric_tube_none","nasogastric_reflux_<1l","rectal_examination_absent","abdomen_distended large intestine",50,7,"euthanized","yes"
"101","yes","adult",38.2823045644838,60,20,"temp_extremities_cold","peripheral_pulse_reduced","pale cyanotic",">=3","continuous severe pain","peristalsis_absent","abdominal_distension_moderate","nasogastric_tube_slight","nasogastric_reflux_none","rectal_examination_absent","abdomen_distended large intestine",54.5194154132449,20.067717653578,"euthanized","yes"
"144","yes","adult",37.1,84,40,"temp_extremities_cool","peripheral_pulse_reduced","dark cyanotic","<3","depressed","peristalsis_absent","abdominal_distension_severe","nasogastric_tube_significant","nasogastric_reflux_>1l","rectal_examination_absent","abdomen_distended large intestine",75,81,"euthanized","no"
"117","no","adult",39.5,96.1999860301175,38.9570272885338,"temp_extremities_cool","peripheral_pulse_reduced","pale cyanotic",">=3","intermittent mild pain","peristalsis_absent","abdominal_distension_moderate","nasogastric_tube_slight","nasogastric_reflux_<1l","rectal_examination_absent","abdomen_distended large intestine",54.2794722508466,6.7,"euthanized","yes"
"106","yes","adult",38.3,52,96,"temp_extremities_cool","peripheral_pulse_reduced","pale pink","<3","intermittent mild pain","peristalsis_hypomotile","abdominal_distension_none","nasogastric_tube_none","nasogastric_reflux_none","rectal_examination_normal","abdomen_distended large intestine",43,6.1,"lived","yes"
"63","no","adult",38.2,130,16,"temp_extremities_cold","peripheral_pulse_reduced","pale cyanotic",">=3","depressed","peristalsis_absent","abdominal_distension_severe","nasogastric_tube_none","nasogastric_reflux_none","rectal_examination_absent","abdomen_distended large intestine",65,82,"euthanized","no"
"223","yes","adult",37.7,66,12,"temp_extremities_normal","peripheral_pulse_normal","pale pink","<3","intermittent mild pain","peristalsis_hypomotile","abdominal_distension_slight","nasogastric_tube_slight","nasogastric_reflux_none","rectal_examination_absent","abdomen_distended small intestine",31.5,6.2,"lived","yes"
"318","yes","adult",37.5,88,20,"temp_extremities_warm","peripheral_pulse_reduced","pale pink","<3","intermittent severe pain","peristalsis_hypomotile","abdominal_distension_moderate","nasogastric_tube_slight","nasogastric_reflux_none","rectal_examination_absent","abdomen_distended large intestine",35,6.4,"died","yes"
"50","no","adult",38.6,46,23.5223300837558,"temp_extremities_normal","peripheral_pulse_normal","bright pink","<3","alert no pain","peristalsis_hypomotile","abdominal_distension_slight","nasogastric_tube_none","nasogastric_reflux_none","rectal_examination_normal","abdomen_other",49,9.1,"lived","no"
"307","no","adult",37.8,48,12,"temp_extremities_warm","peripheral_pulse_normal","bright pink","<3","intermittent mild pain","peristalsis_hypomotile","abdominal_distension_none","nasogastric_tube_slight","nasogastric_reflux_none","rectal_examination_increased","abdomen_normal",48,7.3,"lived","no"
"349","yes","adult",38.6,48,20,"temp_extremities_cool","peripheral_pulse_normal","normal pink","<3","intermittent severe pain","peristalsis_hypomotile","abdominal_distension_none","nasogastric_tube_slight","nasogastric_reflux_none","rectal_examination_decreased","abdomen_distended large intestine",37,75,"lived","yes"
"137","yes","adult",38,48,27.6618492172663,"temp_extremities_normal","peripheral_pulse_normal","normal pink","<3","alert no pain","peristalsis_normal","abdominal_distension_severe","nasogastric_tube_slight","nasogastric_reflux_>1l","rectal_examination_absent","abdomen_distended large intestine",42.8140301028563,25.758386160428,"lived","yes"
"365","yes","adult",38,60,12,"temp_extremities_normal","peripheral_pulse_normal","bright pink","<3","depressed","peristalsis_hypermotile","abdominal_distension_none","nasogastric_tube_none","nasogastric_reflux_none","rectal_examination_normal","abdomen_distended small intestine",44,65,"euthanized","yes"
"281","no","adult",40,78,32.6610858677065,"temp_extremities_cool","peripheral_pulse_reduced","bright red","<3","depressed","peristalsis_hypomotile","abdominal_distension_none","nasogastric_tube_none","nasogastric_reflux_none","rectal_examination_absent","abdomen_normal",66,6.5,"died","yes"
"142","yes","adult",38.3455857143263,120,43.7381560562904,"temp_extremities_cold","peripheral_pulse_reduced","dark cyanotic",">=3","continuous severe pain","peristalsis_absent","abdominal_distension_severe","nasogastric_tube_slight","nasogastric_reflux_<1l","rectal_examination_absent","abdomen_distended large intestine",57,4.5,"died","yes"
"284","no","adult",38.5,54,22.1126646177345,"temp_extremities_normal","peripheral_pulse_normal","normal pink","<3","intermittent mild pain","peristalsis_hypermotile","abdominal_distension_none","nasogastric_tube_slight","nasogastric_reflux_none","rectal_examination_normal","abdomen_normal",40,6.8,"lived","no"
"169","yes","adult",38.2727011517845,65,24,"temp_extremities_cool","peripheral_pulse_reduced","pale cyanotic",">=3","continuous severe pain","peristalsis_absent","abdominal_distension_severe","nasogastric_tube_significant","nasogastric_reflux_none","rectal_examination_absent","abdomen_distended large intestine",53.8193174074164,20.4080760072617,"euthanized","yes"
"47","no","adult",37.5,48,16,"temp_extremities_normal","peripheral_pulse_normal","normal pink","<3","alert no pain","peristalsis_hypermotile","abdominal_distension_none","nasogastric_tube_none","nasogastric_reflux_none","rectal_examination_normal","abdomen_normal",37,6.5,"lived","no"
"203","no","adult",37.2,36,9,"temp_extremities_normal","peripheral_pulse_normal","normal pink","<3","depressed","peristalsis_hypomotile","abdominal_distension_none","nasogastric_tube_slight","nasogastric_reflux_none","rectal_examination_absent","abdomen_normal",35,5.7,"lived","no"
"23","yes","young",38.3,130,60,"temp_extremities_cool","peripheral_pulse_reduced","pale cyanotic","<3","depressed","peristalsis_absent","abdominal_distension_moderate","nasogastric_tube_slight","nasogastric_reflux_none","rectal_examination_absent","abdomen_distended large intestine",50,70,"lived","yes"
"180","yes","adult",38.4,84,30,"temp_extremities_cool","peripheral_pulse_normal","bright red",">=3","intermittent severe pain","peristalsis_hypomotile","abdominal_distension_moderate","nasogastric_tube_slight","nasogastric_reflux_<1l","rectal_examination_absent","abdomen_distended small intestine",47,7.5,"died","yes"
"213","yes","adult",37.6,45,12,"temp_extremities_cool","peripheral_pulse_normal","pale pink","<3","intermittent mild pain","peristalsis_normal","abdominal_distension_slight","nasogastric_tube_slight","nasogastric_reflux_none","rectal_examination_normal","abdomen_distended small intestine",39,7,"lived","yes"
"224","yes","adult",38.8,50,14,"temp_extremities_normal","peripheral_pulse_normal","normal pink","<3","intermittent mild pain","peristalsis_hypermotile","abdominal_distension_none","nasogastric_tube_none","nasogastric_reflux_none","rectal_examination_decreased","abdomen_distended large intestine",38,58,"lived","yes"
"162","no","adult",39.5,60,10,"temp_extremities_cool","peripheral_pulse_normal","normal pink",">=3","intermittent mild pain","peristalsis_hypomotile","abdominal_distension_slight","nasogastric_tube_slight","nasogastric_reflux_none","rectal_examination_decreased","abdomen_distended large intestine",38,56,"lived","no"
"42","no","adult",38,60,12,"temp_extremities_cool","peripheral_pulse_normal","pale pink","<3","intermittent mild pain","peristalsis_hypomotile","abdominal_distension_none","nasogastric_tube_none","nasogastric_reflux_none","rectal_examination_increased","abdomen_other",47,7,"lived","no"
"0","no","adult",38.5,66,28,"temp_extremities_cool","peripheral_pulse_reduced","pale cyanotic",">=3","continuous severe pain","peristalsis_absent","abdominal_distension_severe","nasogastric_tube_slight","nasogastric_reflux_none","rectal_examination_decreased","abdomen_distended large intestine",45,8.4,"died","no"
"310","no","adult",39,84,12,"temp_extremities_cool","peripheral_pulse_normal","bright red","<3","depressed","peristalsis_absent","abdominal_distension_slight","nasogastric_tube_none","nasogastric_reflux_>1l","rectal_examination_absent","abdomen_distended small intestine",62,5.9,"died","yes"
"77","no","adult",38.7,52,20,"temp_extremities_warm","peripheral_pulse_normal","normal pink","<3","alert no pain","peristalsis_hypermotile","abdominal_distension_none","nasogastric_tube_none","nasogastric_reflux_none","rectal_examination_normal","abdomen_normal",33,77,"lived","no"
"115","no","adult",38.1023699424687,58.5661809866641,40,"temp_extremities_cool","peripheral_pulse_normal","normal pink","<3","intermittent mild pain","peristalsis_hypomotile","abdominal_distension_slight","nasogastric_tube_slight","nasogastric_reflux_none","rectal_examination_normal","abdomen_distended large intestine",45,70,"lived","no"
"232","yes","adult",38.5,30,18,"temp_extremities_normal","peripheral_pulse_normal","normal pink","<3","intermittent mild pain","peristalsis_hypomotile","abdominal_distension_none","nasogastric_tube_slight","nasogastric_reflux_none","rectal_examination_normal","abdomen_distended large intestine",40,7.7,"lived","yes"
"60","no","adult",37.8,48,32,"temp_extremities_normal","peripheral_pulse_normal","pale pink","<3","depressed","peristalsis_hypermotile","abdominal_distension_none","nasogastric_tube_none","nasogastric_reflux_none","rectal_examination_absent","abdomen_distended large intestine",37,6.7,"lived","no"
