"","Style","Price","Rating","Size","Season","NeckLine","SleeveLength","waiseline","Material","FabricType","Decoration","Pattern","Class"
"486","casual","average",4.65032258064516,"free","winter","o-neck","short","natural","Material_polyster","FabricType_chiffon","Decoration_cascading","Pattern_solid","1"
"381","casual","average",4.5,"l","summer","o-neck","short","natural","Material_cotton","FabricType_jersey","Decoration_pockets","Pattern_solid","1"
"88","sexy","low",5,"m","autumn","o-neck","full","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_print","2"
"427","casual","average",4.65032258064516,"free","summer","o-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_floral","1"
"462","casual","average",4.5,"l","spring","boat-neck","thressqatar","natural","Material_cotton","FabricType_dobby","Decoration_lace","Pattern_animal","2"
"288","party","very-high",4.8,"free","spring","sweetheart","sleevless","natural","Material_polyster","FabricType_chiffon","Decoration_beading","Pattern_solid","2"
"339","cute","medium",4.6,"free","spring","o-neck","short","natural","Material_chiffonfabric","FabricType_chiffon","Decoration_hollowout","Pattern_solid","2"
"418","party","very-high",4.6,"free","summer","o-neck","sleevless","empire","Material_rayon","FabricType_chiffon","Decoration_hollowout","Pattern_solid","1"
"325","casual","low",4.8,"m","winter","v-neck","sleevless","natural","Material_polyster","FabricType_chiffon","Decoration_lace","Pattern_print","1"
"484","casual","low",4.4,"free","summer","o-neck","full","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"41","brief","low",4.4,"l","autumn","o-neck","halfsleeve","natural","Material_rayon","FabricType_chiffon","Decoration_sashes","Pattern_solid","1"
"421","casual","medium",4.9,"l","winter","o-neck","short","natural","Material_cotton","FabricType_broadcloth","Decoration_sashes","Pattern_solid","1"
"110","sexy","average",4.65032258064516,"l","autumn","v-neck","sleevless","empire","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_patchwork","1"
"403","party","average",4.65032258064516,"m","summer","o-neck","full","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_patchwork","2"
"411","vintage","average",4.65032258064516,"l","summer","sqare-collor","short","empire","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_dot","2"
"19","sexy","average",5,"m","autumn","o-neck","sleevless","empire","Material_milksilk","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"43","casual","low",4.8,"free","spring","o-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_print","1"
"376","work","average",4.7,"m","spring","v-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"342","casual","average",4.8,"m","spring","o-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_hollowout","Pattern_print","1"
"69","casual","medium",4.65032258064516,"m","autumn","v-neck","short","empire","Material_polyster","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"120","work","average",4.8,"l","winter","v-neck","short","natural","Material_mix","FabricType_broadcloth","Decoration_lace","Pattern_solid","1"
"39","casual","average",4.5,"m","spring","v-neck","short","empire","Material_cotton","FabricType_chiffon","Decoration_button","Pattern_solid","2"
"171","casual","low",4.8,"xl","summer","o-neck","short","empire","Material_mix","FabricType_chiffon","Decoration_sashes","Pattern_geometric","1"
"24","sexy","average",4.65032258064516,"free","autumn","v-neck","sleevless","natural","Material_polyster","FabricType_chiffon","Decoration_lace","Pattern_patchwork","1"
"374","sexy","average",4.1,"free","summer","v-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"247","casual","low",4.5,"free","summer","o-neck","full","natural","Material_cotton","FabricType_chiffon","Decoration_button","Pattern_solid","1"
"197","casual","average",4.65032258064516,"free","summer","v-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_patchwork","1"
"377","cute","average",4.6,"free","spring","v-neck","full","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"38","party","average",4.6,"m","winter","o-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"434","casual","average",4.8,"m","summer","v-neck","full","natural","Material_cotton","FabricType_shiffon","Decoration_lace","Pattern_solid","1"
"297","party","average",4.65032258064516,"m","spring","v-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"389","bohemian","average",4.1,"free","summer","o-neck","thressqatar","natural","Material_cotton","FabricType_chiffon","Decoration_hollowout","Pattern_solid","1"
"279","party","average",4.7,"free","winter","o-neck","sleevless","natural","Material_polyster","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"159","sexy","low",4.8,"free","spring","v-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_sequined","Pattern_solid","2"
"13","vintage","average",4.8,"m","summer","o-neck","short","empire","Material_cotton","FabricType_jersey","Decoration_lace","Pattern_animal","2"
"129","casual","average",4.65032258064516,"free","spring","o-neck","short","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"44","vintage","average",4.8,"m","winter","o-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_patchwork","2"
"401","casual","medium",4.65032258064516,"free","winter","bowneck","full","natural","Material_cashmere","FabricType_knitted","Decoration_lace","Pattern_solid","2"
"21","casual","low",4.3,"m","summer","o-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"205","casual","average",4.5,"m","summer","peterpan-collor","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"229","sexy","low",4.8,"m","autumn","v-neck","full","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_print","2"
"192","cute","average",4.8,"m","summer","o-neck","short","natural","Material_cotton","FabricType_chiffon","Decoration_rivet","Pattern_solid","1"
"370","casual","average",4.8,"free","summer","o-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_sashes","Pattern_solid","1"
"103","bohemian","low",4.8,"free","summer","o-neck","short","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_animal","2"
"492","cute","average",4.6,"m","spring","o-neck","halfsleeve","natural","Material_acrylic","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"254","party","very-high",4.65032258064516,"l","winter","v-neck","sleevless","natural","Material_polyster","FabricType_tulle","Decoration_beading","Pattern_solid","1"
"429","sexy","low",4.4,"free","autumn","v-neck","sleevless","natural","Material_cotton","FabricType_worsted","Decoration_lace","Pattern_solid","1"
"430","sexy","average",4.65032258064516,"free","spring","v-neck","full","natural","Material_cotton","FabricType_wollen","Decoration_lace","Pattern_solid","2"
"102","casual","low",4.65032258064516,"free","winter","o-neck","halfsleeve","natural","Material_polyster","FabricType_worsted","Decoration_lace","Pattern_patchwork","2"
"330","novelty","average",4.65032258064516,"free","winter","o-neck","short","natural","Material_polyster","FabricType_broadcloth","Decoration_lace","Pattern_solid","2"
"12","sexy","low",4.7,"m","winter","o-neck","threequarter","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_print","2"
"295","casual","very-high",4.65032258064516,"small","spring","o-neck","full","natural","Material_cotton","FabricType_chiffon","Decoration_applique","Pattern_solid","1"
"477","sexy","low",4.65032258064516,"free","winter","o-neck","sleevless","natural","Material_lycra","FabricType_chiffon","Decoration_hollowout","Pattern_solid","1"
"175","casual","low",4.65032258064516,"l","winter","o-neck","sleevless","empire","Material_polyster","FabricType_chiffon","Decoration_lace","Pattern_leopard","1"
"344","casual","average",4.3,"m","spring","o-neck","halfsleeve","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"278","casual","high",4.6,"m","summer","sweetheart","sleevless","empire","Material_cotton","FabricType_chiffon","Decoration_beading","Pattern_solid","2"
"109","casual","average",4.7,"l","autumn","o-neck","halfsleeve","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"83","vintage","low",4.6,"m","summer","o-neck","short","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_print","1"
"358","bohemian","low",5,"free","summer","o-neck","sleevless","empire","Material_cotton","FabricType_broadcloth","Decoration_tassel","Pattern_print","2"
"28","cute","low",4.3,"free","autumn","o-neck","sleevless","natural","Material_polyster","FabricType_chiffon","Decoration_sashes","Pattern_striped","1"
"140","sexy","low",4.65032258064516,"free","autumn","slash-neck","short","empire","Material_cotton","FabricType_chiffon","Decoration_hollowout","Pattern_solid","1"
"251","cute","low",4.65032258064516,"free","summer","boat-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_print","1"
"405","sexy","average",4.9,"free","summer","sqare-collor","sleevless","natural","Material_polyster","FabricType_chiffon","Decoration_sashes","Pattern_print","1"
"220","casual","low",4.65032258064516,"free","autumn","peterpan-collor","threequarter","empire","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"107","casual","low",4.6,"free","autumn","o-neck","full","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"303","sexy","average",5,"m","summer","o-neck","sleeveless","natural","Material_polyster","FabricType_broadcloth","Decoration_rivet","Pattern_solid","1"
"32","casual","average",4.4,"l","autumn","o-neck","sleevless","natural","Material_linen","FabricType_chiffon","Decoration_ruffles","Pattern_animal","1"
"485","casual","low",5,"m","autumn","o-neck","sleevless","empire","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_print","2"
"148","vintage","average",4.3,"free","winter","o-neck","short","natural","Material_chiffonfabric","FabricType_chiffon","Decoration_lace","Pattern_print","1"
"286","cute","average",4.4,"free","spring","sweetheart","sleevless","empire","Material_spandex","FabricType_tulle","Decoration_ruched","Pattern_solid","2"
"101","casual","average",4.7,"l","summer","v-neck","short","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_print","2"
"144","casual","average",4.65032258064516,"l","spring","boat-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"482","cute","average",4.7,"m","spring","o-neck","full","natural","Material_rayon","FabricType_chiffon","Decoration_beading","Pattern_solid","2"
"455","party","average",4.65032258064516,"m","spring","o-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"338","work","average",4.9,"m","winter","slash-neck","short","natural","Material_polyster","FabricType_broadcloth","Decoration_ruffles","Pattern_solid","1"
"117","casual","low",4.7,"l","autumn","o-neck","full","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_print","1"
"345","casual","average",4.7,"xl","winter","v-neck","short","empire","Material_milksilk","FabricType_chiffon","Decoration_lace","Pattern_print","1"
"408","casual","average",4.3,"m","autumn","o-neck","sleevless","natural","Material_polyster","FabricType_chiffon","Decoration_plain","Pattern_solid","1"
"106","cute","low",4.7,"m","spring","o-neck","short","empire","Material_polyster","FabricType_chiffon","Decoration_ruffles","Pattern_dot","2"
"63","casual","average",4.7,"m","spring","o-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_sashes","Pattern_solid","1"
"223","casual","low",4.8,"free","summer","o-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_print","2"
"425","casual","average",4.7,"m","summer","o-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_dot","1"
"315","casual","average",5,"free","winter","o-neck","sleevless","natural","Material_polyster","FabricType_broadcloth","Decoration_lace","Pattern_solid","2"
"50","sexy","low",5,"free","summer","v-neck","sleevless","empire","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_animal","2"
"410","casual","low",5,"free","summer","o-neck","sleevless","natural","Material_model","FabricType_jersey","Decoration_plain","Pattern_solid","2"
"474","casual","average",4.6,"m","spring","o-neck","halfsleeve","natural","Material_polyster","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"137","novelty","average",4.9,"l","autumn","o-neck","short","natural","Material_polyster","FabricType_chiffon","Decoration_lace","Pattern_print","2"
"497","casual","average",4.7,"m","summer","v-neck","full","empire","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"494","brief","average",4.7,"m","winter","o-neck","halfsleeve","natural","Material_acrylic","FabricType_chiffon","Decoration_lace","Pattern_striped","1"
"281","party","very-high",4.5,"m","spring","v-neck","cap-sleeves","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"142","sexy","low",4.5,"l","spring","o-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"284","party","high",4.6,"m","summer","slash-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"169","brief","average",4.6,"free","winter","o-neck","full","natural","Material_mix","FabricType_chiffon","Decoration_sashes","Pattern_solid","1"
"47","casual","average",4.65032258064516,"m","summer","o-neck","halfsleeve","natural","Material_cotton","FabricType_chiffon","Decoration_ruffles","Pattern_dot","2"
"203","sexy","average",5,"m","summer","v-neck","sleevless","empire","Material_cotton","FabricType_chiffon","Decoration_sequined","Pattern_solid","2"
"294","casual","high",5,"free","summer","v-neck","sleevless","natural","Material_nylon","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"23","sexy","average",4.7,"s","summer","v-neck","sleevless","empire","Material_cotton","FabricType_chiffon","Decoration_sequined","Pattern_solid","2"
"180","casual","average",4.5,"free","summer","o-neck","short","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"213","work","low",4.5,"m","winter","v-neck","threequarter","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_patchwork","1"
"422","casual","average",4.2,"free","summer","o-neck","sleevless","natural","Material_cotton","FabricType_worsted","Decoration_lace","Pattern_striped","2"
"224","casual","average",5,"s","winter","o-neck","sleevless","empire","Material_polyster","FabricType_chiffon","Decoration_lace","Pattern_plaid","1"
"399","casual","average",4.8,"free","winter","o-neck","sleevless","natural","Material_polyster","FabricType_chiffon","Decoration_sashes","Pattern_solid","1"
"397","bohemian","low",4.4,"l","summer","bowneck","short","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_dot","1"
"162","casual","average",3.7,"free","autumn","boat-neck","full","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"42","casual","average",4.8,"m","winter","o-neck","short","natural","Material_lycra","FabricType_broadcloth","Decoration_applique","Pattern_patchwork","1"
"0","sexy","low",4.6,"m","summer","o-neck","sleevless","empire","Material_cotton","FabricType_chiffon","Decoration_ruffles","Pattern_animal","2"
"414","casual","low",4.7,"l","summer","o-neck","full","natural","Material_mix","FabricType_worsted","Decoration_lace","Pattern_patchwork","2"
"77","casual","low",4.65032258064516,"free","spring","v-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_print","1"
"495","casual","low",4.7,"m","spring","o-neck","full","natural","Material_polyster","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"283","party","high",4.8,"m","summer","sweetheart","sleevless","princess","Material_cotton","FabricType_sattin","Decoration_lace","Pattern_solid","2"
"115","cute","average",4.3,"l","winter","o-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"232","casual","low",5,"s","spring","o-neck","sleevless","natural","Material_chiffonfabric","FabricType_chiffon","Decoration_lace","Pattern_print","1"
"292","work","average",5,"free","winter","o-neck","half","natural","Material_microfiber","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"60","cute","high",4.65032258064516,"m","spring","v-neck","full","natural","Material_rayon","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"85","casual","low",4.9,"l","summer","boat-neck","short","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_patchwork","2"
"326","bohemian","low",5,"free","spring","o-neck","short","natural","Material_nylon","FabricType_jersey","Decoration_sashes","Pattern_print","2"
"496","sexy","low",4.3,"free","summer","o-neck","full","empire","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"354","casual","average",4.7,"m","summer","o-neck","thressqatar","natural","Material_chiffonfabric","FabricType_chiffon","Decoration_ruched","Pattern_solid","1"
"490","casual","low",4.8,"free","winter","bowneck","full","natural","Material_polyster","FabricType_chiffon","Decoration_bow","Pattern_solid","1"
"299","casual","very-high",4.6,"m","winter","o-neck","short","natural","Material_cotton","FabricType_chiffon","Decoration_flowers","Pattern_solid","2"
"48","casual","low",4.7,"m","summer","o-neck","sleevless","empire","Material_milksilk","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"391","brief","low",4.6,"m","summer","o-neck","short","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_animal","1"
"241","sexy","average",4.7,"m","winter","v-neck","sleevless","natural","Material_polyster","FabricType_broadcloth","Decoration_lace","Pattern_patchwork","1"
"245","casual","low",4.6,"m","summer","o-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_sashes","Pattern_striped","1"
"304","vintage","average",4.9,"free","summer","o-neck","urndowncollor","empire","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"305","vintage","average",4.7,"s","summer","turndowncollor","short","empire","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"246","casual","average",4.7,"l","spring","v-neck","halfsleeve","natural","Material_cotton","FabricType_broadcloth","Decoration_lace","Pattern_print","2"
"238","casual","average",4.7,"l","summer","o-neck","sleevless","natural","Material_silk","FabricType_chiffon","Decoration_beading","Pattern_solid","1"
"218","casual","low",4.6,"l","winter","o-neck","full","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"134","bohemian","average",4.7,"l","autumn","o-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"461","casual","average",4.5,"m","summer","o-neck","full","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"458","work","average",5,"m","summer","o-neck","sleveless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"390","casual","average",4.65032258064516,"m","spring","o-neck","halfsleeve","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"52","casual","average",4.65032258064516,"l","spring","o-neck","halfsleeve","natural","Material_polyster","FabricType_chiffon","Decoration_hollowout","Pattern_solid","2"
"438","bohemian","low",4.6,"free","winter","o-neck","sleevless","empire","Material_polyster","FabricType_chiffon","Decoration_lace","Pattern_patchwork","2"
"396","casual","average",4.5,"free","summer","o-neck","short","natural","Material_polyster","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"64","sexy","low",4,"s","autumn","o-neck","sleevless","empire","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"356","vintage","low",4,"free","summer","turndowncollor","short","natural","Material_cotton","FabricType_wollen","Decoration_hollowout","Pattern_solid","1"
"478","cute","average",5,"m","autumn","v-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"123","sexy","low",4.65032258064516,"free","winter","v-neck","sleevless","empire","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"76","casual","average",5,"xl","winter","boat-neck","full","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_geometric","2"
"217","casual","low",4.6,"free","summer","o-neck","full","natural","Material_cotton","FabricType_worsted","Decoration_lace","Pattern_solid","2"
"97","casual","average",4.65032258064516,"free","winter","v-neck","full","natural","Material_cotton","FabricType_chiffon","Decoration_ruffles","Pattern_print","1"
"193","cute","average",4.65032258064516,"m","summer","o-neck","short","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_print","1"
"18","brief","average",4.65032258064516,"m","winter","peterpan-collor","threequarter","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_patchwork","1"
"272","party","very-high",4.9,"m","spring","sweetheart","sleevless","natural","Material_silk","FabricType_chiffon","Decoration_beading","Pattern_solid","2"
"30","casual","average",4.6,"l","autumn","o-neck","sleevless","empire","Material_polyster","FabricType_chiffon","Decoration_ruffles","Pattern_solid","1"
"173","casual","average",4.5,"m","winter","v-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_button","Pattern_striped","1"
"236","bohemian","average",5,"m","spring","slash-neck","sleevless","empire","Material_cotton","FabricType_chiffon","Decoration_ruffles","Pattern_solid","2"
"74","casual","low",4.4,"s","autumn","o-neck","sleevless","natural","Material_polyster","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"15","casual","low",4.65032258064516,"free","winter","boat-neck","full","natural","Material_other","FabricType_other","Decoration_lace","Pattern_solid","1"
"452","casual","average",4.8,"l","autumn","boat-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_sashes","Pattern_solid","1"
"264","party","very-high",4.9,"m","spring","sweetheart","sleeevless","empire","Material_cotton","FabricType_chiffon","Decoration_beading","Pattern_solid","2"
"348","casual","low",4.7,"free","winter","o-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"91","casual","average",4.8,"l","winter","o-neck","short","natural","Material_cotton","FabricType_chiffon","Decoration_pockets","Pattern_solid","2"
"121","vintage","average",4.65032258064516,"free","summer","o-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"151","vintage","medium",4.65032258064516,"s","winter","turndowncollor","halfsleeve","natural","Material_cotton","FabricType_broadcloth","Decoration_lace","Pattern_plaid","1"
"387","casual","low",4.7,"free","summer","o-neck","full","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"206","vintage","average",4.5,"l","autumn","o-neck","sleevless","empire","Material_cotton","FabricType_worsted","Decoration_lace","Pattern_solid","1"
"248","casual","average",4.7,"m","summer","o-neck","sleevless","natural","Material_polyster","FabricType_chiffon","Decoration_lace","Pattern_character","1"
"440","sexy","low",4.5,"free","summer","o-neck","sleevless","empire","Material_cotton","FabricType_chiffon","Decoration_sashes","Pattern_solid","2"
"228","casual","average",5,"free","summer","v-neck","sleevless","natural","Material_modal","FabricType_chiffon","Decoration_lace","Pattern_patchwork","1"
"139","cute","average",4.3,"free","summer","boat-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"125","casual","average",4.4,"m","summer","o-neck","short","empire","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_patchwork","1"
"439","casual","low",4.6,"free","autumn","o-neck","full","natural","Material_rayon","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"363","casual","average",4.1,"l","winter","o-neck","sleevless","natural","Material_polyster","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"499","casual","low",4.4,"free","summer","v-neck","short","empire","Material_cotton","FabricType_corduroy","Decoration_lace","Pattern_solid","1"
"270","party","average",4.8,"l","summer","sweetheart","sleevless","empire","Material_cotton","FabricType_chiffon","Decoration_pleat","Pattern_solid","2"
"467","casual","low",4.4,"l","summer","o-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"337","casual","low",4.4,"free","spring","o-neck","sleevless","natural","Material_polyster","FabricType_chiffon","Decoration_sashes","Pattern_print","1"
"436","party","average",4.7,"m","spring","o-neck","halfsleeve","empire","Material_cotton","FabricType_shiffon","Decoration_lace","Pattern_patchwork","1"
"211","casual","average",5,"m","winter","o-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_sashes","Pattern_solid","2"
"126","cute","low",4.9,"m","autumn","o-neck","short","natural","Material_chiffonfabric","FabricType_chiffon","Decoration_bow","Pattern_dot","1"
"132","work","average",4.6,"m","spring","v-neck","full","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"40","brief","average",5,"free","spring","v-neck","sleevless","natural","Material_cotton","FabricType_broadcloth","Decoration_lace","Pattern_solid","2"
"35","casual","low",4.6,"free","winter","boat-neck","full","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_patchwork","2"
"296","casual","medium",4.7,"m","spring","o-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_bow","Pattern_solid","2"
"394","casual","low",5,"free","winter","o-neck","full","natural","Material_wool","FabricType_chiffon","Decoration_applique","Pattern_solid","1"
"386","bohemian","average",4,"free","winter","o-neck","sleevless","natural","Material_polyster","FabricType_chiffon","Decoration_ruffles","Pattern_striped","1"
