"","Latitude","Altitude","Rainfall","Frosts","Year","Sp","PMCno","DBH","Ht","Surv","Vig","Ins_res","Stem_Fm","Crown_Fm","Brnch_Fm","Utility"
"422",-40.95,180,1080,-3,1983,"co",2562,9.94,7.46,50,3,4,3,4,3,"0"
"111",-39.8333333333333,70,1000,-2,1981,"nd",1596,12.6,8,37,2.5,3.5,4,4,4,"0"
"404",-40.95,180,1080,-3,1983,"co",1,11.88,9.81,63,3,4,2.5,2.5,2.5,"0"
"532",-41.2666666666667,300,1200,-3,1982,"nd",2635,17.4,10.66,75,3,2,4,4,3,"1"
"506",-41.2666666666667,300,1200,-3,1982,"ov",1788,6.76,6.76,75,1,1,3,3,3,"0"
"556",-41.2666666666667,300,1200,-3,1982,"ka",1171,8.4,3.91,100,3,2,1,2,1,"0"
"343",-40.6,150,1250,-3,1983,"re",2550,7.84,3.34,38,2,2.3,1.5,2,2,"0"
"582",-40,150,1300,-2,1983,"ni",2547,37.49,17.45,40,4.5,2.6,3.6,2.9,2.3,"1"
"121",-39.8333333333333,70,1000,-2,1981,"si",2435,19.6,12.3,75,3.3,3,3.3,3.5,3.5,"1"
"40",-39,200,1400,-2,1980,"nd",1596,24.42,10.47,62.0016608072002,4.5,4,4.3,3.7,3.3,"1"
"684",-39.7166666666667,150,900,-2,1986,"am",3266,25.73,11.75,40.4126427987305,3.39881441317623,3.18732299539754,1.97106240409138,2.05908810010983,1.49882174991814,"0"
"537",-41.2666666666667,300,1200,-3,1982,"ov",2571,8.98,4.08,75,4,2,2,2,2,"0"
"375",-40.6,150,1250,-3,1983,"ni",2547,25.4,18.75,13,3.7,2.7,2,2.5,2.3,"0"
"248",-41.2,160,1000,-3,1981,"ob",2469,15.2,12.3,5,3,4,3.5,3,4,"0"
"198",-40.95,180,1080,-3,1981,"fr",1339,3.81,4.73,100,3,2.7,3,3,3.5,"1"
"378",-40.6,150,1250,-3,1983,"ob",2570,34.67,15.41,13,4,3,2.5,2.5,2,"0"
"39",-39,200,1400,-2,1980,"mn",1362,11.88,8.23,67.3376648259679,2,4,4,4,4,"0"
"435",-40.95,180,1080,-3,1983,"pa",2750,3.37,3.68,50,2,2.5,3,4,3,"0"
"390",-40.95,180,1080,-3,1983,"cr",1252,12.96,11.21,88,4,4,2.5,2,2,"0"
"280",-41.2,160,1000,-3,1981,"nc",1780,4.9,2.8,63,2,3,3,3.5,3.5,"0"
"672",-39.7166666666667,150,900,-2,1986,"nd",2569,36.65,16.69,42.4336283994835,3.76370779995567,3.40990694294223,2.29882922784169,2.37877943235565,1.73312456008456,"0"
"526",-41.2666666666667,300,1200,-3,1982,"fr",2552,17.19,12.45,50,4,4,4,4,4,"1"
"642",-40.95,180,1080,-3,1981,"rd",2575,9.48,6.16,50,2,1.8,2.5,3,2.5,"0"
"45",-39,200,1400,-2,1980,"rd",1524,23.36,10.33,62.806130540363,3.3,3,3,4,4,"1"
"402",-40.95,180,1080,-3,1983,"fr",2552,5.78,7.21,13,1.5,3,4,4,4,"0"
"22",-39.6333333333333,100,850,-2,1980,"fr",1487,21.52,8.77,20,4,3.5,3,3,1,"0"
"193",-40.95,180,1080,-3,1981,"br",1113,4.62,4.11,88,3,2,2.5,3.5,3,"0"
"371",-40.6,150,1250,-3,1983,"co",2562,14.87,15.56,38,3.5,3.5,3.3,3.3,3,"1"
"499",-41.2666666666667,300,1200,-3,1982,"fa",2548,7.7,5.69,100,3,3,4,4,4,"0"
"104",-39.8333333333333,70,1000,-2,1981,"fa",1482,23,11,13,3,3.5,2,1,1,"0"
"717",-39.7166666666667,150,900,-2,1986,"pu",3272,33.68,14.41,40.9729917518415,3.64185736440324,3.32971756683903,2.14283567834428,2.21942979352472,1.59629943699647,"0"
"492",-41.2666666666667,300,1200,-3,1982,"am",2560,11.66,7.27,100,3,3,2,3,2,"0"
"616",-40,150,1300,-2,1983,"cr",1252,26.05,12.15,10,3,3,2.5,3.3,3,"0"
"615",-40,150,1300,-2,1983,"co",2562,38.79,14.56,50,3.9,3.6,3.2,3.5,2.4,"1"
"465",-41.1333333333333,220,1050,-2,1983,"ob",1522,7.6,3.76,63,2,3,3,3,3,"0"
"525",-41.2666666666667,300,1200,-3,1982,"fa",2548,10.08,6.52,50,3,3,4,4,4,"0"
"176",-40.95,180,1080,-3,1981,"fr",1786,17.74,9.99,100,5,3,3,2.5,2,"1"
"345",-40.6,150,1250,-3,1983,"rd",2575,6.87,9.4,50,1.5,3,2,2,2,"0"
"110",-39.8333333333333,70,1000,-2,1981,"ka",1171,10.4,6.4,75,1.7,1.5,0,0,0,"0"
"84",-39.8333333333333,70,1000,-2,1981,"fr",1339,17.3,13.2,71,3.3,3,3,3,3,"0"
"29",-39.6333333333333,100,850,-2,1980,"rd",1524,12.39,5.55,80,3,2.5,2,2,2,"0"
"141",-39.8333333333333,70,1000,-2,1981,"re",2482,16.4,12.1,88,4.8,3,3.3,3.5,2,"1"
"252",-41.2,160,1000,-3,1981,"re",2428,10.9,9.8,4,3,2.5,2,3,4,"0"
"620",-40,150,1300,-2,1983,"ni",2568,40.08,12.27,50,4.1,2.5,2.3,2.6,1.7,"1"
"304",-40.95,180,1080,-3,1982,"bxs",1111,12.26,6.81,71,4.2,3,3,2,2,"0"
"545",-41.2666666666667,300,1200,-3,1982,"sm",1340,1.56,2.16,50,1,2,2,2,3,"0"
"557",-41.2666666666667,300,1200,-3,1982,"ka",2631,5.75,4.26,75,2,3,2,2,2,"0"
"661",-40.95,180,1080,-3,1981,"rd",2575,7.94,6.16,51,2.5,2,2.5,4.5,4,"0"
"287",-40.95,180,1080,-3,1982,"br",2621,3.31,4.34,50,3,2.5,3,3,3,"0"
"614",-40,150,1300,-2,1983,"rd",2575,13.81,10.62,10,1.5,3,2,4,3,"0"
"145",-39.8333333333333,70,1000,-2,1981,"si",2435,20.3,13.6,63,4,2.7,3,2.5,2,"1"
"329",-40.95,180,1080,-3,1982,"sm",1340,7.58,6.06,38,2,2,3,3,3,"0"
"487",-41.1333333333333,220,1050,-2,1983,"rd",2575,15.93,9.1,88,3,3,2,2.5,2.5,"0"
"630",-40.95,180,1080,-3,1981,"bxs",1111,2.84,3.41,3,1,2,3,3,3,"0"
"498",-41.2666666666667,300,1200,-3,1982,"fa",1482,6.52,5.81,100,3,3,3,3,3,"1"
"619",-40,150,1300,-2,1983,"ni",2547,42.95,13.91,50,4.2,2.8,2,2.5,1.7,"1"
"576",-40,150,1300,-2,1983,"am",2560,24.94,14.33,10,3,4,3.5,4,3,"1"
"490",-41.1333333333333,220,1050,-2,1983,"re",2574,7.22,4.1,57,3,3,2,3,2,"0"
"103",-39.8333333333333,70,1000,-2,1981,"el",1338,13.5,10,13,3,4,3,4,3.3,"0"
"316",-40.95,180,1080,-3,1982,"rd",2575,6.97,5.32,50,2,3.5,2,3,3,"0"
"51",-39,200,1400,-2,1980,"ob",1522,30.48,12.09,58.2946676733134,4.5,4,3.5,3.5,2.5,"1"
"290",-40.95,180,1080,-3,1982,"fa",2548,22.23,12.82,100,5,4,3,3,2,"1"
"650",-40.95,180,1080,-3,1981,"nd",1596,17.27,9.01,48,3.5,3,3.3,4,3,"1"
"735",-40.6,100,1250,-2,1983,"ob",1522,27.36,11.49,67,4.7,3.3,3.4,3.4,3,"1"
"282",-41.2,160,1000,-3,1981,"rd",1524,11.8,7.4,88,2.5,2,2.5,3,3,"0"
"143",-39.8333333333333,70,1000,-2,1981,"ro",1192,12.2,4.4,75,3,2,3,2.5,2.5,"0"
"442",-41.1333333333333,220,1050,-2,1983,"fa",1482,22.62,8.83,88,2,3,3,3,3,"0"
"285",-40.95,180,1080,-3,1982,"bxs",1111,6.02,3.63,38,2.5,3,3,3,3,"0"
"48",-39,200,1400,-2,1980,"mn",1362,26.5,10.97,64.7622916594876,3.5,3.5,3.7,4,3.7,"1"
"501",-41.2666666666667,300,1200,-3,1982,"ka",2631,17.83,6.56,75,4,2,1,1,1,"0"
"511",-41.2666666666667,300,1200,-3,1982,"re",2550,9.84,8.68,75,2,2,4,4,4,"0"
"295",-40.95,180,1080,-3,1982,"nd",2635,7.48,3.74,25,3,3.5,3,4,3.5,"0"
"536",-41.2666666666667,300,1200,-3,1982,"ov",1785,2.56,2.91,75,1,1,2,2,3,"0"
"214",-41.2,160,1000,-3,1981,"br",1112,13,11.1,100,3,2,3.5,3,3,"0"
"339",-40.6,150,1250,-3,1983,"ob",1522,19.13,10.66,38,3.5,3,2.5,2.5,2,"1"
"346",-40.6,150,1250,-3,1983,"fr",2552,31.87,20.52,25,3.7,3.5,2.5,2.5,1.5,"0"
"43",-39,200,1400,-2,1980,"ov",1521,31.38,13.32,61.3462401732493,4.3,2.7,4,3.5,3.3,"1"
"1",-39.6333333333333,100,850,-2,1980,"co",1520,18.45,9.96,40,4,3,3.5,4,3.5,"1"
"674",-39.7166666666667,150,900,-2,1986,"nd",3068,4.14,1.89,47.8066336412002,2.77294499786977,2.71137437196713,2.07536627971772,2.22752054040482,1.88059472866627,"0"
"590",-40,150,1300,-2,1983,"ov",1788,31.05,15.25,30,3.2,1.8,2.8,3.5,2.9,"0"
"628",-40,150,1300,-2,1983,"ov",2571,41.87,15.25,30,4.2,2.8,2.6,3.3,2.2,"1"
"233",-41.2,160,1000,-3,1981,"rd",1524,6.5,7,50,2.5,2.5,3,3,3,"0"
"293",-40.95,180,1080,-3,1982,"nd",1596,12.21,8.72,75,3.3,3.5,3,4,3.5,"1"
"573",-41.2666666666667,300,1200,-3,1982,"rd",2575,9.63,5.11,50,1,0.5,2,2,2,"0"
"369",-40.6,150,1250,-3,1983,"am",1592,18.4,14.18,50,3.5,3.2,2,2.5,1.5,"1"
"451",-41.1333333333333,220,1050,-2,1983,"pa",2750,12.8,7.25,50,2.3,4.5,2.5,3,3,"0"
"86",-39.8333333333333,70,1000,-2,1981,"fr",2447,19.8,10.7,75,4.5,3,3,3,2.5,"1"
"483",-41.1333333333333,220,1050,-2,1983,"ob",2570,18.3,9.06,50,3.5,3,2.5,3,2.5,"0"
"327",-40.95,180,1080,-3,1982,"re",2574,15.26,14.08,25,3,4,4,4,3,"1"
"622",-40,150,1300,-2,1983,"nd",2569,31.33,10.2,10,3.5,4,3,4,3,"1"
"355",-40.6,150,1250,-3,1983,"nd",2569,15.15,15.82,75,3,3,3.1,3.4,3,"1"
"49",-39,200,1400,-2,1980,"nd",1596,24.42,7.85,60.1347334842093,3,3.5,3.3,3.3,3.3,"1"
"361",-40.6,150,1250,-3,1983,"pa",2750,29.47,14.67,88,4,4,3,3,1.7,"1"
"655",-40.95,180,1080,-3,1981,"ov",2622,11.07,8.95,70,3,2,2.5,4,3,"1"
"242",-41.2,160,1000,-3,1981,"fa",1482,15.4,15.8,4,3,3,3,3,3,"0"
"440",-41.1333333333333,220,1050,-2,1983,"co",2562,19.64,11.02,100,4,3,3,3,3,"1"
"247",-41.2,160,1000,-3,1981,"ka",1171,6.6,5.8,2,3,2.5,2.5,3,0.5,"0"
"219",-41.2,160,1000,-3,1981,"fr",1339,13.7,9.9,88,4,3,2.5,2.5,2.5,"0"
"135",-39.8333333333333,70,1000,-2,1981,"nd",1596,15.1,12.3,88,3.5,3,3.3,4,4,"1"
"713",-39.7166666666667,150,900,-2,1986,"nd",3271,12.2,5.56,45.9407360765354,3.03899955343445,2.90997919772976,2.10843597113808,2.24064414178619,1.81156168615609,"0"
"711",-39.7166666666667,150,900,-2,1986,"co",2562,29.11,12.28,43.72639389342,3.49067625017911,3.19590737674721,2.22878262157921,2.32335323616259,1.75676405742153,"0"
"377",-40.6,150,1250,-3,1983,"ob",1522,21.7,17.33,25,3.3,3,3,3,3,"1"
"408",-40.95,180,1080,-3,1983,"nd",1596,7.83,6.79,100,3,3,3.5,4.5,3.5,"1"
"654",-40.95,180,1080,-3,1981,"ov",2571,12.72,10.6,37,3,2,3.5,4.5,4.3,"1"
"565",-41.2666666666667,300,1200,-3,1982,"ov",1785,3.03,1.75,75,1,2,2,2,2,"0"
"467",-41.1333333333333,220,1050,-2,1983,"ov",2571,16.15,6.19,100,3,2.3,3,4,4,"1"
"356",-40.6,150,1250,-3,1983,"ni",2568,20.46,19.26,50,3,2.2,3.3,3.3,3,"1"
"130",-39.8333333333333,70,1000,-2,1981,"fr",1339,23.9,12.7,37,4,3,3,3,3,"1"
"65",-40.1833333333333,130,1000,-3,1980,"nd",1596,20.4,10.2,60,4,4,3,3,2.5,"1"
"359",-40.6,150,1250,-3,1983,"ov",1788,16.99,16.52,25,3,2.7,3.2,3.7,3.2,"0"
"722",-39.7166666666667,150,900,-2,1986,"te",2768,26.37,9.89,31.3091820321785,3.06451605316625,2.94401811685683,1.23929244795848,1.28165706116328,0.74567553798862,"0"
"124",-39.8333333333333,70,1000,-2,1981,"bxs",1111,14.2,10.8,100,3,2.8,3.3,3.3,3,"1"
"77",-39.8333333333333,70,1000,-2,1981,"ag",1094,3.4,5.5,50,1,1,3,3,3,"0"
"218",-41.2,160,1000,-3,1981,"fa",1482,15.9,8.8,75,4,3,3,2,2.5,"1"
"194",-40.95,180,1080,-3,1981,"jo",1595,2.29,2.67,75,2.5,1.5,3,4,4,"0"
"19",-39.6333333333333,100,850,-2,1980,"rd",1524,8.23,6.5,70,2,2,3.3,4,3.5,"0"
"273",-41.2,160,1000,-3,1981,"ob",2469,5.7,5.6,100,3,2.5,4,5,4,"1"
"418",-40.95,180,1080,-3,1983,"re",2553,4.79,4.36,38,2,3.5,3.5,4,3.5,"0"
"543",-41.2666666666667,300,1200,-3,1982,"re",2574,10.07,12.74,100,2.5,2.5,5,5,5,"1"
"419",-40.95,180,1080,-3,1983,"rd",2575,6.7,6.83,75,2.7,2.7,3,3.5,3.5,"0"
"403",-40.95,180,1080,-3,1983,"cr",1252,5.36,4.61,63,3,3,2,2,3,"0"
"587",-40,150,1300,-2,1983,"nd",2635,20.4,10.2,10,3.3,4.5,3.3,4,3.5,"1"
"16",-39.6333333333333,100,850,-2,1980,"ob",1522,13.08,9.79,90,5,4.5,5,4,4,"1"
"705",-39.7166666666667,150,900,-2,1986,"am",3266,20.16,9.21,41.4733103328746,3.22356565771084,3.06087838057902,1.93855913573554,2.03949919387435,1.53257669933905,"0"
"138",-39.8333333333333,70,1000,-2,1981,"ov",1785,10.5,7.6,88,2.3,2,3,3.5,3,"0"
"500",-41.2666666666667,300,1200,-3,1982,"ka",1171,10.81,3.45,100,3,2,1,1,1,"0"
"229",-41.2,160,1000,-3,1981,"re",2430,14,13,63,5,3,3,2,2.5,"1"
"423",-40.95,180,1080,-3,1983,"cr",1252,5.86,5.61,50,3,4,2.5,2.5,3,"0"
"421",-40.95,180,1080,-3,1983,"am",2560,13.13,11.49,88,3,4,3,4,4,"1"
"140",-39.8333333333333,70,1000,-2,1981,"re",1787,21.8,13.8,100,5,3,3,3,2,"1"
"126",-39.8333333333333,70,1000,-2,1981,"br",1113,9.6,7,100,2.6,2,3,3,3,"0"
"693",-39.7166666666667,150,900,-2,1986,"nd",2569,27.79,12.65,44.1207652683894,3.48495678339965,3.20878381191513,2.24713170298272,2.34762373511161,1.78681795495668,"0"
"508",-41.2666666666667,300,1200,-3,1982,"ov",1785,8.65,5.95,100,1.5,1,3,3,3,"0"
"592",-40,150,1300,-2,1983,"pu",2573,32.97,14.24,40,3.2,4,3.1,3.3,3,"1"
"271",-41.2,160,1000,-3,1981,"nd",1596,10.4,9.4,100,4,3,2,3.5,3,"1"
"607",-40,150,1300,-2,1983,"ob",2570,49.88,14.05,10,4,4.5,3,4,3,"1"
"577",-40,150,1300,-2,1983,"co",2562,29.22,13.58,30,3.6,3.8,3.5,3.9,3.7,"1"
"512",-41.2666666666667,300,1200,-3,1982,"re",1352,4.98,4.05,75,2,2.5,3,3,3,"0"
"629",-40,150,1300,-2,1983,"re",2550,9.99,5.33,10,1.5,2.5,3,3,3,"0"
"504",-41.2666666666667,300,1200,-3,1982,"nd",2635,8.58,7.48,100,3.5,3,2.5,3.5,3,"1"
"457",-41.1333333333333,220,1050,-2,1983,"co",2562,17.62,9.9,88,3.3,3.3,3,3.5,3.3,"1"
"358",-40.6,150,1250,-3,1983,"ob",2570,22.98,19.9,50,4,2.7,3.5,3.3,3.5,"1"
"127",-39.8333333333333,70,1000,-2,1981,"el",1338,18.9,9,13,2,3.5,3,3.5,3,"0"
"41",-39,200,1400,-2,1980,"ni",2088,31.74,11.69,53.4621017517678,4,2.5,3,3,2,"1"
"548",-41.2666666666667,300,1200,-3,1982,"bxs",1111,11.9,7.2,100,3,2,3,3,3,"0"
"305",-40.95,180,1080,-3,1982,"br",2620,3.54,3.43,100,2.5,2,3.3,3.3,3.3,"0"
"413",-40.95,180,1080,-3,1983,"ov",1788,16.16,10.98,13,3.5,2.5,3,4,3,"1"
"651",-40.95,180,1080,-3,1981,"nd",2634,11.84,9.13,18,2.5,3.5,2.5,3.5,3,"0"
"309",-40.95,180,1080,-3,1982,"nd",1596,5.73,4.98,75,2.7,3,3,4,3,"0"
"441",-41.1333333333333,220,1050,-2,1983,"cr",1252,14.13,8.85,100,3,2.5,1.5,2,2,"0"
"117",-39.8333333333333,70,1000,-2,1981,"re",2482,17,14.1,88,4.5,3,3.7,3.7,3.7,"1"
"566",-41.2666666666667,300,1200,-3,1982,"ov",2571,6.41,3.26,75,2,2,2,2,2,"0"
"470",-41.1333333333333,220,1050,-2,1983,"rd",2575,13.31,8.75,75,2.8,3,2.5,3,2.5,"0"
"336",-40.6,150,1250,-3,1983,"nd",2569,17.83,11.8,50,3,3,3,4,2.5,"1"
"349",-40.6,150,1250,-3,1983,"am",1592,24.95,19.69,50,3.5,3,2.7,3,2.7,"1"
"72",-40.1833333333333,130,1000,-3,1980,"nd",1596,24.5,12,20,4,4,4,4,2,"1"
"474",-41.1333333333333,220,1050,-2,1983,"co",2562,17.62,9.9,100,3.5,3,3,3.3,3.3,"1"
"168",-40.95,180,1080,-3,1981,"br",1112,11.43,7.83,88,3,2,3.5,4,4,"1"
"645",-40.95,180,1080,-3,1981,"am",2560,9.16,7.23,17,3,4,3,4,4,"0"
"586",-40,150,1300,-2,1983,"nd",2634,40.52,18.95,10,4.5,4.5,3,4,2,"1"
"455",-41.1333333333333,220,1050,-2,1983,"am",1592,24.3,10.49,50,3.5,3,3,4,2.5,"1"
"608",-40,150,1300,-2,1983,"ob",1522,52.26,15.45,10,5,4.5,2.5,2,2.5,"1"
"234",-41.2,160,1000,-3,1981,"sm",1340,5.7,5.7,100,3,2,3,3,3,"0"
"484",-41.1333333333333,220,1050,-2,1983,"ov",2571,14.53,5.57,100,3,2,3,4,3.5,"0"
"706",-39.7166666666667,150,900,-2,1986,"am",3267,16.63,7.59,42.1449168569138,3.11217347962252,2.98054271343944,1.91773933227125,2.02687862038074,1.55384803092813,"0"
"73",-40.1833333333333,130,1000,-3,1980,"ni",2088,17.6,9,90,4.5,2.5,3,2,1.5,"1"
"539",-41.2666666666667,300,1200,-3,1982,"re",2550,5.44,4.05,50,1,2,3,3,3,"0"
"15",-39.6333333333333,100,850,-2,1980,"ni",2088,10.78,8.93,100,3,2,3,3,3,"1"
"610",-40,150,1300,-2,1983,"ov",2571,39.79,18.02,40,4.3,2.5,3.4,3.8,3.1,"1"
"294",-40.95,180,1080,-3,1982,"nd",2634,6.6,8.1,50,2.8,4,3,4,3.5,"0"
"62",-40.1833333333333,130,1000,-3,1980,"rd",1524,5.4,4.5,20,1,2,3,3,3,"0"
"696",-39.7166666666667,150,900,-2,1986,"pu",3272,35.37,15.14,40.6552904880015,3.69348426033777,3.36697804554769,2.15209406967194,2.22485289492889,1.58597247643898,"0"
"35",-39,200,1400,-2,1980,"pu",1523,33.13,12.33,58.1664597174408,4,4,3.5,4,2.7,"1"
"381",-40.6,150,1250,-3,1983,"pa",2750,32.75,16.37,50,4,4,2,2,2,"1"
"602",-40,150,1300,-2,1983,"ni",2547,46.36,19.09,40,4.3,2.6,3.8,2.9,2.6,"1"
"604",-40,150,1300,-2,1983,"nd",1596,26.3638080811916,17.05,40,3.9,3.9,3.2,3.3,2.4,"1"
"626",-40,150,1300,-2,1983,"ob",1522,42.43,13.35,40,4,3.4,3,3.5,2.1,"1"
"31",-39,200,1400,-2,1980,"fr",1487,27.98,8.64,51.2973791767019,2.3,4,2,2,2,"0"
"28",-39.6333333333333,100,850,-2,1980,"pu",1523,17.18,9.99,90,4.3,4.5,3.5,4,3.3,"1"
"544",-41.2666666666667,300,1200,-3,1982,"rd",2575,8.56,3.33,75,2,3,2,2,2,"0"
"148",-40.95,180,1080,-3,1981,"bxs",1111,4.49,4.11,44,2.5,3,3,3,3,"0"
"572",-41.2666666666667,300,1200,-3,1982,"re",2574,13.55,9.26,75,3,3,4,4,3.5,"1"
"284",-41.2,160,1000,-3,1981,"jo",1595,1.5,1.8,88,1.5,1,3,4,3,"0"
"334",-40.6,150,1250,-3,1983,"fa",2548,41.04,16.6,50,3.3,3,2,1.5,1.5,"1"
"703",-39.7166666666667,150,900,-2,1986,"te",3275,28.19,10.57,30.1495414919294,3.14772624081859,3.02068182188467,1.21301562627463,1.24829564335272,0.683938962591365,"0"
"268",-41.2,160,1000,-3,1981,"fr",1339,10.1,9.5,75,3,3,2,2,2,"0"
"93",-39.8333333333333,70,1000,-2,1981,"re",1787,18.1,14.8,100,4.6,4,4.3,4.3,4,"1"
"561",-41.2666666666667,300,1200,-3,1982,"nd",2635,13.73,8.58,75,3,3,3,3,3,"0"
"300",-40.95,180,1080,-3,1982,"rd",2575,2.72,3.43,50,1,1,2,2,3,"0"
"652",-40.95,180,1080,-3,1981,"ov",1788,9.54,6.83,13,2.5,1.8,2.5,4,3,"0"
"241",-41.2,160,1000,-3,1981,"fa",1978,19.6,10.3,3,3,2.5,2.5,2,2,"0"
"33",-39,200,1400,-2,1980,"ni",2088,33.41,8.35,47.7706383559754,4,2.8,2.5,1.5,1.5,"0"
"437",-40.95,180,1080,-3,1983,"rd",2575,2.63,4.6,38,2,1.5,3,3,3,"0"
"564",-41.2666666666667,300,1200,-3,1982,"ov",1259,11.66,6.18,75,3,2,3,3,3,"0"
"634",-40.95,180,1080,-3,1981,"nd",1596,4.56,3.58,13,2,3,2,3,3,"0"
"217",-41.2,160,1000,-3,1981,"fa",1978,15.7,10,100,4,3,2.5,2.5,2.5,"1"
"108",-39.8333333333333,70,1000,-2,1981,"fr",2447,20.8,12.6,63,4,3,3.3,3.5,3.5,"1"
"580",-40,150,1300,-2,1983,"fa",1482,38.15,16.85,10,3.5,4,3.3,4,3.5,"1"
"731",-40.2622221725586,150,1750,-2,1986,"te",2859.83358428325,29.02,10.87,34.9895612048195,3.39473962672006,3.27719748841854,1.62994065741589,1.70173182356492,1.11329533547781,"0"
"209",-40.95,180,1080,-3,1981,"rd",1524,4.49,4.49,88,2.3,2,2.5,4,3,"0"
"338",-40.6,150,1250,-3,1983,"ni",2568,24.89,16.71,63,3,2.5,2.7,3,2,"0"
"434",-40.95,180,1080,-3,1983,"ov",2571,8.75,7.27,38,3.5,2.5,3,4,3.3,"0"
"256",-41.2,160,1000,-3,1981,"nc",1780,3.2,5.9,1.5,3,2,2,2,0,"0"
"201",-40.95,180,1080,-3,1981,"nd",1596,7.03,5.99,88,3.5,2.7,3.5,4,4,"1"
"712",-39.7166666666667,150,900,-2,1986,"nd",3270,29.29,13.33,42.6903631270978,3.57575431950904,3.29722936562594,2.20788606243803,2.3005239186667,1.70804451612676,"0"
"354",-40.6,150,1250,-3,1983,"nd",1596,21.45,16.76,75,3,3.2,3.3,3.5,3,"1"
"357",-40.6,150,1250,-3,1983,"ob",1522,20.8,15.41,25,3.5,2.8,3.3,3.2,3.5,"1"
"560",-41.2666666666667,300,1200,-3,1982,"nd",2634,16.3,7.84,100,3,3,3,3,3,"0"
"75",-40.1833333333333,130,1000,-3,1980,"pu",1523,11.5,9,20,2.7,3.7,4,4,3,"1"
"2",-39.6333333333333,100,850,-2,1980,"fr",1487,13.15,9.65,90,4.5,4,3.5,3.5,3,"1"
"116",-39.8333333333333,70,1000,-2,1981,"re",1787,19.6,16.6,100,5,3,4,4,3,"1"
"131",-39.8333333333333,70,1000,-2,1981,"fr",1786,17.8,12.2,63,4.7,3.1,3,3,3,"1"
"367",-40.6,150,1250,-3,1983,"ob",2458,18.88,10.53,63,3.5,3,2,2,1.5,"0"
"714",-39.7166666666667,150,900,-2,1986,"nd",2569,22.89,10.42,45.0533954130474,3.3309581249825,3.09767026409811,2.21860450436076,2.3304483331235,1.81652199522984,"0"
"633",-40.95,180,1080,-3,1981,"fa",2548,15.58,8.06,27,3,3.5,3,2.5,3,"0"
"517",-41.2666666666667,300,1200,-3,1982,"am",1592,4.73,5.31,100,2,3,3,4,4,"1"
"156",-40.95,180,1080,-3,1981,"ob",2469,19.92,7.37,13,2,2.5,3,3,3,"0"
"439",-41.1333333333333,220,1050,-2,1983,"am",2560,20.72,8.67,100,3.5,3.5,2.5,4,4,"1"
"197",-40.95,180,1080,-3,1981,"fa",1482,10.54,7.84,88,4,3.3,3.3,3.5,3.5,"1"
