"","handicapped.infants","water.project.cost.sharing","adoption.of.the.budget.resolution","physician.fee.freeze","el.salvador.aid","religious.groups.in.schools","anti.satellite.test.ban","aid.to.nicaraguan.contras","mx.missile","immigration","synfuels.corporation.cutback","education.spending","superfund.right.to.sue","crime","duty.free.exports","export.administration.act.south.africa","Class"
"289","handicapped.infants_y","water.project.cost.sharing_y","adoption.of.the.budget.resolution_y","physician.fee.freeze_n","el.salvador.aid_y","religious.groups.in.schools_y","anti.satellite.test.ban_n","aid.to.nicaraguan.contras_y","mx.missile_n","immigration_y","synfuels.corporation.cutback_y","education.spending_n","superfund.right.to.sue_y","crime_y","duty.free.exports_n","export.administration.act.south.africa_y","democrat"
"424","handicapped.infants_n","water.project.cost.sharing_y","adoption.of.the.budget.resolution_y","physician.fee.freeze_n","el.salvador.aid_n","religious.groups.in.schools_y","anti.satellite.test.ban_y","aid.to.nicaraguan.contras_y","mx.missile_y","immigration_y","synfuels.corporation.cutback_y","education.spending_n","superfund.right.to.sue_y","crime_y","duty.free.exports_y","export.administration.act.south.africa_y","democrat"
"381","handicapped.infants_y","water.project.cost.sharing_y","adoption.of.the.budget.resolution_y","physician.fee.freeze_n","el.salvador.aid_y","religious.groups.in.schools_y","anti.satellite.test.ban_y","aid.to.nicaraguan.contras_y","mx.missile_y","immigration_y","synfuels.corporation.cutback_y","education.spending_n","superfund.right.to.sue_y","crime_y","duty.free.exports_n","export.administration.act.south.africa_y","democrat"
"88","handicapped.infants_n","water.project.cost.sharing_y","adoption.of.the.budget.resolution_y","physician.fee.freeze_n","el.salvador.aid_y","religious.groups.in.schools_y","anti.satellite.test.ban_y","aid.to.nicaraguan.contras_n","mx.missile_y","immigration_y","synfuels.corporation.cutback_y","education.spending_n","superfund.right.to.sue_y","crime_y","duty.free.exports_n","export.administration.act.south.africa_y","democrat"
"288","handicapped.infants_y","water.project.cost.sharing_y","adoption.of.the.budget.resolution_y","physician.fee.freeze_n","el.salvador.aid_y","religious.groups.in.schools_y","anti.satellite.test.ban_n","aid.to.nicaraguan.contras_y","mx.missile_n","immigration_y","synfuels.corporation.cutback_y","education.spending_n","superfund.right.to.sue_y","crime_y","duty.free.exports_y","export.administration.act.south.africa_y","democrat"
"339","handicapped.infants_y","water.project.cost.sharing_n","adoption.of.the.budget.resolution_n","physician.fee.freeze_y","el.salvador.aid_y","religious.groups.in.schools_y","anti.satellite.test.ban_n","aid.to.nicaraguan.contras_n","mx.missile_n","immigration_n","synfuels.corporation.cutback_y","education.spending_y","superfund.right.to.sue_y","crime_y","duty.free.exports_n","export.administration.act.south.africa_n","republican"
"325","handicapped.infants_n","water.project.cost.sharing_y","adoption.of.the.budget.resolution_n","physician.fee.freeze_n","el.salvador.aid_y","religious.groups.in.schools_y","anti.satellite.test.ban_n","aid.to.nicaraguan.contras_n","mx.missile_y","immigration_n","synfuels.corporation.cutback_n","education.spending_y","superfund.right.to.sue_y","crime_y","duty.free.exports_n","export.administration.act.south.africa_y","democrat"
"423","handicapped.infants_n","water.project.cost.sharing_y","adoption.of.the.budget.resolution_y","physician.fee.freeze_n","el.salvador.aid_n","religious.groups.in.schools_y","anti.satellite.test.ban_y","aid.to.nicaraguan.contras_y","mx.missile_y","immigration_n","synfuels.corporation.cutback_y","education.spending_n","superfund.right.to.sue_n","crime_y","duty.free.exports_y","export.administration.act.south.africa_y","democrat"
"41","handicapped.infants_y","water.project.cost.sharing_y","adoption.of.the.budget.resolution_y","physician.fee.freeze_n","el.salvador.aid_n","religious.groups.in.schools_n","anti.satellite.test.ban_y","aid.to.nicaraguan.contras_y","mx.missile_y","immigration_n","synfuels.corporation.cutback_n","education.spending_n","superfund.right.to.sue_n","crime_n","duty.free.exports_y","export.administration.act.south.africa_y","democrat"
"110","handicapped.infants_n","water.project.cost.sharing_n","adoption.of.the.budget.resolution_y","physician.fee.freeze_n","el.salvador.aid_n","religious.groups.in.schools_n","anti.satellite.test.ban_y","aid.to.nicaraguan.contras_y","mx.missile_y","immigration_y","synfuels.corporation.cutback_n","education.spending_n","superfund.right.to.sue_n","crime_n","duty.free.exports_y","export.administration.act.south.africa_y","democrat"
"403","handicapped.infants_n","water.project.cost.sharing_y","adoption.of.the.budget.resolution_n","physician.fee.freeze_y","el.salvador.aid_y","religious.groups.in.schools_y","anti.satellite.test.ban_n","aid.to.nicaraguan.contras_n","mx.missile_n","immigration_y","synfuels.corporation.cutback_n","education.spending_y","superfund.right.to.sue_y","crime_y","duty.free.exports_n","export.administration.act.south.africa_n","republican"
"19","handicapped.infants_y","water.project.cost.sharing_y","adoption.of.the.budget.resolution_y","physician.fee.freeze_n","el.salvador.aid_n","religious.groups.in.schools_n","anti.satellite.test.ban_y","aid.to.nicaraguan.contras_y","mx.missile_y","immigration_n","synfuels.corporation.cutback_y","education.spending_n","superfund.right.to.sue_n","crime_n","duty.free.exports_y","export.administration.act.south.africa_y","democrat"
"43","handicapped.infants_y","water.project.cost.sharing_n","adoption.of.the.budget.resolution_y","physician.fee.freeze_n","el.salvador.aid_n","religious.groups.in.schools_n","anti.satellite.test.ban_y","aid.to.nicaraguan.contras_y","mx.missile_y","immigration_n","synfuels.corporation.cutback_n","education.spending_n","superfund.right.to.sue_n","crime_n","duty.free.exports_y","export.administration.act.south.africa_y","democrat"
"376","handicapped.infants_y","water.project.cost.sharing_n","adoption.of.the.budget.resolution_y","physician.fee.freeze_n","el.salvador.aid_n","religious.groups.in.schools_n","anti.satellite.test.ban_y","aid.to.nicaraguan.contras_y","mx.missile_y","immigration_n","synfuels.corporation.cutback_y","education.spending_n","superfund.right.to.sue_n","crime_n","duty.free.exports_y","export.administration.act.south.africa_y","democrat"
"342","handicapped.infants_n","water.project.cost.sharing_y","adoption.of.the.budget.resolution_y","physician.fee.freeze_n","el.salvador.aid_y","religious.groups.in.schools_y","anti.satellite.test.ban_y","aid.to.nicaraguan.contras_n","mx.missile_n","immigration_y","synfuels.corporation.cutback_y","education.spending_n","superfund.right.to.sue_y","crime_n","duty.free.exports_y","export.administration.act.south.africa_y","democrat"
"69","handicapped.infants_y","water.project.cost.sharing_y","adoption.of.the.budget.resolution_y","physician.fee.freeze_n","el.salvador.aid_n","religious.groups.in.schools_n","anti.satellite.test.ban_y","aid.to.nicaraguan.contras_y","mx.missile_y","immigration_n","synfuels.corporation.cutback_n","education.spending_n","superfund.right.to.sue_n","crime_n","duty.free.exports_y","export.administration.act.south.africa_y","democrat"
"120","handicapped.infants_n","water.project.cost.sharing_n","adoption.of.the.budget.resolution_y","physician.fee.freeze_y","el.salvador.aid_y","religious.groups.in.schools_y","anti.satellite.test.ban_n","aid.to.nicaraguan.contras_n","mx.missile_n","immigration_y","synfuels.corporation.cutback_n","education.spending_y","superfund.right.to.sue_y","crime_y","duty.free.exports_n","export.administration.act.south.africa_y","republican"
"39","handicapped.infants_y","water.project.cost.sharing_n","adoption.of.the.budget.resolution_y","physician.fee.freeze_n","el.salvador.aid_n","religious.groups.in.schools_n","anti.satellite.test.ban_y","aid.to.nicaraguan.contras_y","mx.missile_y","immigration_y","synfuels.corporation.cutback_y","education.spending_n","superfund.right.to.sue_y","crime_n","duty.free.exports_y","export.administration.act.south.africa_y","democrat"
"171","handicapped.infants_n","water.project.cost.sharing_n","adoption.of.the.budget.resolution_n","physician.fee.freeze_y","el.salvador.aid_y","religious.groups.in.schools_y","anti.satellite.test.ban_n","aid.to.nicaraguan.contras_n","mx.missile_n","immigration_y","synfuels.corporation.cutback_n","education.spending_y","superfund.right.to.sue_y","crime_y","duty.free.exports_n","export.administration.act.south.africa_y","republican"
"24","handicapped.infants_y","water.project.cost.sharing_n","adoption.of.the.budget.resolution_y","physician.fee.freeze_n","el.salvador.aid_n","religious.groups.in.schools_n","anti.satellite.test.ban_y","aid.to.nicaraguan.contras_y","mx.missile_y","immigration_n","synfuels.corporation.cutback_n","education.spending_n","superfund.right.to.sue_n","crime_n","duty.free.exports_y","export.administration.act.south.africa_y","democrat"
"374","handicapped.infants_n","water.project.cost.sharing_y","adoption.of.the.budget.resolution_n","physician.fee.freeze_y","el.salvador.aid_y","religious.groups.in.schools_y","anti.satellite.test.ban_n","aid.to.nicaraguan.contras_n","mx.missile_n","immigration_n","synfuels.corporation.cutback_n","education.spending_y","superfund.right.to.sue_y","crime_y","duty.free.exports_n","export.administration.act.south.africa_y","republican"
"247","handicapped.infants_n","water.project.cost.sharing_y","adoption.of.the.budget.resolution_n","physician.fee.freeze_y","el.salvador.aid_y","religious.groups.in.schools_y","anti.satellite.test.ban_y","aid.to.nicaraguan.contras_n","mx.missile_n","immigration_n","synfuels.corporation.cutback_n","education.spending_n","superfund.right.to.sue_y","crime_y","duty.free.exports_n","export.administration.act.south.africa_n","republican"
"197","handicapped.infants_n","water.project.cost.sharing_n","adoption.of.the.budget.resolution_y","physician.fee.freeze_y","el.salvador.aid_y","religious.groups.in.schools_y","anti.satellite.test.ban_n","aid.to.nicaraguan.contras_n","mx.missile_n","immigration_y","synfuels.corporation.cutback_n","education.spending_n","superfund.right.to.sue_n","crime_y","duty.free.exports_n","export.administration.act.south.africa_y","republican"
"377","handicapped.infants_n","water.project.cost.sharing_y","adoption.of.the.budget.resolution_n","physician.fee.freeze_y","el.salvador.aid_y","religious.groups.in.schools_y","anti.satellite.test.ban_y","aid.to.nicaraguan.contras_y","mx.missile_n","immigration_n","synfuels.corporation.cutback_n","education.spending_n","superfund.right.to.sue_y","crime_y","duty.free.exports_n","export.administration.act.south.africa_y","republican"
"38","handicapped.infants_n","water.project.cost.sharing_y","adoption.of.the.budget.resolution_n","physician.fee.freeze_y","el.salvador.aid_y","religious.groups.in.schools_y","anti.satellite.test.ban_n","aid.to.nicaraguan.contras_n","mx.missile_n","immigration_y","synfuels.corporation.cutback_n","education.spending_y","superfund.right.to.sue_y","crime_y","duty.free.exports_n","export.administration.act.south.africa_n","republican"
"297","handicapped.infants_y","water.project.cost.sharing_y","adoption.of.the.budget.resolution_y","physician.fee.freeze_n","el.salvador.aid_n","religious.groups.in.schools_y","anti.satellite.test.ban_y","aid.to.nicaraguan.contras_y","mx.missile_y","immigration_y","synfuels.corporation.cutback_n","education.spending_n","superfund.right.to.sue_y","crime_n","duty.free.exports_y","export.administration.act.south.africa_y","democrat"
"279","handicapped.infants_n","water.project.cost.sharing_n","adoption.of.the.budget.resolution_n","physician.fee.freeze_y","el.salvador.aid_y","religious.groups.in.schools_y","anti.satellite.test.ban_n","aid.to.nicaraguan.contras_n","mx.missile_n","immigration_y","synfuels.corporation.cutback_n","education.spending_y","superfund.right.to.sue_y","crime_y","duty.free.exports_n","export.administration.act.south.africa_n","republican"
"159","handicapped.infants_n","water.project.cost.sharing_y","adoption.of.the.budget.resolution_y","physician.fee.freeze_n","el.salvador.aid_y","religious.groups.in.schools_y","anti.satellite.test.ban_y","aid.to.nicaraguan.contras_y","mx.missile_y","immigration_y","synfuels.corporation.cutback_y","education.spending_n","superfund.right.to.sue_n","crime_y","duty.free.exports_n","export.administration.act.south.africa_y","democrat"
"13","handicapped.infants_y","water.project.cost.sharing_y","adoption.of.the.budget.resolution_y","physician.fee.freeze_n","el.salvador.aid_n","religious.groups.in.schools_y","anti.satellite.test.ban_y","aid.to.nicaraguan.contras_y","mx.missile_y","immigration_y","synfuels.corporation.cutback_y","education.spending_n","superfund.right.to.sue_n","crime_n","duty.free.exports_y","export.administration.act.south.africa_y","democrat"
"129","handicapped.infants_n","water.project.cost.sharing_n","adoption.of.the.budget.resolution_y","physician.fee.freeze_n","el.salvador.aid_n","religious.groups.in.schools_n","anti.satellite.test.ban_y","aid.to.nicaraguan.contras_y","mx.missile_y","immigration_n","synfuels.corporation.cutback_n","education.spending_n","superfund.right.to.sue_y","crime_y","duty.free.exports_n","export.administration.act.south.africa_y","democrat"
"44","handicapped.infants_y","water.project.cost.sharing_y","adoption.of.the.budget.resolution_y","physician.fee.freeze_n","el.salvador.aid_n","religious.groups.in.schools_n","anti.satellite.test.ban_y","aid.to.nicaraguan.contras_y","mx.missile_y","immigration_n","synfuels.corporation.cutback_y","education.spending_n","superfund.right.to.sue_n","crime_n","duty.free.exports_n","export.administration.act.south.africa_y","democrat"
"21","handicapped.infants_y","water.project.cost.sharing_y","adoption.of.the.budget.resolution_y","physician.fee.freeze_n","el.salvador.aid_n","religious.groups.in.schools_n","anti.satellite.test.ban_y","aid.to.nicaraguan.contras_y","mx.missile_y","immigration_n","synfuels.corporation.cutback_n","education.spending_n","superfund.right.to.sue_y","crime_y","duty.free.exports_y","export.administration.act.south.africa_y","democrat"
"205","handicapped.infants_n","water.project.cost.sharing_n","adoption.of.the.budget.resolution_y","physician.fee.freeze_n","el.salvador.aid_n","religious.groups.in.schools_y","anti.satellite.test.ban_y","aid.to.nicaraguan.contras_y","mx.missile_y","immigration_y","synfuels.corporation.cutback_n","education.spending_y","superfund.right.to.sue_n","crime_n","duty.free.exports_n","export.administration.act.south.africa_y","democrat"
"229","handicapped.infants_n","water.project.cost.sharing_y","adoption.of.the.budget.resolution_y","physician.fee.freeze_y","el.salvador.aid_y","religious.groups.in.schools_y","anti.satellite.test.ban_y","aid.to.nicaraguan.contras_n","mx.missile_y","immigration_y","synfuels.corporation.cutback_n","education.spending_y","superfund.right.to.sue_y","crime_y","duty.free.exports_n","export.administration.act.south.africa_y","republican"
"192","handicapped.infants_n","water.project.cost.sharing_n","adoption.of.the.budget.resolution_n","physician.fee.freeze_n","el.salvador.aid_n","religious.groups.in.schools_y","anti.satellite.test.ban_y","aid.to.nicaraguan.contras_y","mx.missile_y","immigration_n","synfuels.corporation.cutback_y","education.spending_n","superfund.right.to.sue_n","crime_y","duty.free.exports_y","export.administration.act.south.africa_y","democrat"
"370","handicapped.infants_y","water.project.cost.sharing_y","adoption.of.the.budget.resolution_y","physician.fee.freeze_n","el.salvador.aid_y","religious.groups.in.schools_y","anti.satellite.test.ban_y","aid.to.nicaraguan.contras_y","mx.missile_n","immigration_y","synfuels.corporation.cutback_n","education.spending_n","superfund.right.to.sue_n","crime_n","duty.free.exports_y","export.administration.act.south.africa_y","democrat"
"103","handicapped.infants_y","water.project.cost.sharing_n","adoption.of.the.budget.resolution_n","physician.fee.freeze_n","el.salvador.aid_y","religious.groups.in.schools_y","anti.satellite.test.ban_y","aid.to.nicaraguan.contras_n","mx.missile_y","immigration_n","synfuels.corporation.cutback_n","education.spending_n","superfund.right.to.sue_n","crime_y","duty.free.exports_n","export.administration.act.south.africa_n","democrat"
"407","handicapped.infants_n","water.project.cost.sharing_n","adoption.of.the.budget.resolution_n","physician.fee.freeze_y","el.salvador.aid_y","religious.groups.in.schools_y","anti.satellite.test.ban_n","aid.to.nicaraguan.contras_n","mx.missile_n","immigration_n","synfuels.corporation.cutback_y","education.spending_y","superfund.right.to.sue_y","crime_y","duty.free.exports_n","export.administration.act.south.africa_n","democrat"
"254","handicapped.infants_y","water.project.cost.sharing_n","adoption.of.the.budget.resolution_y","physician.fee.freeze_n","el.salvador.aid_n","religious.groups.in.schools_n","anti.satellite.test.ban_y","aid.to.nicaraguan.contras_y","mx.missile_y","immigration_y","synfuels.corporation.cutback_n","education.spending_n","superfund.right.to.sue_n","crime_n","duty.free.exports_n","export.administration.act.south.africa_y","democrat"
"400","handicapped.infants_n","water.project.cost.sharing_y","adoption.of.the.budget.resolution_n","physician.fee.freeze_y","el.salvador.aid_y","religious.groups.in.schools_y","anti.satellite.test.ban_n","aid.to.nicaraguan.contras_y","mx.missile_n","immigration_n","synfuels.corporation.cutback_n","education.spending_n","superfund.right.to.sue_y","crime_y","duty.free.exports_n","export.administration.act.south.africa_y","republican"
"390","handicapped.infants_n","water.project.cost.sharing_n","adoption.of.the.budget.resolution_n","physician.fee.freeze_n","el.salvador.aid_y","religious.groups.in.schools_y","anti.satellite.test.ban_y","aid.to.nicaraguan.contras_n","mx.missile_n","immigration_n","synfuels.corporation.cutback_y","education.spending_y","superfund.right.to.sue_n","crime_y","duty.free.exports_n","export.administration.act.south.africa_y","democrat"
"102","handicapped.infants_y","water.project.cost.sharing_n","adoption.of.the.budget.resolution_y","physician.fee.freeze_n","el.salvador.aid_y","religious.groups.in.schools_y","anti.satellite.test.ban_y","aid.to.nicaraguan.contras_n","mx.missile_y","immigration_n","synfuels.corporation.cutback_y","education.spending_n","superfund.right.to.sue_y","crime_y","duty.free.exports_y","export.administration.act.south.africa_y","democrat"
"330","handicapped.infants_n","water.project.cost.sharing_y","adoption.of.the.budget.resolution_n","physician.fee.freeze_y","el.salvador.aid_y","religious.groups.in.schools_y","anti.satellite.test.ban_n","aid.to.nicaraguan.contras_n","mx.missile_n","immigration_y","synfuels.corporation.cutback_n","education.spending_y","superfund.right.to.sue_y","crime_y","duty.free.exports_n","export.administration.act.south.africa_n","republican"
"12","handicapped.infants_n","water.project.cost.sharing_y","adoption.of.the.budget.resolution_y","physician.fee.freeze_n","el.salvador.aid_n","religious.groups.in.schools_n","anti.satellite.test.ban_y","aid.to.nicaraguan.contras_y","mx.missile_y","immigration_n","synfuels.corporation.cutback_n","education.spending_n","superfund.right.to.sue_y","crime_n","duty.free.exports_n","export.administration.act.south.africa_y","democrat"
"295","handicapped.infants_n","water.project.cost.sharing_y","adoption.of.the.budget.resolution_n","physician.fee.freeze_y","el.salvador.aid_y","religious.groups.in.schools_y","anti.satellite.test.ban_y","aid.to.nicaraguan.contras_y","mx.missile_n","immigration_y","synfuels.corporation.cutback_n","education.spending_y","superfund.right.to.sue_y","crime_y","duty.free.exports_n","export.administration.act.south.africa_y","republican"
"416","handicapped.infants_y","water.project.cost.sharing_y","adoption.of.the.budget.resolution_n","physician.fee.freeze_y","el.salvador.aid_y","religious.groups.in.schools_y","anti.satellite.test.ban_n","aid.to.nicaraguan.contras_n","mx.missile_n","immigration_y","synfuels.corporation.cutback_n","education.spending_n","superfund.right.to.sue_y","crime_y","duty.free.exports_n","export.administration.act.south.africa_y","republican"
"175","handicapped.infants_n","water.project.cost.sharing_y","adoption.of.the.budget.resolution_y","physician.fee.freeze_n","el.salvador.aid_n","religious.groups.in.schools_n","anti.satellite.test.ban_y","aid.to.nicaraguan.contras_y","mx.missile_y","immigration_y","synfuels.corporation.cutback_n","education.spending_n","superfund.right.to.sue_n","crime_n","duty.free.exports_y","export.administration.act.south.africa_y","democrat"
"344","handicapped.infants_n","water.project.cost.sharing_n","adoption.of.the.budget.resolution_y","physician.fee.freeze_n","el.salvador.aid_n","religious.groups.in.schools_n","anti.satellite.test.ban_y","aid.to.nicaraguan.contras_y","mx.missile_y","immigration_y","synfuels.corporation.cutback_y","education.spending_n","superfund.right.to.sue_n","crime_n","duty.free.exports_y","export.administration.act.south.africa_y","democrat"
"278","handicapped.infants_n","water.project.cost.sharing_n","adoption.of.the.budget.resolution_n","physician.fee.freeze_y","el.salvador.aid_y","religious.groups.in.schools_y","anti.satellite.test.ban_n","aid.to.nicaraguan.contras_n","mx.missile_n","immigration_n","synfuels.corporation.cutback_n","education.spending_y","superfund.right.to.sue_y","crime_y","duty.free.exports_n","export.administration.act.south.africa_y","republican"
"109","handicapped.infants_y","water.project.cost.sharing_n","adoption.of.the.budget.resolution_y","physician.fee.freeze_n","el.salvador.aid_n","religious.groups.in.schools_n","anti.satellite.test.ban_y","aid.to.nicaraguan.contras_y","mx.missile_y","immigration_n","synfuels.corporation.cutback_n","education.spending_n","superfund.right.to.sue_n","crime_n","duty.free.exports_y","export.administration.act.south.africa_y","democrat"
