"","grain_screened","proof_on_ctd_ink","paper_type","ink_type","solvent_type","type_on_cylinder","press_type","press","unit_number","cylinder_size","paper_mill_location","plating_tank","proof_cut","viscosity","ink_temperature","humifity","roughness","blade_pressure","varnish_pct","press_speed","ink_pct","solvent_pct","ESA_Voltage","ESA_Amperage","wax","hardener","roller_durometer","current_density","anode_space_ratio","chrome_content","band_type"
"352","3","3","4","3","1","2","3","821",7,"4","3","1910",52,43,15,71,0.75,28,7.4,1500,53.2,39.4,0,0,2.5,1,34,5,98.3,3,"band"
"346","2","3","2","3","1","2","4","816",2,"3","3","1911",40,50,13,74,0.25,25,0,2500,58.8,41.2,2,0,2.5,0.5,30,5,114.29,3,"noband"
"152","3","3","4","3","1","2","2","813",1,"2","3","1910",50,68,13.4,70,0.75,NA,20.4,1700,46.3,33.3,0,0,2.5,1,40,5,106.45,3,"band"
"293","3","3","4","3","1","2","2","813",1,"2","3","1910",45,56,15.5,78,0.75,NA,11.1,1350,55.5,33.3,0,0,2.2,0.9,28,3,100,3,"noband"
"276","2","3","2","1","1","1","4","816",2,"4","3","1910",35,55,15,70,0.5,35,0,2000,58.8,41.2,0,0,2.5,1.5,30,3,100,3,"band"
"538","2","3","3","3","1","2","3","828",2,"4","3","1910",NA,46,16.4,76,1,34,3.4,1903,56.8,38.6,NA,0,1.5,2.3,NA,5,108,3,"band"
"40","2","3","4","1","1","2","4","815",2,"2","3","1910",35,44,16,80,1,32,7,1400,58.1,34.9,0,0,3,1,28,5,103.12,3,"noband"
"430","3","3","4","3","1","1","1","802",7,"2","3","1911",45,62,15,76,0.75,50,0,1500,58.8,41.2,0,0,3,1.2,38,5,103.225,3,"band"
"89","2","3","4","1","1","2","4","816",9,"4","3","1910",55,49,15.6,74,0.75,24,0,1650,58.8,41.2,0,0,2.5,1.7,33,5,103.33,3,"noband"
"315","3","3","4","3","1","1","4","816",9,"2","3","1910",65,50,15,86,0.25,28,10.5,1700,52.6,36.8,2,0,2.5,0.6,40,5,103.3,3,"noband"
"222","3","3","4","3","1","2","2","813",1,"2","2","1910",50,53,16,65,0.75,NA,15.8,1300,49.5,34.7,0,0,2.5,1,28,3,93.5,3,"noband"
"15","2","3","2","1","1","1","2","813",9,"2","3","1911",NA,45,15,87,1,NA,0,1400,62.5,37.5,0,0,2.5,1,40,5,103.22,3,"band"
"115","3","3","4","3","1","1","1","802",7,"2","3","1910",50,55,13.34,74,0.625,NA,4.8,1635,59.5,35.7,1,0,3,2,40,5,100,3,"noband"
"93","2","2","2","1","1","2","3","828",1,"4","1","1911",35,44,15.5,100,0.875,30,0,2200,53.2,46.8,0,0,0,0,30,5,100,3,"band"
"261","2","3","2","1","1","2","3","827",2,"3","1","1910",32,54,15.5,78,1,25,0,1900,58.8,41.2,10,0,2.5,0.5,30,3,93.3,3,"noband"
"234","3","3","4","3","1","1","4","815",9,"2","3","1910",65,58,15,74,0.625,32,0,1800,57.5,42.5,1,0,2.5,1,38,4,103.2,3,"band"
"455","3","3","4","3","1","1","4","815",2,"2","3","1910",40,68,14.8,90,1,30,0,1440,58.8,41.2,0,0,2.5,1,40,5,103.13,3,"band"
"85","3","3","4","3","1","2","3","821",7,"4","3","1911",45,45,14.7,75,0.625,30,15,1734,50,35,2,0,1.5,0.6,34,5,103.22,3,"band"
"341","3","3","4","3","1","1","1","802",2,"2","3","1910",42,52,18,70,0.625,45,0,1700,58.8,41.2,0,0,3,0.7,34,5,103.125,3,"noband"
"38","3","3","4","3","1","2","4","816",9,"4","3","1911",32,43,15,82,1,31,7.6,1500,54.3,38,4,0,2.5,1,40,5,103.12,3,"noband"
"158","2","3","2","1","1","2","4","815",2,"4","1","1910",30,69,16,98,0.75,35,0,2050,62.5,37.5,0,0,2.75,1,33,5,100,3,"noband"
"239","3","3","4","3","1","1","3","821",7,"4","3","1910",50,59,14.5,71,0.625,20,11.1,1650,55.5,33.3,0,0,2.5,1,40,NA,103.13,3,"band"
"208","3","3","4","2","1","1","1","802",2,"2","3","1910",50,65,17,100,0.625,52,5.6,1650,55.5,38.9,0,0,3,0.6,45,NA,103.13,3,"band"
"529","2","3","3","3","1","2","3","821",7,"4","3","1911",NA,54,15.5,80,0.75,40,3.4,2000,56.8,38.6,NA,0,1.8,1.3,NA,5,107.14,NA,"band"
"305","3","3","4","3","1","2","2","813",5,"2","3","1910",42,54,15,70,0.75,NA,13.4,1500,48.1,38.5,2,0,2.5,1,60,7,93.75,3,"noband"
"33","3","3","4","3","1","2","3","821",7,"4","3","1910",40,44,14,69,0.625,20,8.5,1510,53.2,38.3,2,0,2.5,0.9,34,5,110,3,"noband"
"3","3","3","4","3","1","2","4","816",9,"2","3","1910",52,40,16,75,0.3125,30,5.6,1467,55.6,38.8,0,0,2.5,1.3,40,5,108.06,3,"noband"
"12","3","3","4","3","1","2","3","821",7,"4","3","1911",50,50,15,70,1,30,10,1600,50,40,0,0,2.8,1,38,5,106.66,3,"band"
"510","2","3","3","3","1","2","1","816",2,"2","3","1911",NA,47,15,85,0.5,24,3.4,1470,56.8,38.6,NA,0,1.8,1.7,NA,5,96.9,3,"band"
"382","2","3","4","1","1","2","4","816",9,"4","3","1910",70,43,16,77,0.8175,28,15.9,2125,46.5,37.6,3,0,1.75,0.6,33,5,100,3,"noband"
"242","3","3","4","3","1","2","1","802",2,"2","3","1910",40,56,16.5,80,0.75,45,20.3,1400,44.2,35.5,0,0,3,0.6,40,3,100,3,"noband"
"408","3","3","4","2","1","1","4","815",2,"2","1","1910",45,40,16,89,0.625,22,0,1300,60,40,1,0,2.5,1,40,5,106.45,3,"band"
"307","3","3","4","3","1","2","1","802",2,"2","1","1910",52,55,14,80,0.75,55,9.9,1600,49.5,40.6,0,0,3,0.5,40,7,93.75,3,"noband"
"277","2","3","2","3","1","1","4","816",9,"4","3","1910",NA,54,17,94,0.25,26,0,1900,56.8,43.2,0,0,2.5,0.9,30,3,100,3,"noband"
"88","3","3","4","3","1","2","3","821",2,"4","3","1911",45,45,15.1,75,0.625,20,15,1750,50,35,0,0,1.6,0.9,34,5,103.22,3,"noband"
"415","3","3","4","3","1","2","3","821",2,"4","3","1910",65,50,15.1,75,0.625,20,19,1800,47.6,33.4,0,0,2.7,0.6,34,5,110.71,3,"noband"
"24","2","3","2","1","1","2","3","827",9,"4","4","1911",40,42,14.5,74,1,25,8,2100,57.5,34.5,0,0,2.3,0.7,35,5,107.4,3,"band"
"290","2","3","2","1","1","2","3","824",2,"4","3","1910",30,54,14.6,70,0.8125,30,0,2000,58.8,41.2,0,0,1.5,0.6,30,3,106.9,3,"noband"
"423","2","3","2","1","1","2","3","827",9,"4","1","1910",50,40,15,72,0.75,30,0,2233,58.8,41.2,8,0,1.5,1,33,5,106.45,3,"noband"
"367","2","3","2","1","1","1","4","815",1,"4","1","1910",32,43,13,80,0.75,28,0,1500,62.5,37.5,0,0,0,0,30,5,100,3,"band"
"285","3","3","4","3","1","1","1","802",2,"2","2","1910",45,54,14.3,67,0.75,45,12.3,1420,51.5,36.1,0,0,3,0.6,28,3,106.9,3,"noband"
"395","3","3","4","3","1","1","4","815",2,"4","2","1910",50,42,17,88,0.75,30,0,1600,62.5,27.5,5,0,2.6,1,38,5,106.25,3,"band"
"484","3","3","4","3","1","2","3","821",2,"4","3","1910",40,59,15,80,0.75,40,13.3,1750,51,35.7,0,0,2.2,0.7,34,5,100,3,"band"
"120","3","3","4","3","1","1","3","821",7,"4","3","1911",55,53,14.2,72,0.625,25,22.7,1750,45.5,31.8,1,0,2.4,0.9,34,5,103.125,3,"band"
"109","3","3","4","2","1","2","3","821",7,"4","3","1910",42,52,13.9,76,0.625,25,0,1800,50,50,0,0,2.5,0.9,40,5,106.66,3,"band"
"157","2","3","2","1","1","2","3","828",9,"4","1","1910",30,56,17,72,0.75,30,0,2550,52.6,47.4,0,0,2,1,33,5,103.22,3,"noband"
"63","2","3","4","3","1","2","3","827",2,"4","5","1911",NA,43,14.2,68,0.75,18,0,2000,62.5,37.5,0,0,2.5,1.2,40,5,106.45,3,"band"
"397","3","3","4","3","1","2","3","821",2,"4","3","1910",50,42,15.5,73,0.625,20,3.6,1800,60.2,36.2,0,0,2.5,0.9,34,5,106.25,3,"noband"
"198","3","3","4","3","1","2","2","813",1,"2","3","1910",55,54,13.23,79,1,NA,18.9,1700,47.2,34,0,0,2,0.6,40,2,100,3,"noband"
"66","3","3","4","3","1","2","3","824",9,"4","5","1911",40,40,18.5,85,0.5625,30,0,1900,62.5,37.5,4,0,1.8,1.4,40,5,106.45,3,"band"
"150","2","3","2","1","1","2","4","815",2,"4","3","1910",50,62,15.4,98,0.75,25,10.6,1750,48.1,41.3,0,0,2.8,1.3,33,5,110,3,"noband"
"377","2","3","2","1","1","2","4","815",9,"4","1","1910",50,47,16.2,74,0.75,28,10.8,2000,53.4,35.8,0,0,2.5,1.3,30,5,100,3,"band"
"334","3","3","4","3","1","2","2","813",5,"2","3","1911",60,48,16,72,1,NA,15.2,1600,44.6,40.2,0,4,2.1,0.7,40,5,96.97,1,"noband"
"84","2","3","2","1","1","2","3","824",9,"4","1","1910",40,43,16,80,0.5625,30,5.6,1900,55.6,38.9,0,0,2.2,1.3,30,5,103.22,3,"noband"
"164","3","3","4","3","1","2","4","816",2,"3","3","1910",40,68,14,88,0.75,32,0,1742,60,40,3,0,2.5,1,40,5,103.125,3,"band"
"135","3","3","4","3","1","1","3","821",7,"4","3","1910",52,64,15.5,82,0.625,30,0,1800,71.4,28.6,4,0,2.5,0.9,34,5,103.125,3,"band"
"50","3","3","4","3","1","2","3","827",2,"4","3","1911",45,41,17,78,0.75,16,14.1,1100,50.5,35.4,0,0,2.5,1,50,5,96.97,3,"band"
"73","2","3","4","1","1","2","3","821",2,"4","3","1911",42,41,14,80,0.625,20,7.4,1750,53.2,39.4,0,0,2.1,0.9,35,5,96.97,3,"noband"
"177","3","3","4","3","3","2","4","816",9,"2","3","1910",50,50,14.5,84,0.25,24,20.7,1500,41.3,38,0,0,3,0.6,40,2,103.3,3,"band"
"361","2","3","2","1","1","2","4","815",2,"4","1","1910",40,43,17.2,78,0.9375,NA,1,2180,58.3,40.7,2,0,2.4,0.8,33,5,96.77,3,"band"
"235","2","3","2","1","1","2","3","824",2,"4","1","1911",50,58,15.5,75,0.8125,24,0,2200,58.8,41.2,0,0,1.5,0.6,30,6,100,3,"noband"
"97","2","3","2","1","1","2","3","824",9,"4","1","1910",47,43,16,80,0.5625,30,9.1,2400,50.5,40.4,0,0,2.5,1.1,30,5,103.125,3,"noband"
"329","2","3","2","1","1","1","3","827",9,"4","2","1911",35,48,14.5,76,0.75,20,0,2225,62.5,37.5,4,0,2.7,1.2,33,5,106.25,1,"noband"
"213","2","3","2","1","1","2","4","815",9,"3","1","1910",30,58,15.9,81,0.625,30,0,2150,62.5,37.5,10,0,2.5,1,30,3,90,3,"noband"
"126","2","2","2","1","1","2","3","824",9,"4","1","1911",35,56,16,82,0.5625,28,5.6,2100,56.2,38.2,0,0,1.7,0.4,30,5,103.125,3,"noband"
"211","2","3","2","1","1","2","2","813",6,"2","4","1911",47,62,15,84,0.75,NA,5.6,NA,56.2,38.2,0,0,2.5,1,35,5,96.7,3,"noband"
"173","3","3","4","3","1","2","4","816",2,"2","1","1910",60,66,14.5,85,0.25,NA,0,NA,62.2,37.8,0,0,2.5,1,34,5,106.45,3,"band"
"272","3","3","4","3","1","1","1","802",7,"2","3","1910",60,53,14.7,70,0.75,50,20.2,1550,42,37.8,3,0,3,1,40,3,111.1,3,"noband"
"301","3","3","4","3","1","1","3","821",2,"4","3","1911",57,51,15.6,81,0.75,25,9.8,1850,49,41.2,0,0,2.7,0.6,34,1,100,3,"noband"
"309","2","3","2","1","1","1","4","815",1,"3","1","1910",35,56,15,70,1,33,0,2350,65.2,34.8,0,0,2.5,1,30,5,93.75,1,"band"
"418","2","3","2","1","1","2","4","816",2,"3","1","1910",37,42,16,70,0.375,28,0,2400,58.8,41.2,3,0,3,0.8,30,5,106.45,3,"band"
"231","3","3","4","3","1","2","4","815",2,"2","3","1910",65,49,13.5,82,0.625,30,0,1350,68.2,31.8,1,0,2.5,1,38,4,103.2,3,"band"
"365","2","3","4","1","1","2","4","816",9,"4","3","1910",40,43,16.4,79,0.3125,35,0.5,2400,59.5,40,0,0,2.6,1.1,35,5,96.77,3,"noband"
"474","3","3","4","3","1","2","1","802",7,"3","3","1911",47,58,13.1,70,0.75,55,10,1660,50,40,0,0,2.9,1,34,5,96.88,3,"band"
"349","2","2","2","1","1","2","3","824",2,"4","1","1911",30,54,16.3,80,0.8125,30,0,2100,60,40,3,0,2.5,1.2,30,5,114.29,3,"noband"
"452","2","3","2","1","1","2","3","828",2,"4","3","1910",35,59,16.1,82,0.75,28,0,2500,58.8,41.2,0,0,2.5,1.3,30,5,100,3,"noband"
"279","2","3","2","1","1","2","3","828",2,"4","1","1910",30,50,15.6,84,1,NA,0,2400,58.8,41.2,4,0,2.5,0.9,33,3,96.8,3,"noband"
"112","2","2","2","1","1","1","3","824",2,"4","1","1910",47,67,16,74,0.8125,38,0,1900,58.8,41.2,2,0,2.5,1.1,33,5,103.125,3,"noband"
"106","3","3","2","1","1","1","2","813",9,"2","3","1910",55,55,16.3,100,1,NA,0,1650,58.8,41.2,0,0,2.5,1,40,5,106.66,3,"band"
"390","2","3","4","1","1","2","3","827",9,"3","3","1911",45,42,14,75,1,20,0,1800,58.9,41.1,8,0,3,2,35,5,100,3,"noband"
"454","2","3","2","1","1","2","4","816",2,"3","3","1911",42,47,16.2,78,0.75,30,0,2100,56.2,43.8,0,0,2.5,1.2,33,5,110,3,"band"
"153","2","3","4","1","1","2","4","815",9,"4","4","1911",35,68,15.1,90,0.875,30,6,1500,59.5,34.5,1,0,2.5,1,35,5,106.89,3,"band"
"101","2","3","4","1","1","2","3","827",9,"3","1","1911",37,43,14,80,1.25,20,6.25,NA,52.1,41.7,0,0,3,1.5,33,5,106.66,3,"noband"
"254","3","3","4","3","1","1","1","802",7,"2","3","1910",57,53,14.5,70,0.625,58,20.2,1600,42,37.8,3,0,3,1,40,3,105.2,3,"noband"
"159","2","3","2","1","1","2","3","827",2,"4","1","1910",45,69,15.6,72,0.75,21,5.6,2426,55.6,38.9,0,0,2.85,1.1,30,5,103.22,3,"noband"
"523","2","3","4","3","1","2","1","816",2,"4","3","1911",NA,NA,15,80,0.5,30,3.4,2020,56.8,38.6,NA,0,2.9,0.5,NA,5,110.3,3,"band"
"154","2","3","2","1","1","2","4","816",2,"4","3","1910",NA,56,16.02,84,0.25,30,5.3,2244,52.6,42.1,5,0,3,0.8,30,5,110,3,"noband"
"4","2","3","4","1","1","2","4","816",2,"4","3","1910",50,46,17,80,0.75,30,0,2100,57.5,42.5,5,0,2.3,0.6,35,5,106.67,3,"noband"
"325","3","3","4","3","1","1","3","821",7,"4","3","1910",55,50,17,89,1,22,10.4,1650,52.1,37.5,0,0,2.5,1.1,34,5,93.55,1,"band"
"271","3","3","4","3","1","2","4","816",9,"2","3","1910",55,54,15.8,79,0.5,30,12.4,1500,51.5,36.1,0,0,3,0.5,32,3,93.3,3,"noband"
"428","3","3","4","3","1","2","4","815",2,"2","3","1910",40,41,15.5,76,0.75,28,3.6,1750,60.2,36.1,4,0,3,1,40,5,117.85,3,"noband"
"287","2","3","2","1","1","1","3","821",7,"4","3","1910",30,54,15.8,68,0.75,25,6.4,2000,53.2,40.4,4,0,2.3,0.8,35,3,106.9,3,"noband"
"500","2","3","4","1","1","2","3","821",7,"3","3","1910",50,66,14.8,80,0.625,30,3.4,1840,56.8,38.6,NA,0,2.5,1,NA,5,100,3,"band"
"54","2","3","2","1","1","2","4","815",9,"3","1","1911",40,35,18,85,0.625,30,0,2000,62.5,37.5,0,0,2.5,0.9,30,5,103.125,3,"noband"
"330","2","3","2","1","1","1","3","827",2,"4","2","1911",35,48,14.5,74,0.75,20,0,2225,62.5,37.5,4,0,2,1.2,33,5,106.25,1,"noband"
"237","2","3","2","1","1","2","3","827",9,"4","1","1911",40,47,15,75,0.75,25,0,2100,61.1,38.9,0,0,2.4,1.1,33,5,96.9,3,"noband"
"251","3","3","2","1","1","2","2","813",9,"2","3","1911",55,56,15,93,0.75,NA,0,1250,62.5,37.5,0,0,2.5,1,40,5,96.8,3,"noband"
"338","2","3","4","3","1","2","4","815",2,"4","2","1911",47,58,14,85,0.75,28,16.5,1800,48.5,35,0,0,2.5,0.5,35,5,114.3,3,"band"
"485","2","3","4","1","1","2","4","815",2,"4","3","1910",30,50,16.1,79,0.625,25,3.4,1400,56.8,38.6,NA,0,2.5,1,NA,5,106,3,"band"
"435","2","3","4","1","1","2","4","816",9,"4","3","1910",40,58,15,80,0.1875,NA,3.2,2000,53.8,43,0,0,2.5,1,35,5,103.125,3,"noband"
"136","2","3","2","1","1","1","4","816",9,"4","1","1910",40,56,16.5,79,0.5,28,0,2300,60.2,39.8,0,0,2.5,1.5,30,5,106.45,3,"band"
"225","3","3","4","3","1","1","4","815",9,"2","3","1910",57,55,14,86,0.75,30,13,1700,50,37,0,0,2.9,0.9,34,3,100,3,"noband"
"47","2","3","2","1","1","2","3","821",2,"4","1","1911",25,38,13,75,0.625,25,0,1600,57.5,42.5,0,0,2.5,0.85,30,5,103.12,3,"noband"
"76","3","3","4","3","1","2","2","813",5,"2","3","1910",52,45,16,68,0.75,NA,0,1600,58.8,41.2,4,0,2.3,0.8,40,5,109.67,3,"noband"
"82","2","3","4","1","1","2","3","827",2,"4","3","1910",40,43,16.5,72,0.625,20,9.1,2000,56.8,34.1,4,0,2.5,0.5,35,5,103.22,3,"noband"
"183","3","3","4","3","1","2","1","802",7,"2","3","1911",55,54,15,70,0.625,60,3.4,1600,56.8,39.8,0,0,1,0.4,45,5,103.3,3,"noband"
"366","2","3","4","1","1","1","4","816",9,"4","3","1910",40,51,15,70,0.25,24,0.5,0,59.5,40,0,0,3,1,35,5,100,3,"band"
"406","3","3","4","3","1","2","4","815",9,"2","1","1911",45,60,16,88,0.75,33,0,1500,56.8,43.2,0,0,2.9,1.1,40,5,103.22,3,"band"
"195","2","3","4","1","1","1","3","827",9,"4","1","1910",40,48,15,82,1,35,0,1720,59.3,40.7,0,0,1.5,1.5,32,2,100,3,"noband"
"256","3","3","4","3","1","1","1","802",2,"2","3","1910",65,61,14.8,80,0.375,45,19.5,1660,42.4,38.1,0,0,3,1,32,3,105.2,3,"noband"
"167","3","3","4","3","1","2","2","813",1,"2","3","1910",50,66,16,87,1,NA,11.1,1530,55.6,33.3,0,0,2.5,1,34,5,100,3,"band"
"464","2","3","2","1","1","2","4","816",9,"3","3","1911",42,52,16,82,0.75,30,0,2150,58.8,41.2,0,0,2.5,1,33,5,110,3,"band"
"491","2","3","2","1","1","2","3","821",2,"4","3","1910",35,48,16,72,0.75,20,3.4,1650,56.8,38.6,NA,0,1.5,1.1,NA,5,83.33,3,"band"
"469","2","2","2","1","1","2","4","816",2,"2","3","1910",40,38,16.5,85,0.625,30,4.3,1900,53.2,42.5,0,0,3,1,30,5,103.13,3,"band"
"343","3","3","4","3","3","2","1","802",7,"2","2","1911",60,46,15.25,80,0.625,50,12.4,1391,51.5,36.1,2,0,2.7,1,38,5,114.29,3,"noband"
"405","3","3","4","3","1","2","3","821",7,"4","3","1910",67,50,16.5,73,0.875,20,18.1,1800,47.6,34.3,0,0,2.5,0.8,34,5,110.71,3,"band"
"19","3","3","4","3","1","2","2","813",1,"2","1","1911",60,38,16.5,66,0.75,NA,6.7,1400,56.2,37.1,0,0,1.1,1.4,32,5,103.22,3,"noband"
"359","2","3","2","1","1","2","4","816",9,"4","3","1910",35,42,15.9,78,0.375,32,0,2150,62.5,37.5,0,0,1.7,0.9,30,5,101.67,3,"band"
"535","2","3","3","3","1","2","3","827",9,"4","3","1910",NA,52,18,82,1,25,3.4,1880,56.8,38.6,NA,0,1,1,NA,5,112.5,3,"band"
"348","2","3","2","1","1","1","3","827",9,"4","1","1911",30,53,15,80,0.75,30,15,2290,50,35,0,0,2.5,1,33,5,110.7,3,"noband"
"163","3","3","4","3","1","1","4","816",9,"2","3","1910",45,65,16.3,78,0.75,32,3.4,1700,56.8,39.8,4,0,2.5,1,34,5,106.45,3,"band"
"51","3","3","4","3","1","2","3","827",2,"4","3","1911",47,41,16.5,72,0.75,20,14.1,1300,50.5,35.4,4,0,2.5,1,50,5,96.97,3,"band"
"363","3","3","4","3","1","1","3","821",7,"4","3","1911",50,42,17,73,0.4375,20,18.5,1800,46.3,35.1,2,0,2.5,1,34,5,100,3,"band"
"21","2","3","2","1","2","2","3","824",9,"4","1","1911",40,45,15,76,0.8125,30,0,2400,62.5,37.5,0,0,1,1,30,5,107.4,3,"noband"
"176","3","3","4","3","1","2","4","816",9,"2","3","1910",47,63,16.4,84,0.5,27,20.7,1800,41.3,38,5,0,2.6,0.3,40,2,96.7,3,"band"
"41","2","3","2","1","1","2","2","813",1,"2","3","1911",30,42,15.4,64,0.875,NA,0,1425,61.7,38.3,0,0,1,1.3,34,5,107.4,3,"noband"
"314","3","3","4","3","1","1","1","802",2,"2","3","1910",60,50,14.5,60,0.75,40,19,1650,47.6,33.3,0,0,2.5,1,40,5,103.3,3,"noband"
"83","2","3","4","1","1","2","3","827",9,"4","3","1910",40,43,16.1,70,0.625,20,11.1,2000,55.6,33.3,4,0,1.8,0.9,35,5,103.22,3,"noband"
"10","3","3","4","3","1","2","4","815",9,"2","3","1910",65,43,16,68,0.75,30,15.5,1750,48.5,35.9,0,0,3,1,38,5,106.6,3,"noband"
"461","2","3","4","1","1","2","4","815",2,"2","3","1910",40,69,14.5,76,0.625,22,0,1250,58.8,41.2,1,0,2.5,1,35,5,100,3,"band"
