"","surgery","Age","rectal_temperature","pulse","respiratory_rate","temp_extremities","peripheral_pulse","mucous_membranes","capillary_refill_time","pain","peristalsis","abdominal_distension","nasogastric_tube","nasogastric_reflux","rectal_examination","abdomen","packed_cell_volume","total_protein","outcome","surgical_lesion"
"107","no","adult",37.3,50,32,"normal","normal","pale pink","<3","alert no pain","hypomotile","slight","slight","none","normal","distended large intestine",44,7,"lived","no"
"303","yes","adult",37,56,24,"cool","normal","pale cyanotic",">=3","intermittent severe pain","absent","moderate","none","none","absent","distended large intestine",35,61,"euthanized","no"
"32","yes","adult",37.2,60,24,"warm","normal","normal pink","<3","intermittent mild pain","hypomotile","moderate","slight","none","absent","distended large intestine",43,6.6,"lived","yes"
"326","no","adult",38.1,44,40,"warm","normal","pale pink","<3","intermittent mild pain","hypomotile","none","slight","none","normal","firm feces in large intestine",35,6.8,"lived","no"
"148","yes","adult",38.3,132,24,"cool","reduced","dark cyanotic",">=3","depressed","absent","slight","slight","<1l","absent","distended small intestine",57,8,"lived","yes"
"286","no","adult",37.8,82,12,"cool","normal","normal pink",">=3","intermittent severe pain","hypomotile","moderate","none","<1l","absent","distended large intestine",50,7,"euthanized","yes"
"101","yes","adult",38.1,60,20,"cold","reduced","pale cyanotic",">=3","continuous severe pain","absent","none","slight","none","absent","distended large intestine",44,7.5,"euthanized","yes"
"144","yes","adult",37.1,84,40,"cool","reduced","dark cyanotic","<3","depressed","absent","severe","significant",">1l","absent","distended large intestine",75,81,"euthanized","no"
"117","no","adult",39.5,60,24,"cool","reduced","pale cyanotic",">=3","intermittent mild pain","absent","moderate","slight","<1l","absent","distended large intestine",44,6.7,"euthanized","yes"
"106","yes","adult",38.3,52,96,"cool","reduced","pale pink","<3","intermittent mild pain","hypomotile","none","none","none","normal","distended large intestine",43,6.1,"lived","yes"
"63","no","adult",38.2,130,16,"cold","reduced","pale cyanotic",">=3","depressed","absent","severe","none","none","absent","distended large intestine",65,82,"euthanized","no"
"223","yes","adult",37.7,66,12,"normal","normal","pale pink","<3","intermittent mild pain","hypomotile","slight","slight","none","absent","distended small intestine",31.5,6.2,"lived","yes"
"318","yes","adult",37.5,88,20,"warm","reduced","pale pink","<3","intermittent severe pain","hypomotile","moderate","slight","none","absent","distended large intestine",35,6.4,"died","yes"
"50","no","adult",38.6,46,24,"normal","normal","bright pink","<3","alert no pain","hypomotile","slight","none","none","absent","other",49,9.1,"lived","no"
"307","no","adult",37.8,48,12,"warm","normal","bright pink","<3","intermittent mild pain","hypomotile","none","slight","none","increased","distended large intestine",48,7.3,"lived","no"
"349","yes","adult",38.6,48,20,"cool","normal","normal pink","<3","intermittent severe pain","hypomotile","none","slight","none","decreased","distended large intestine",37,75,"lived","yes"
"137","yes","adult",38,48,24,"normal","normal","normal pink","<3","alert no pain","normal","severe","slight",">1l","absent","distended large intestine",44,7.5,"lived","yes"
"365","yes","adult",38,60,12,"normal","normal","bright pink","<3","depressed","hypermotile","none","none","none","normal","distended small intestine",44,65,"euthanized","yes"
"281","no","adult",40,78,24,"cool","reduced","bright red","<3","depressed","hypomotile","none","none","none","absent","normal",66,6.5,"died","yes"
"142","yes","adult",38.1,120,24,"cold","reduced","dark cyanotic",">=3","continuous severe pain","absent","severe","slight","none","absent","distended large intestine",57,4.5,"died","yes"
"284","no","adult",38.5,54,24,"normal","normal","normal pink","<3","intermittent mild pain","hypermotile","none","slight","none","normal","distended large intestine",40,6.8,"lived","no"
"169","yes","adult",38.1,65,24,"cool","normal","normal pink",">=3","continuous severe pain","hypomotile","severe","significant","none","absent","distended large intestine",44,7.5,"euthanized","yes"
"47","no","adult",37.5,48,16,"normal","normal","normal pink","<3","alert no pain","hypermotile","none","none","none","normal","distended large intestine",37,6.5,"lived","no"
"203","no","adult",37.2,36,9,"normal","normal","normal pink","<3","depressed","hypomotile","none","slight","none","absent","normal",35,5.7,"lived","no"
"23","yes","young",38.3,130,60,"cool","reduced","normal pink","<3","depressed","absent","none","slight","none","absent","distended large intestine",50,70,"lived","yes"
"180","yes","adult",38.4,84,30,"cool","normal","bright red",">=3","intermittent severe pain","hypomotile","moderate","slight","<1l","absent","distended small intestine",47,7.5,"died","yes"
"213","yes","adult",37.6,45,12,"cool","normal","pale pink","<3","intermittent mild pain","normal","slight","slight","none","normal","distended small intestine",39,7,"lived","yes"
"224","yes","adult",38.8,50,14,"normal","normal","normal pink","<3","intermittent mild pain","hypermotile","none","none","none","decreased","distended large intestine",38,58,"lived","yes"
"162","no","adult",39.5,60,10,"cool","normal","normal pink",">=3","intermittent mild pain","hypomotile","slight","slight","none","decreased","distended large intestine",38,56,"lived","no"
"42","no","adult",38,60,12,"cool","normal","pale pink","<3","intermittent mild pain","hypomotile","none","none","none","increased","other",47,7,"lived","no"
"0","no","adult",38.5,66,28,"cool","reduced","normal pink",">=3","continuous severe pain","absent","severe","slight","none","decreased","distended large intestine",45,8.4,"died","no"
"310","no","adult",39,84,12,"cool","normal","bright red","<3","depressed","absent","slight","none",">1l","absent","distended small intestine",62,5.9,"died","yes"
"77","no","adult",38.7,52,20,"warm","normal","normal pink","<3","alert no pain","hypermotile","none","none","none","normal","normal",33,77,"lived","no"
"115","no","adult",38.1,60,40,"cool","normal","normal pink","<3","intermittent mild pain","hypomotile","slight","slight","none","absent","distended large intestine",45,70,"lived","no"
"232","yes","adult",38.5,30,18,"cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine",40,7.7,"lived","yes"
"60","no","adult",37.8,48,32,"normal","normal","pale pink","<3","depressed","hypermotile","none","none","none","absent","distended large intestine",37,6.7,"lived","no"
"85","no","adult",38,54,30,"warm","reduced","pale pink","meaning unknown","intermittent mild pain","hypermotile","slight","slight",">1l","absent","distended small intestine",45,6.2,"lived","no"
"312","yes","adult",38.1,140,24,"cool","normal","pale cyanotic",">=3","continuous severe pain","absent","severe","none","none","absent","distended large intestine",30,69,"died","no"
"48","yes","adult",38.9,80,44,"cool","reduced","pale pink",">=3","depressed","hypomotile","moderate","slight",">1l","decreased","normal",54,6.5,"died","yes"
"241","yes","adult",38.2,52,16,"normal","normal","bright pink","<3","alert no pain","normal","none","none","none","normal","distended large intestine",43,8.1,"lived","no"
"245","no","adult",38.1,96,24,"cool","reduced","pale pink",">=3","continuous severe pain","absent","severe","slight","none","absent","distended large intestine",60,7.5,"died","yes"
"246","yes","adult",37.6,68,32,"cool","normal","pale pink","<3","intermittent severe pain","normal","severe","slight",">1l","normal","distended large intestine",47,7.2,"lived","yes"
"238","no","adult",36.1,88,24,"cool","reduced","pale pink","<3","intermittent mild pain","hypomotile","slight","slight","<1l","absent","distended small intestine",45,7,"euthanized","yes"
"218","yes","adult",38.1,40,36,"normal","increased","bright pink","<3","depressed","normal","none","slight","none","absent","distended large intestine",44,7.5,"euthanized","yes"
"134","yes","adult",38.1,100,24,"cool","normal","pale cyanotic",">=3","continuous severe pain","absent","none","slight","none","increased","distended large intestine",59,6.3,"died","yes"
"342","yes","adult",38.1,48,96,"normal","normal","pale pink","<3","intermittent mild pain","absent","none","slight","none","normal","distended small intestine",42,8,"lived","yes"
"341","no","adult",38.3,45,20,"cool","reduced","bright pink",">=3","depressed","absent","none","slight","none","absent","distended large intestine",44,7.5,"lived","no"
"293","yes","adult",38.1,78,24,"cool","reduced","pale pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended small intestine",43,62,"euthanized","no"
"52","no","adult",38.1,60,24,"normal","normal","pale pink","<3","alert no pain","hypomotile","none","slight","none","increased","other",43,7.7,"lived","no"
"327","no","adult",38.4,52,20,"warm","normal","pale pink","<3","alert no pain","hypomotile","slight","slight","none","decreased","distended large intestine",41,63,"lived","no"
"64","yes","adult",39,64,36,"cool","normal","pale cyanotic",">=3","intermittent mild pain","hypomotile","slight","none",">1l","absent","distended large intestine",44,7.5,"lived","yes"
"340","no","adult",38,56,44,"cool","reduced","pale pink","<3","intermittent mild pain","hypermotile","none","slight","none","absent","distended large intestine",47,70,"lived","no"
"294","no","adult",38.5,40,16,"normal","normal","normal pink","<3","depressed","hypermotile","none","slight","none","decreased","other",37,67,"lived","no"
"352","no","adult",37.8,60,16,"normal","normal","pale pink","<3","depressed","hypomotile","slight","none",">1l","decreased","distended large intestine",41,73,"euthanized","no"
"123","yes","adult",38.2,64,24,"normal","normal","pale pink","<3","intermittent severe pain","absent","moderate","slight","none","absent","distended small intestine",45,7.5,"died","yes"
"249","no","adult",38.2,48,24,"warm","normal","normal pink",">=3","intermittent mild pain","hypomotile","none","slight","none","absent","other",34,6.6,"lived","no"
"76","yes","adult",37.6,38,20,"cool","reduced","normal pink","<3","intermittent mild pain","hypomotile","slight","slight","none","decreased","distended large intestine",37,68,"lived","yes"
"217","yes","adult",38,76,18,"cool","normal","normal pink",">=3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine",71,11,"lived","yes"
"97","yes","adult",38.1,88,32,"cool","reduced","pale cyanotic","<3","depressed","hypomotile","moderate","slight","<1l","absent","distended large intestine",55,60,"euthanized","no"
"193","yes","adult",38.1,60,48,"cool","reduced","pale cyanotic",">=3","intermittent severe pain","hypomotile","severe","slight","none","absent","distended large intestine",58,7.6,"died","yes"
"18","yes","adult",37.6,64,21,"normal","normal","bright pink","<3","depressed","hypomotile","none","none","none","increased","distended large intestine",40,7,"lived","yes"
"16","yes","young",38.1,128,36,"cool","reduced","pale cyanotic",">=3","intermittent severe pain","absent","moderate","significant","none","absent","distended large intestine",53,7.8,"died","no"
"161","yes","adult",38.3,42,24,"cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine",40,8.5,"died","yes"
"202","yes","adult",37.5,48,40,"cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","none","none","absent","distended large intestine",41,55,"euthanized","yes"
"30","no","adult",37.7,96,30,"cool","reduced","pale cyanotic",">=3","continuous severe pain","absent","severe","significant",">1l","absent","distended large intestine",66,7.5,"died","yes"
"313","yes","adult",37.9,120,60,"cool","reduced","pale pink","<3","continuous severe pain","absent","severe","slight",">1l","absent","distended large intestine",52,6.6,"died","yes"
"98","no","adult",37.7,44,40,"warm","normal","pale pink","<3","alert no pain","hypomotile","slight","none","none","normal","distended large intestine",41,60,"lived","no"
"173","yes","adult",38.1,104,24,"cool","reduced","bright red",">=3","depressed","absent","moderate","slight","<1l","absent","distended small intestine",69,8.6,"died","yes"
"146","yes","adult",38.2,48,24,"normal","reduced","pale pink","<3","intermittent mild pain","absent","severe","none","<1l","absent","distended large intestine",42,71,"lived","yes"
"236","no","adult",38.2,42,26,"normal","normal","normal pink","<3","intermittent mild pain","hypermotile","slight","slight","none","normal","distended large intestine",36,6.9,"lived","no"
"74","yes","young",38.1,60,24,"cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine",37,4.9,"died","yes"
"15","yes","adult",37.6,96,48,"cool","normal","pale cyanotic","<3","continuous severe pain","hypomotile","moderate","slight","<1l","absent","distended large intestine",45,6.8,"died","yes"
"337","yes","adult",37.6,40,24,"normal","normal","normal pink","<3","alert no pain","hypermotile","none","slight","none","normal","normal",44,7.5,"lived","yes"
"8","no","adult",38.1,80,36,"cool","absent","pale pink","<3","intermittent severe pain","absent","severe","slight","none","decreased","distended large intestine",38,6.2,"euthanized","yes"
"49","no","adult",37.2,84,48,"cool","reduced","bright red",">=3","intermittent severe pain","hypermotile","slight","none",">1l","increased","normal",73,5.5,"died","no"
"91","no","adult",40.3,114,36,"cool","reduced","normal pink",">=3","depressed","hypomotile","moderate","slight","none","normal","distended large intestine",57,8.1,"died","yes"
"121","yes","adult",38.3,80,40,"cool","normal","dark cyanotic",">=3","intermittent severe pain","hypomotile","none","slight",">1l","normal","distended small intestine",67,10.2,"euthanized","yes"
"151","yes","adult",39.3,60,24,"cold","reduced","dark cyanotic",">=3","intermittent severe pain","absent","slight","none","<1l","absent","distended small intestine",75,7.5,"died","yes"
"290","no","adult",38.6,45,16,"warm","normal","bright pink","<3","alert no pain","hypermotile","none","slight","none","normal","normal",43,58,"lived","no"
"206","yes","adult",38.5,96,30,"warm","reduced","pale cyanotic",">=3","intermittent severe pain","absent","moderate","slight","none","decreased","distended large intestine",50,65,"lived","yes"
"344","no","adult",36,100,20,"cold","reduced","dark cyanotic",">=3","depressed","absent","moderate","none","none","absent","distended large intestine",74,5.7,"euthanized","yes"
"366","no","adult",38,42,12,"cool","normal","pale pink","<3","alert no pain","hypermotile","none","slight","none","absent","normal",37,5.8,"lived","no"
"222","yes","adult",38.1,112,13,"cold","absent","pale cyanotic","<3","depressed","hypomotile","none","slight","none","absent","distended small intestine",60,6.3,"lived","yes"
"350","yes","adult",38.1,82,72,"cool","normal","pale cyanotic","<3","depressed","hypomotile","moderate","slight","<1l","absent","distended small intestine",53,65,"euthanized","yes"
"292","yes","adult",37,66,20,"normal","reduced","bright pink","<3","intermittent severe pain","hypomotile","moderate","none","none","normal","distended large intestine",35,6.9,"died","yes"
"139","no","adult",38,60,32,"normal","normal","normal pink","<3","intermittent mild pain","hypomotile","none","none","none","absent","distended large intestine",50,7,"lived","no"
"125","yes","adult",38,42,68,"cold","normal","normal pink","<3","intermittent mild pain","hypomotile","slight","slight",">1l","absent","distended small intestine",41,7.6,"lived","yes"
"356","no","adult",37.4,54,18,"cool","normal","normal pink","<3","intermittent mild pain","absent","moderate","slight",">1l","absent","distended large intestine",30,7.1,"lived","yes"
"273","yes","adult",37.7,120,28,"cool","reduced","pale pink","<3","continuous severe pain","hypomotile","moderate","none","none","absent","distended large intestine",65,7,"died","yes"
"235","yes","adult",38.1,52,24,"normal","normal","bright red","<3","intermittent severe pain","hypomotile","none","slight","<1l","normal","distended large intestine",54,7.5,"died","yes"
"14","yes","adult",38.2,76,28,"cool","normal","normal pink","<3","intermittent mild pain","absent","none","slight",">1l","absent","distended small intestine",46,81,"lived","yes"
"257","yes","adult",38.7,96,28,"cool","reduced","pale cyanotic","<3","intermittent mild pain","absent","none","slight","<1l","absent","distended large intestine",64,9,"died","yes"
"256","yes","adult",37.5,72,24,"warm","normal","normal pink","<3","depressed","hypermotile","none","none","none","normal","distended large intestine",35,65,"euthanized","yes"
"194","no","adult",37.9,88,24,"normal","normal","bright pink","<3","depressed","normal","none","slight","none","absent","normal",37,56,"lived","no"
"200","yes","adult",37.3,48,12,"normal","normal","pale pink","<3","intermittent mild pain","hypermotile","moderate","slight","none","decreased","firm feces in large intestine",40,6.6,"lived","yes"
"300","no","adult",38.5,54,20,"cool","normal","bright pink",">=3","intermittent mild pain","absent","none","slight",">1l","absent","other",42,6.3,"lived","no"
"266","no","adult",38.6,68,20,"warm","normal","pale pink","<3","intermittent mild pain","hypomotile","slight","none","none","normal","distended large intestine",38,6.5,"lived","no"
"126","yes","adult",38.7,60,24,"cool","normal","pale pink","<3","continuous severe pain","absent","slight","slight","none","absent","distended large intestine",33,6.5,"lived","yes"
"132","yes","adult",38,48,20,"cool","normal","pale pink","<3","intermittent severe pain","hypomotile","none","slight","none","decreased","distended large intestine",43,73,"lived","yes"
"40","yes","adult",38.1,88,24,"cool","reduced","dark cyanotic",">=3","continuous severe pain","hypomotile","moderate","none","<1l","absent","distended large intestine",63,6.5,"died","yes"
"361","no","adult",38.2,42,24,"cool","normal","normal pink","<3","alert no pain","hypermotile","slight","slight","none","decreased","other",35,5.9,"lived","no"
"158","no","adult",38,42,40,"cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine",44,7.5,"lived","no"
"116","yes","adult",38,44,12,"normal","normal","normal pink","<3","intermittent mild pain","hypomotile","moderate","slight","none","absent","distended large intestine",42,65,"lived","yes"
"71","yes","adult",37.8,48,28,"normal","normal","normal pink","<3","alert no pain","normal","none","slight","none","normal","normal",46,5.9,"lived","no"
"35","no","adult",38.1,104,24,"cold","reduced","pale pink",">=3","intermittent severe pain","absent","moderate","slight","<1l","absent","other",73,8.4,"euthanized","yes"
"268","yes","adult",38.2,42,20,"cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","decreased","distended large intestine",47,60,"lived","no"
"207","yes","adult",38.1,60,24,"cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine",45,8.7,"died","yes"
"156","no","adult",38.6,52,20,"normal","normal","normal pink","<3","intermittent mild pain","hypomotile","slight","none","none","normal","firm feces in large intestine",36,6.6,"lived","no"
"296","no","adult",37.2,72,24,"cool","increased","pale cyanotic",">=3","intermittent severe pain","hypomotile","moderate","significant","none","absent","distended small intestine",44,7.5,"euthanized","yes"
"291","yes","adult",38.9,80,44,"cool","reduced","pale pink","<3","depressed","hypomotile","moderate","slight",">1l","decreased","normal",54,6.5,"died","yes"
"258","no","adult",37.5,52,12,"normal","normal","normal pink","<3","depressed","hypomotile","slight","slight","none","decreased","distended large intestine",36,61,"lived","no"
"105","yes","adult",38.1,70,36,"normal","normal","pale pink",">=3","depressed","hypomotile","slight","slight","none","absent","distended large intestine",36,7.3,"lived","yes"
"184","no","adult",38.2,68,32,"warm","increased","bright pink","<3","alert no pain","hypermotile","none","significant","none","normal","normal",43,65,"lived","no"
"87","no","adult",38.1,40,16,"cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine",50,7,"euthanized","yes"
"204","yes","adult",39.2,60,23,"cool","normal","pale pink","<3","intermittent severe pain","absent","slight","slight","none","absent","distended large intestine",36,6.6,"lived","yes"
"196","no","adult",38.5,60,20,"normal","normal","bright red",">=3","depressed","normal","none","slight","none","increased","firm feces in large intestine",63,7.5,"euthanized","no"
"211","yes","adult",38,86,24,"cold","reduced","pale cyanotic","<3","depressed","absent","severe","none","none","absent","distended large intestine",45,5.5,"died","yes"
"272","yes","adult",38.1,100,30,"cool","reduced","pale cyanotic",">=3","continuous severe pain","absent","severe","significant","<1l","absent","distended small intestine",52,6.6,"lived","yes"
"79","yes","adult",37.5,96,18,"normal","reduced","dark cyanotic",">=3","intermittent mild pain","absent","slight","slight","<1l","absent","distended small intestine",69,8.9,"lived","yes"
"29","no","adult",37.7,48,24,"warm","normal","normal pink","<3","alert no pain","hypermotile","none","none","none","absent","distended large intestine",45,76,"lived","no"
