"","handicapped.infants","water.project.cost.sharing","adoption.of.the.budget.resolution","physician.fee.freeze","el.salvador.aid","religious.groups.in.schools","anti.satellite.test.ban","aid.to.nicaraguan.contras","mx.missile","immigration","synfuels.corporation.cutback","education.spending","superfund.right.to.sue","crime","duty.free.exports","export.administration.act.south.africa","Class"
"19","y","y","y","n","n","n","y","y","y","n","y","n","n","n","y","y","democrat"
"43","y","n","y","n","n","n","y","y","y","n","n","n","n","n","y","y","democrat"
"376","y","n","y","n","n","n","y","y","y","n","y","n","n","n","y","y","democrat"
"342","n","y","y","n","y","y","y","n","n","y","y","n","y","n","y","y","democrat"
"69","y","y","y","n","n","n","y","y","y","n","n","n","n","n","y","y","democrat"
"120","n","n","y","y","y","y","n","n","n","y","n","y","y","y","n","y","republican"
"39","y","n","y","n","n","n","y","y","y","y","y","n","y","n","y","y","democrat"
"171","n","n","n","y","y","y","n","n","n","y","n","y","y","y","n","y","republican"
"24","y","n","y","n","n","n","y","y","y","n","n","n","n","n","y","y","democrat"
"374","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","y","republican"
"247","n","y","n","y","y","y","y","n","n","n","n","n","y","y","n","n","republican"
"197","n","n","y","y","y","y","n","n","n","y","n","n","n","y","n","y","republican"
"377","n","y","n","y","y","y","y","y","n","n","n","n","y","y","n","y","republican"
"38","n","y","n","y","y","y","n","n","n","y","n","y","y","y","n","n","republican"
"297","y","y","y","n","n","y","y","y","y","y","n","n","y","n","y","y","democrat"
"279","n","n","n","y","y","y","n","n","n","y","n","y","y","y","n","n","republican"
"159","n","y","y","n","y","y","y","y","y","y","y","n","n","y","n","y","democrat"
"13","y","y","y","n","n","y","y","y","y","y","y","n","n","n","y","y","democrat"
"129","n","n","y","n","n","n","y","y","y","n","n","n","y","y","n","y","democrat"
"44","y","y","y","n","n","n","y","y","y","n","y","n","n","n","n","y","democrat"
"21","y","y","y","n","n","n","y","y","y","n","n","n","y","y","y","y","democrat"
"205","n","n","y","n","n","y","y","y","y","y","n","y","n","n","n","y","democrat"
"229","n","y","y","y","y","y","y","n","y","y","n","y","y","y","n","y","republican"
"192","n","n","n","n","n","y","y","y","y","n","y","n","n","y","y","y","democrat"
"370","y","y","y","n","y","y","y","y","n","y","n","n","n","n","y","y","democrat"
"103","y","n","n","n","y","y","y","n","y","n","n","n","n","y","n","n","democrat"
"407","n","n","n","y","y","y","n","n","n","n","y","y","y","y","n","n","democrat"
"254","y","n","y","n","n","n","y","y","y","y","n","n","n","n","n","y","democrat"
"400","n","y","n","y","y","y","n","y","n","n","n","n","y","y","n","y","republican"
"390","n","n","n","n","y","y","y","n","n","n","y","y","n","y","n","y","democrat"
"102","y","n","y","n","y","y","y","n","y","n","y","n","y","y","y","y","democrat"
"330","n","y","n","y","y","y","n","n","n","y","n","y","y","y","n","n","republican"
"12","n","y","y","n","n","n","y","y","y","n","n","n","y","n","n","y","democrat"
"295","n","y","n","y","y","y","y","y","n","y","n","y","y","y","n","y","republican"
"416","y","y","n","y","y","y","n","n","n","y","n","n","y","y","n","y","republican"
"175","n","y","y","n","n","n","y","y","y","y","n","n","n","n","y","y","democrat"
"344","n","n","y","n","n","n","y","y","y","y","y","n","n","n","y","y","democrat"
"278","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","y","republican"
"109","y","n","y","n","n","n","y","y","y","n","n","n","n","n","y","y","democrat"
"83","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","n","republican"
"358","y","y","y","n","n","y","y","y","y","y","y","y","y","y","n","y","democrat"
"28","y","n","n","y","y","n","y","y","y","n","n","y","y","y","n","y","republican"
"140","n","n","n","y","n","n","y","y","y","y","n","n","y","y","n","y","republican"
"251","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","n","republican"
"220","n","n","y","n","n","n","y","y","y","n","n","n","n","n","y","y","democrat"
"107","n","n","y","n","y","y","y","y","y","y","n","n","y","y","n","y","republican"
"303","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","n","republican"
"32","y","y","y","n","n","n","y","y","y","y","n","n","y","n","y","y","democrat"
"383","y","y","y","n","y","y","n","y","y","y","y","n","n","n","n","y","democrat"
"148","n","y","n","y","y","y","n","n","n","y","y","y","y","y","n","y","republican"
"286","n","n","y","n","n","y","y","y","y","y","y","y","n","y","y","y","democrat"
"101","y","n","y","n","y","y","y","n","n","n","y","n","n","y","n","y","democrat"
"144","n","n","n","n","n","y","y","y","y","y","n","n","n","y","n","y","democrat"
"421","n","y","y","n","y","y","y","y","n","n","y","n","y","n","y","y","democrat"
"399","n","y","n","y","y","y","n","n","n","y","n","y","y","y","n","n","republican"
"338","y","n","y","n","n","n","y","y","y","y","n","n","n","y","y","y","democrat"
"117","y","y","y","y","y","n","y","n","n","n","n","y","y","y","n","y","republican"
"345","n","n","n","y","y","y","y","n","n","y","n","y","n","y","y","y","republican"
"356","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","n","republican"
"106","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","y","republican"
"63","y","y","y","n","n","n","y","y","y","n","y","n","n","n","n","y","democrat"
"223","n","n","n","y","y","n","n","n","n","n","n","y","y","y","n","y","republican"
"372","n","y","y","y","y","y","n","n","n","n","y","y","y","y","n","n","democrat"
"315","n","y","y","y","y","y","y","y","n","n","n","n","y","y","y","y","republican"
"50","y","y","y","n","n","n","y","y","y","n","y","n","n","n","y","y","democrat"
"362","y","y","y","n","n","y","y","y","y","y","y","y","y","n","n","y","democrat"
"413","y","y","y","y","y","y","y","y","n","y","n","n","y","y","n","y","republican"
"137","n","n","y","n","n","y","y","y","y","y","n","n","n","y","y","y","democrat"
"432","n","n","n","y","y","y","n","n","n","n","y","y","y","y","n","y","republican"
"430","n","n","y","y","y","y","n","n","y","y","n","y","y","y","n","y","republican"
"281","y","n","y","y","y","y","y","y","n","n","n","n","n","y","n","y","republican"
"142","n","n","n","y","y","y","y","y","y","y","n","y","y","y","n","y","republican"
"284","n","n","y","n","n","y","y","y","y","y","y","n","n","n","n","y","democrat"
"169","y","n","y","n","n","n","y","y","y","y","y","n","n","y","n","y","democrat"
"47","y","n","y","n","n","n","y","y","y","n","n","n","n","n","n","y","democrat"
"203","y","n","y","n","n","n","y","y","y","y","n","n","n","n","y","y","democrat"
"294","n","y","y","n","n","y","y","y","n","y","y","n","y","y","n","y","democrat"
"23","y","y","y","n","n","n","y","y","y","n","n","n","n","n","y","y","democrat"
"180","n","n","y","n","n","n","y","y","y","y","n","n","n","n","n","y","democrat"
"213","n","y","y","n","n","y","n","y","y","n","y","n","y","n","y","y","democrat"
"369","n","y","n","y","y","y","n","n","n","n","n","n","y","y","n","y","republican"
"224","n","y","n","y","y","y","n","n","n","y","n","n","y","y","n","n","republican"
"162","n","y","y","n","y","y","y","n","n","n","y","y","y","y","n","y","democrat"
"42","y","n","y","n","n","n","y","y","y","n","n","n","n","n","n","y","democrat"
"0","n","y","n","y","y","y","n","n","n","y","n","y","y","y","n","y","republican"
"412","n","n","n","y","y","y","n","n","n","y","n","y","y","y","n","y","republican"
"77","n","y","y","y","y","y","n","y","y","y","y","y","y","y","n","y","democrat"
"283","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","y","republican"
"115","n","n","y","n","y","y","y","y","y","y","n","n","n","n","y","y","democrat"
"232","n","y","y","n","n","n","y","y","n","n","y","n","n","n","y","y","democrat"
"292","y","n","y","n","n","y","y","y","n","y","y","n","y","y","y","y","democrat"
"60","y","y","y","n","n","y","y","y","y","y","n","n","n","n","y","y","democrat"
"85","n","n","y","n","y","y","n","n","n","y","y","y","y","y","n","y","democrat"
"364","y","y","n","y","y","y","n","n","n","n","y","n","y","y","n","y","republican"
"427","n","n","n","y","y","y","y","y","n","y","n","y","y","y","n","y","republican"
"299","n","y","y","n","n","y","y","y","y","y","n","n","y","y","y","y","democrat"
"48","y","y","y","n","n","n","y","y","n","n","n","n","n","y","n","y","democrat"
"241","y","n","y","n","n","n","y","y","y","y","y","n","n","y","y","y","democrat"
"245","y","n","y","n","n","n","y","y","y","y","y","n","n","n","y","y","democrat"
"246","n","n","y","n","y","n","y","y","y","n","n","n","n","y","n","y","democrat"
"238","y","y","y","n","n","n","y","y","y","y","n","n","n","n","y","y","democrat"
"218","y","n","y","n","n","n","y","y","y","n","n","n","n","n","y","y","democrat"
"134","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","y","republican"
"404","y","y","n","y","y","y","n","n","n","y","n","y","y","y","n","y","republican"
"402","n","n","y","y","n","y","y","y","y","y","n","y","n","y","n","y","republican"
"347","y","n","n","y","y","y","n","n","n","y","n","y","y","y","n","n","republican"
"52","y","y","y","n","n","n","y","y","y","n","n","n","n","n","n","y","democrat"
"384","y","y","y","y","y","y","n","n","n","n","y","y","y","y","n","y","democrat"
"64","y","y","y","n","n","n","y","y","y","n","y","n","n","n","n","y","democrat"
"431","n","n","y","n","n","n","y","y","y","y","n","n","n","n","n","y","democrat"
"123","y","n","n","y","y","y","n","y","n","n","n","y","y","y","n","y","republican"
"76","n","y","y","n","y","y","n","n","n","y","y","y","y","y","n","y","democrat"
"217","n","y","n","y","y","y","n","n","n","y","n","y","y","y","n","n","republican"
"97","y","n","n","n","y","y","y","n","n","y","y","n","n","y","n","y","democrat"
"193","n","n","y","n","n","n","y","y","y","n","n","n","n","n","y","y","democrat"
"18","n","y","n","y","y","y","n","n","n","n","n","n","y","y","n","n","republican"
"272","y","n","y","n","n","n","y","y","y","y","n","n","n","n","y","y","democrat"
"30","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","n","republican"
"173","n","n","n","n","y","y","n","n","n","y","y","y","y","y","n","y","democrat"
"236","n","n","y","n","n","n","y","y","y","n","n","n","n","n","y","y","democrat"
"74","y","n","y","n","n","y","y","y","y","y","y","n","n","y","y","y","democrat"
"15","n","y","n","y","y","y","n","n","n","y","n","y","y","y","n","y","republican"
"396","y","y","y","n","y","y","n","y","n","n","y","n","y","n","y","y","democrat"
"264","y","n","y","n","n","n","y","y","y","n","n","n","n","n","y","y","democrat"
"91","y","n","y","n","n","n","y","y","y","y","y","n","n","n","y","y","democrat"
"121","n","n","n","y","y","y","n","n","n","y","n","y","y","y","n","y","republican"
"151","y","y","y","y","y","y","n","n","y","n","y","n","y","y","n","n","democrat"
"335","n","n","n","y","y","y","n","n","n","y","y","y","y","y","n","y","republican"
"206","n","n","n","y","y","y","n","n","n","y","n","y","n","y","n","y","republican"
"248","n","n","y","n","y","y","y","y","y","y","n","n","y","y","n","y","republican"
"386","n","n","y","n","y","y","n","y","n","n","y","n","n","n","n","y","democrat"
"228","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","y","republican"
"139","y","n","y","n","n","y","y","y","y","n","n","n","n","n","y","y","democrat"
"125","n","n","n","y","y","y","n","n","n","y","n","y","y","y","n","y","republican"
"385","y","y","n","n","y","y","n","n","n","n","y","y","y","y","y","n","democrat"
"314","n","y","n","y","y","y","y","y","n","n","y","y","y","y","y","y","republican"
"332","y","n","y","n","n","n","y","y","y","n","y","n","n","n","y","y","democrat"
"322","y","y","y","n","y","y","n","y","n","n","y","n","y","y","n","y","democrat"
"326","y","y","n","y","n","n","y","y","y","n","y","n","n","y","n","y","democrat"
"211","n","y","n","y","y","y","n","n","n","y","n","y","y","y","n","y","republican"
"126","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","n","republican"
"132","n","n","n","y","y","y","n","n","n","y","n","y","y","y","n","y","republican"
"40","y","y","y","n","n","n","y","y","y","n","n","n","n","n","n","y","democrat"
"35","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","n","republican"
"348","y","n","y","n","n","n","y","y","y","y","n","y","n","n","y","y","democrat"
"334","n","y","y","n","n","y","y","y","y","n","y","y","n","n","y","y","democrat"
"263","y","n","y","n","n","n","y","y","y","n","n","n","n","n","y","y","democrat"
"105","y","y","y","n","n","n","n","y","y","n","y","n","n","n","y","y","democrat"
"237","y","n","y","n","n","y","y","y","n","n","n","y","y","n","n","y","democrat"
"233","n","y","n","y","y","y","n","n","n","y","n","y","y","y","n","y","republican"
"184","n","n","y","n","n","n","y","y","y","y","y","n","n","n","y","y","democrat"
"87","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","n","republican"
"116","y","n","y","n","n","n","y","y","y","n","y","n","n","n","y","y","democrat"
"296","n","n","y","y","y","y","n","n","n","y","n","y","y","y","y","y","republican"
"434","n","y","n","y","y","y","n","n","n","y","n","y","y","y","n","n","republican"
"351","n","n","y","y","y","y","y","y","y","y","n","y","y","y","y","y","republican"
"49","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","n","republican"
"79","n","n","n","y","y","n","n","n","n","y","n","y","y","y","n","n","republican"
"29","y","y","y","n","n","n","y","y","y","n","y","n","n","n","y","y","democrat"
"92","y","y","y","n","n","n","y","y","n","y","y","n","n","y","y","y","democrat"
"265","y","n","y","n","n","n","y","y","y","y","n","n","n","n","n","y","democrat"
"71","y","y","y","y","n","n","y","y","y","y","y","n","n","y","n","y","republican"
"429","y","n","y","n","y","n","y","y","y","y","n","y","n","y","y","y","democrat"
"316","n","n","n","n","n","y","n","y","y","n","y","y","y","y","y","n","democrat"
"163","n","y","n","y","y","y","y","n","n","n","n","y","y","y","n","y","republican"
"290","y","n","y","n","y","y","y","y","y","y","n","n","y","y","n","y","democrat"
"167","y","n","y","y","y","y","y","y","n","y","y","y","n","y","y","y","republican"
"414","y","y","y","n","n","n","y","y","y","n","n","n","n","n","n","y","democrat"
"305","n","n","n","y","y","y","n","n","n","y","n","y","y","y","n","n","republican"
"183","n","n","y","n","y","y","y","y","y","y","n","n","y","y","n","y","democrat"
"198","n","n","y","n","n","n","y","y","y","y","y","n","y","n","y","y","democrat"
"267","y","n","n","n","n","n","y","y","y","y","n","n","n","y","n","y","republican"
"99","n","n","n","y","y","y","n","n","n","y","n","y","y","y","n","n","republican"
"112","n","n","y","n","n","y","y","y","n","y","n","n","n","n","y","y","democrat"
"227","y","n","y","n","n","n","y","y","y","n","n","n","n","n","n","y","democrat"
"397","y","y","n","n","y","y","n","n","n","n","y","n","y","y","n","y","democrat"
"72","y","y","y","n","n","n","y","y","y","n","y","n","n","n","y","y","democrat"
"26","y","n","y","n","n","n","y","y","y","n","y","n","n","n","y","y","democrat"
"260","y","n","y","n","n","n","y","y","y","y","n","n","n","n","n","y","democrat"
"14","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","y","republican"
"252","y","y","y","n","n","y","y","y","y","n","n","n","n","n","y","y","democrat"
"37","y","y","n","y","y","y","n","n","n","n","n","n","y","y","n","y","republican"
"61","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","n","republican"
"133","n","n","n","y","y","y","n","n","n","y","n","y","y","y","n","y","republican"
"131","n","n","y","n","n","y","n","y","y","y","n","n","n","y","n","y","democrat"
"34","y","y","y","n","n","n","y","y","y","n","n","n","n","n","y","y","democrat"
"124","n","n","y","n","n","n","y","y","y","n","n","n","n","n","y","y","democrat"
"98","y","y","y","n","n","y","y","y","y","y","n","n","n","n","n","y","democrat"
"291","y","n","y","n","n","y","y","y","y","y","n","n","n","y","n","y","democrat"
"293","y","y","y","n","n","y","y","y","y","y","y","n","y","y","y","y","democrat"
"222","y","n","y","n","n","n","y","y","y","n","y","n","n","n","y","y","democrat"
"70","y","n","y","n","n","n","y","y","y","n","n","n","y","n","y","y","democrat"
"152","n","y","y","n","n","y","n","y","y","y","y","n","y","n","y","y","democrat"
"285","n","n","y","n","n","y","y","y","y","y","y","n","n","n","y","y","democrat"
"418","y","y","y","n","n","n","y","y","n","y","n","n","n","n","n","y","democrat"
"27","y","y","y","n","n","n","y","y","y","n","y","n","n","n","y","y","democrat"
"337","y","n","y","n","n","n","y","y","y","n","n","n","n","n","y","y","democrat"
"147","n","n","n","n","n","n","y","y","y","y","n","y","y","y","y","y","democrat"
"317","y","n","n","n","n","n","y","y","y","y","n","n","n","n","y","y","democrat"
"422","n","n","y","n","n","y","y","y","y","n","y","n","n","n","y","y","democrat"
"405","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","y","republican"
"59","n","y","n","y","y","y","n","n","n","y","n","y","y","y","n","y","republican"
"379","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","y","republican"
"207","y","n","n","y","y","y","y","n","n","y","n","y","y","y","n","y","republican"
"239","n","n","n","y","y","y","y","n","n","y","n","n","n","y","y","y","republican"
"209","y","y","y","n","n","n","y","y","y","y","y","n","n","n","n","y","democrat"
"11","n","y","n","y","y","y","n","n","n","n","y","n","y","y","n","y","republican"
"243","n","y","y","n","n","n","y","y","y","y","n","n","y","n","y","y","democrat"
"304","n","y","n","y","y","y","n","n","n","y","n","y","y","y","n","y","republican"
"401","n","y","n","y","y","y","n","n","n","y","y","y","y","y","n","n","republican"
"336","n","n","y","n","n","y","y","y","n","n","y","n","n","y","n","y","democrat"
"25","y","n","y","n","n","n","y","y","y","y","n","n","n","n","y","y","democrat"
"355","y","n","y","y","n","n","n","y","y","y","n","n","n","y","y","y","republican"
"301","n","n","y","n","n","y","y","y","y","n","n","n","n","n","y","y","democrat"
"324","n","y","n","y","y","y","n","n","n","n","y","y","y","y","n","n","republican"
"250","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","n","republican"
"310","n","n","n","y","y","y","n","n","n","y","n","y","y","y","y","n","republican"
"393","n","n","y","n","n","y","n","y","y","n","n","y","y","n","n","y","republican"
"208","n","n","y","n","n","n","y","y","y","n","n","n","n","n","y","y","democrat"
"357","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","n","republican"
"341","n","n","y","n","n","y","y","y","y","y","y","n","y","y","y","y","democrat"
"268","y","n","y","n","n","n","y","y","y","n","n","n","n","n","y","y","democrat"
"81","y","n","y","n","n","n","y","y","y","y","y","y","n","y","n","y","democrat"
"96","n","n","y","n","y","y","n","n","n","n","y","y","y","y","n","y","democrat"
"234","n","n","y","n","n","y","y","y","y","y","n","y","n","y","y","y","democrat"
"249","y","n","y","n","n","n","y","y","y","n","y","n","n","n","y","y","democrat"
"55","n","y","n","y","y","y","n","n","n","y","y","y","y","y","n","n","republican"
"411","y","n","y","n","n","y","y","y","y","y","y","n","n","n","n","y","democrat"
"200","n","n","y","n","n","n","y","y","y","n","n","n","n","y","y","y","democrat"
"100","y","n","n","n","y","y","n","n","n","n","y","y","n","y","n","y","democrat"
"195","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","y","republican"
"282","y","n","n","y","y","y","n","n","n","y","n","n","y","y","n","n","republican"
"1","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","y","republican"
"231","n","y","n","y","y","y","n","n","y","y","n","y","y","y","n","y","republican"
"130","y","n","y","n","y","y","y","y","y","n","n","n","n","n","y","y","democrat"
"307","y","n","y","n","n","y","y","y","y","n","n","n","n","y","n","y","democrat"
"165","n","y","y","n","n","y","y","y","y","y","y","n","y","n","y","y","democrat"
"182","y","n","y","n","n","n","y","y","y","n","n","n","n","n","y","y","democrat"
"155","y","y","n","y","y","y","n","y","n","n","y","y","y","y","n","n","republican"
"319","y","n","y","n","n","n","y","y","y","n","n","n","n","n","y","y","democrat"
"318","n","n","y","n","n","n","y","y","y","n","n","n","n","n","y","y","democrat"
"179","y","n","y","n","n","n","y","y","y","y","n","n","n","n","y","y","democrat"
"82","n","n","n","y","y","y","n","n","n","y","n","y","y","y","n","y","republican"
"150","y","y","n","y","y","y","n","n","n","y","n","y","y","y","n","y","republican"
"67","n","y","n","y","y","y","n","n","n","y","n","y","y","y","n","n","republican"
"340","n","n","n","y","y","y","n","n","n","y","y","y","n","y","n","y","republican"
"327","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","y","republican"
"392","y","y","n","y","y","y","n","n","n","n","y","y","y","y","n","y","republican"
"73","y","n","y","y","y","n","y","n","y","y","n","n","y","y","n","y","republican"
"308","n","n","n","y","y","y","n","n","n","y","n","y","y","y","n","n","republican"
"375","n","y","n","y","y","y","n","n","n","n","y","y","n","y","n","n","democrat"
"138","n","n","y","n","n","y","y","y","y","y","n","n","n","y","n","y","democrat"
"360","y","n","y","n","n","y","y","y","y","y","n","n","y","n","n","y","democrat"
"201","y","y","y","n","n","n","y","y","y","n","n","n","n","n","y","y","democrat"
"89","n","n","n","y","y","y","n","n","n","y","n","n","y","y","n","y","republican"
"353","n","n","y","y","y","y","y","n","n","y","y","y","y","y","n","y","republican"
"111","n","n","n","y","y","y","n","n","n","y","n","y","y","y","n","y","republican"
"158","n","y","n","y","y","y","n","n","n","y","n","y","y","y","n","n","republican"
"176","n","n","y","y","n","n","y","y","y","y","n","n","n","y","y","y","republican"
"394","y","y","y","n","y","y","n","n","n","n","y","n","y","n","n","y","democrat"
"80","y","n","y","n","n","y","y","y","y","y","n","y","n","y","n","y","democrat"
"226","n","n","y","n","n","y","y","y","y","n","y","n","n","y","y","y","democrat"
"141","n","n","n","y","y","y","y","y","y","y","n","y","y","y","n","y","republican"
"373","n","y","y","n","y","y","n","y","n","y","n","n","y","y","n","y","democrat"
"2","n","y","y","n","y","y","n","n","n","n","y","n","y","y","n","n","democrat"
"127","n","n","y","n","n","n","y","y","y","y","y","n","n","y","y","y","democrat"
"156","y","y","n","y","y","y","y","n","n","n","n","y","y","y","n","n","republican"
"3","n","y","y","n","y","y","n","n","n","n","y","n","y","n","n","y","democrat"
"149","n","n","y","n","n","n","y","y","y","y","n","n","y","n","y","y","democrat"
"387","y","y","y","n","y","y","n","y","y","n","y","n","n","y","n","y","democrat"
"261","y","n","y","n","n","y","y","y","y","n","n","n","n","y","n","y","democrat"
"255","y","n","y","n","n","n","y","y","y","y","n","n","n","y","y","y","democrat"
"210","n","n","y","n","n","y","y","y","y","n","n","n","n","n","y","y","democrat"
"271","n","y","y","n","n","y","y","y","y","n","n","n","n","n","n","y","democrat"
"22","y","n","y","n","n","n","y","y","y","n","n","n","n","n","y","y","democrat"
"204","n","n","y","y","y","y","y","n","n","n","n","y","y","y","n","y","republican"
"187","y","n","y","n","n","n","y","y","y","n","n","n","n","n","y","y","democrat"
"168","n","n","y","y","y","y","n","n","y","n","n","n","y","y","y","y","democrat"
"259","y","n","y","n","n","n","y","y","y","n","n","n","n","n","n","y","democrat"
"352","n","y","n","y","n","y","y","y","y","n","y","n","y","n","y","y","democrat"
"118","n","y","y","n","n","n","n","y","y","y","y","n","n","n","y","y","democrat"
"215","n","y","y","y","y","y","n","n","n","y","y","y","y","y","y","y","democrat"
"240","n","n","n","y","n","y","y","y","y","n","n","y","y","y","n","y","republican"
"333","n","n","y","n","n","n","y","y","y","n","n","n","n","n","y","y","democrat"
"382","y","y","n","y","y","y","n","n","n","n","y","n","y","y","n","y","democrat"
"321","y","y","y","n","n","n","y","y","y","y","n","n","y","n","n","y","democrat"
"428","n","n","y","n","n","n","y","y","y","y","n","n","y","n","y","y","democrat"
"160","n","y","n","n","y","y","n","n","n","n","n","y","y","y","y","y","democrat"
"253","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","y","republican"
"17","y","n","y","n","n","n","y","y","y","n","n","n","y","n","y","y","democrat"
"409","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","n","republican"
"389","y","n","y","n","n","n","y","y","y","y","y","n","n","n","y","y","democrat"
"275","n","n","y","n","y","y","n","n","n","n","n","n","y","y","n","n","democrat"
"90","y","n","y","n","n","n","y","y","y","y","n","n","n","n","y","y","democrat"
"368","n","y","y","n","n","y","y","y","n","y","n","n","n","n","y","y","democrat"
"31","y","y","y","n","n","n","y","y","y","n","y","n","n","n","y","y","democrat"
"94","y","n","y","n","y","y","n","n","n","n","n","n","n","n","n","y","democrat"
"388","n","y","y","y","y","y","n","n","n","n","n","y","y","y","n","y","democrat"
"331","y","n","y","n","n","n","y","y","y","n","n","n","n","n","y","y","democrat"
"371","y","y","y","n","y","n","y","y","y","y","n","n","n","n","y","y","democrat"
"189","y","n","y","n","n","n","y","y","y","n","n","n","n","n","y","y","democrat"
"51","n","y","n","y","y","y","n","y","n","n","n","y","y","y","n","y","republican"
"410","n","n","n","y","y","y","n","n","n","n","y","y","y","y","n","y","republican"
"312","y","y","y","n","n","n","y","y","y","y","n","n","n","n","y","y","democrat"
"20","y","y","y","n","n","y","y","y","n","n","y","n","n","n","y","y","democrat"
"277","n","n","y","y","y","y","y","y","n","y","n","n","n","y","n","y","republican"
"420","y","y","y","y","y","y","y","y","n","y","n","n","y","y","n","y","republican"
"258","n","n","y","n","n","n","y","y","y","n","y","n","n","n","y","y","democrat"
"359","n","n","n","y","y","y","n","n","n","y","n","y","y","y","n","y","republican"
"313","n","y","y","y","y","y","n","n","n","y","n","y","y","y","n","y","republican"
"256","n","n","n","y","y","n","n","n","n","n","n","y","n","y","n","n","republican"
"58","n","y","n","y","y","y","n","n","n","y","n","y","y","y","n","y","republican"
"309","y","n","n","n","n","y","y","y","y","y","n","n","n","y","y","y","democrat"
