"","Sex","Age","Debt","Married","BankCustomer","EducationLevel","Ethicity","Years_employed","PriorDefault","Employed","CreditScore","Driverslicense","Citizen","Zipcode","Income","class"
"576","b",30.17,0.5,"u","g","c","v",1.75,"t","t",11,"f","g",32,540,"+"
"379","b",33.58,0.25,"u","g","i","bb",4,"f","f",0,"t","s",420,0,"-"
"228","b",19.67,0.375,"u","g","q","v",2,"t","t",2,"t","g",80,0,"+"
"319","b",36.75,0.125,"y","p","c","v",1.5,"f","f",0,"t","g",232,113,"+"
"368","a",23.58,11.5,"y","p","k","h",3,"f","f",0,"t","g",20,16,"-"
"407","a",19.58,0.665,"y","p","c","v",1,"f","t",1,"f","g",2000,2,"-"
"651","a",15.83,7.625,"u","g","q","v",0.125,"f","t",1,"t","g",0,160,"-"
"484","b",34.67,1.08,"u","g","m","v",1.165,"f","f",0,"f","s",28,0,"-"
"611","b",27.58,3.25,"y","p","q","h",5.085,"f","t",2,"t","g",369,1,"-"
"663","b",32.08,4,"y","p","cc","v",1.5,"f","f",0,"t","g",120,0,"-"
"641","a",33.17,2.25,"y","p","cc","v",3.5,"f","f",0,"t","g",200,141,"-"
"408","b",16,3.125,"u","g","w","v",0.085,"f","t",1,"f","g",0,6,"-"
"365","b",42.83,1.25,"u","g","m","v",13.875,"f","t",1,"t","g",352,112,"-"
"335","b",27.67,0.75,"u","g","q","h",0.165,"f","f",0,"t","g",220,251,"-"
"389","b",22.92,0.17,"u","g","m","v",0.085,"f","f",0,"f","s",0,0,"-"
"49","b",23.92,0.665,"u","g","c","v",0.165,"f","f",0,"f","g",100,0,"+"
"610","b",20,1.25,"y","p","k","v",0.125,"f","f",0,"f","g",140,4,"-"
"93","b",52.33,1.375,"y","p","c","h",9.46,"t","f",0,"t","g",200,100,"-"
"323","b",48.58,0.205,"y","p","k","v",0.25,"t","t",11,"f","g",380,2732,"+"
"601","a",42.25,1.75,"y","p","w","h",0,"f","f",0,"t","g",150,1,"-"
"554","a",22.42,11.25,"y","p","x","h",0.75,"t","t",4,"f","g",0,321,"+"
"684","b",40.58,3.29,"u","g","m","v",3.5,"f","f",0,"t","s",400,0,"-"
"125","b",34.92,5,"u","g","x","h",7.5,"t","t",6,"t","g",0,1000,"+"
"435","b",19,0,"y","p","ff","ff",0,"f","t",4,"f","g",45,1,"-"
"656","b",25.67,3.25,"u","g","c","h",2.29,"f","t",1,"t","g",416,21,"-"
"555","b",41.92,0.42,"u","g","c","h",0.21,"t","t",6,"f","g",220,948,"+"
"115","a",25.42,1.125,"u","g","q","v",1.29,"t","t",2,"f","g",200,0,"-"
"333","a",25.25,12.5,"u","g","d","v",1,"f","f",0,"t","g",180,1062,"-"
"295","a",31.92,3.125,"u","g","ff","ff",3.04,"f","t",2,"t","g",200,4,"-"
"445","a",29.25,11.25,"u","g","ff","ff",0,"f","f",0,"f","g",232,5200,"-"
"375","a",20.83,0.5,"y","p","e","dd",1,"f","f",0,"f","g",260,0,"-"
"92","b",32.08,5,"y","p","aa","v",8.5,"t","f",0,"f","g",0,0,"-"
"188","a",28.67,1.04,"u","g","c","v",2.5,"t","t",5,"t","g",300,1430,"+"
"211","b",24.33,6.625,"y","p","d","v",5.5,"t","f",0,"t","s",100,0,"+"
"366","a",22.75,6.165,"u","g","aa","v",0.165,"f","f",0,"f","g",220,1000,"-"
"101","b",35.25,16.5,"y","p","c","v",4,"t","f",0,"f","g",80,0,"-"
"587","b",51.58,15,"u","g","c","v",8.5,"t","t",9,"f","g",0,0,"+"
"166","b",19.33,9.5,"u","g","q","v",1,"t","f",0,"t","g",60,400,"+"
"524","a",28.58,1.665,"u","g","q","v",2.415,"t","f",0,"t","g",440,0,"-"
"659","a",28.58,3.75,"u","g","c","v",0.25,"f","t",1,"t","g",40,154,"-"
"207","b",28.67,9.335,"u","g","q","h",5.665,"t","t",6,"f","g",381,168,"+"
"277","a",18.17,10,"y","p","q","h",0.165,"f","f",0,"f","g",340,0,"-"
"363","b",16.92,0.335,"y","p","k","v",0.29,"f","f",0,"f","s",200,0,"-"
"630","a",22.92,1.25,"u","g","q","v",0.25,"f","f",0,"t","g",120,809,"-"
"495","b",19.17,9.5,"u","g","w","v",1.5,"t","f",0,"f","g",120,2206,"+"
"569","a",35.75,0.915,"u","g","aa","v",0.75,"t","t",4,"f","g",0,1583,"+"
"401","b",28.92,0.375,"u","g","c","v",0.29,"f","f",0,"f","g",220,140,"-"
"267","a",32,6,"u","g","d","v",1.25,"f","f",0,"f","g",272,0,"-"
"157","a",68.67,15,"u","g","e","z",0,"t","t",14,"f","g",0,3376,"+"
"594","b",38.67,0.21,"u","g","k","v",0.085,"t","f",0,"t","g",280,0,"+"
"328","b",34.83,2.5,"y","p","w","v",3,"f","f",0,"f","s",200,0,"-"
"6","b",33.17,1.04,"u","g","r","h",6.5,"t","f",0,"t","g",164,31285,"+"
"348","b",63.33,0.54,"u","g","c","v",0.585,"t","t",3,"t","g",180,0,"-"
"405","a",69.5,6,"u","g","ff","ff",0,"f","f",0,"f","s",0,0,"-"
"77","a",19.17,0.585,"y","p","aa","v",0.585,"t","f",0,"t","g",160,0,"-"
"246","b",45,8.5,"u","g","cc","h",14,"t","t",1,"t","g",88,2000,"+"
"385","b",34,5.5,"y","p","c","v",1.5,"f","f",0,"t","g",60,0,"-"
"399","b",31,2.085,"u","g","c","v",0.085,"f","f",0,"f","g",300,0,"-"
"152","b",37.33,6.5,"u","g","m","h",4.25,"t","t",12,"t","g",93,0,"+"
"521","a",30,5.29,"u","g","e","dd",2.25,"t","t",5,"t","g",99,500,"+"
"378","b",34.42,1.335,"u","g","i","bb",0.125,"f","f",0,"t","g",440,4500,"-"
"40","b",34.17,9.17,"u","g","c","v",4.5,"t","t",12,"t","g",0,221,"+"
"72","a",38.58,5,"u","g","cc","v",13.5,"t","f",0,"t","g",980,0,"-"
"272","b",18.08,6.75,"y","p","m","v",0.04,"f","f",0,"f","g",140,0,"-"
"64","b",26.67,4.25,"u","g","cc","v",4.29,"t","t",1,"t","g",120,0,"+"
"478","b",22.75,11.5,"u","g","i","v",0.415,"f","f",0,"f","g",0,0,"-"
"494","a",18.83,4.415,"y","p","c","h",3,"t","f",0,"f","g",240,0,"+"
"292","b",25.42,0.54,"u","g","w","v",0.165,"f","t",1,"f","g",272,444,"-"
"189","a",33.08,4.625,"u","g","q","h",1.625,"t","t",2,"f","g",0,0,"+"
"398","b",26.17,12.5,"y","p","k","h",1.25,"f","f",0,"t","g",0,17,"-"
"689","b",35,3.375,"u","g","c","h",8.29,"f","f",0,"t","g",0,0,"-"
"607","b",32.33,3.5,"u","g","k","v",0.5,"f","f",0,"t","g",232,0,"-"
"683","b",36.42,0.75,"y","p","d","v",0.585,"f","f",0,"f","g",240,3,"-"
"662","a",23.5,1.5,"u","g","w","v",0.875,"f","f",0,"t","g",160,0,"-"
"467","a",30.42,1.375,"u","g","w","h",0.04,"f","t",3,"f","g",0,33,"-"
"159","b",34.08,0.08,"y","p","m","bb",0.04,"t","t",1,"t","g",280,2000,"+"
"357","a",19.5,0.165,"u","g","q","v",0.04,"f","f",0,"t","g",380,0,"-"
"457","b",29.67,0.75,"y","p","c","v",0.04,"f","f",0,"f","g",240,0,"-"
"440","b",23.08,0,"u","g","k","v",1,"f","t",11,"f","s",0,0,"-"
"522","b",22.83,3,"u","g","m","v",1.29,"t","t",1,"f","g",260,800,"+"
"24","a",41.17,6.5,"u","g","q","v",0.5,"t","t",3,"t","g",145,0,"+"
"529","b",43.25,25.21,"u","g","q","h",0.21,"t","t",1,"f","g",760,90,"-"
"432","b",21.83,1.54,"u","g","k","v",0.085,"f","f",0,"t","g",356,0,"-"
"517","b",16.08,0.75,"u","g","c","v",1.75,"t","t",5,"t","g",352,690,"+"
"70","b",32.33,7.5,"u","g","e","bb",1.585,"t","f",0,"t","s",420,0,"-"
"573","a",65.17,14,"u","g","ff","ff",0,"t","t",11,"t","g",0,1400,"+"
"409","b",17.08,0.25,"u","g","q","v",0.335,"f","t",4,"f","g",160,8,"-"
"599","b",20.5,2.415,"u","g","c","v",2,"t","t",11,"t","g",200,3000,"+"
"437","a",53.33,0.165,"u","g","ff","ff",0,"f","f",0,"t","s",62,27,"-"
"329","b",22.67,4,"y","p","i","v",0.085,"f","f",0,"t","g",411,0,"-"
"391","b",39.92,5,"u","g","i","bb",0.21,"f","f",0,"f","g",550,0,"-"
"201","a",41.33,1,"u","g","i","bb",2.25,"t","f",0,"t","g",0,300,"+"
"421","b",20.42,1.085,"u","g","q","v",1.5,"f","f",0,"f","g",108,7,"-"
"98","a",22.5,11,"y","p","q","v",3,"t","f",0,"t","g",268,0,"-"
"44","b",56.42,28,"y","p","c","v",28.5,"t","t",40,"f","g",0,15,"+"
"116","b",37.75,7,"u","g","q","h",11.5,"t","t",7,"t","g",300,5,"-"
"146","b",23.25,1.5,"u","g","q","v",2.375,"t","t",3,"t","g",0,582,"+"
"273","b",38.25,10.125,"y","p","k","v",0.125,"f","f",0,"f","g",160,0,"-"
"676","a",30.58,10.665,"u","g","q","h",0.085,"f","t",12,"t","g",129,3,"-"
"560","a",25,12.33,"u","g","cc","h",3.5,"t","t",6,"f","g",400,458,"+"
"213","b",23.08,11.5,"u","g","i","v",3.5,"t","t",9,"f","g",56,742,"+"
"600","a",29.5,0.46,"u","g","k","v",0.54,"t","t",4,"f","g",380,500,"+"
"129","a",28.42,3.5,"u","g","w","v",0.835,"t","f",0,"f","s",280,0,"+"
"126","b",47.67,2.5,"u","g","m","bb",2.5,"t","t",12,"t","g",410,2510,"+"
"191","b",42,0.205,"u","g","i","h",5.125,"t","f",0,"f","g",400,0,"+"
"285","b",17.58,10,"u","g","w","h",0.165,"f","t",1,"f","g",120,1,"-"
"451","b",39.5,1.625,"u","g","c","v",1.5,"f","f",0,"f","g",0,316,"-"
"544","b",30.08,1.04,"y","p","i","bb",0.5,"t","t",10,"t","g",132,28,"-"
"406","a",40.33,8.125,"y","p","k","v",0.165,"f","t",2,"f","g",80,18,"-"
"411","b",25.17,3,"u","g","c","v",1.25,"f","t",1,"f","g",0,22,"-"
"294","a",16.08,0.335,"u","g","ff","ff",0,"f","t",1,"f","g",160,126,"-"
"624","b",21.58,0.79,"y","p","cc","v",0.665,"f","f",0,"f","g",160,0,"-"
"621","b",22.67,0.165,"u","g","c","j",2.25,"f","f",0,"t","s",0,0,"+"
"654","a",23.58,0.83,"u","g","q","v",0.415,"f","t",1,"t","g",200,11,"-"
"317","b",17.5,22,"l","gg","ff","o",0,"f","f",0,"t","p",450,1e+05,"+"
"597","a",21.5,6,"u","g","aa","v",2.5,"t","t",3,"f","g",80,918,"+"
"117","b",52.5,6.5,"u","g","k","v",6.29,"t","t",15,"f","g",0,11202,"+"
"1","a",58.67,4.46,"u","g","q","h",3.04,"t","t",6,"f","g",43,560,"+"
"17","a",23.25,5.875,"u","g","q","v",3.17,"t","t",10,"f","g",120,245,"+"
"373","b",26.25,1.54,"u","g","w","v",0.125,"f","f",0,"f","g",100,0,"-"
"510","b",13.75,4,"y","p","w","v",1.75,"t","t",2,"t","g",120,1000,"+"
"3","b",27.83,1.54,"u","g","w","v",3.75,"t","t",5,"t","g",100,3,"+"
"590","b",30.17,6.5,"u","g","cc","v",3.125,"t","t",8,"f","g",330,1200,"+"
"472","b",17.42,6.5,"u","g","i","v",0.125,"f","f",0,"f","g",60,100,"-"
"217","b",55.92,11.5,"u","g","ff","ff",5,"t","t",5,"f","g",0,8851,"+"
"439","b",25.92,0.875,"u","g","k","v",0.375,"f","t",2,"t","g",174,3,"-"
"548","b",33.17,1,"u","g","x","v",0.75,"t","t",7,"t","g",340,4071,"+"
"657","a",38.92,1.665,"u","g","aa","v",0.25,"f","f",0,"f","g",0,390,"-"
"222","a",17.58,9,"u","g","aa","v",1.375,"t","f",0,"t","g",0,0,"+"
"75","b",20.67,5.29,"u","g","q","v",0.375,"t","t",1,"f","g",160,0,"-"
"637","b",19.5,9.585,"u","g","aa","v",0.79,"f","f",0,"f","g",80,350,"-"
"609","b",47.83,4.165,"u","g","x","bb",0.085,"f","f",0,"t","g",520,0,"-"
"43","b",39.58,13.915,"u","g","w","v",8.625,"t","t",6,"t","g",70,0,"+"
"469","b",16.33,4.085,"u","g","i","h",0.415,"f","f",0,"t","g",120,0,"-"
"369","b",21.42,0.75,"y","p","r","n",0.75,"f","f",0,"t","g",132,2,"-"
"148","a",30.5,6.5,"u","g","c","bb",4,"t","t",7,"t","g",0,3065,"+"
"291","a",18.25,10,"u","g","w","v",1,"f","t",1,"f","g",120,1,"-"
"167","a",32.33,0.54,"u","g","cc","v",0.04,"t","f",0,"f","g",440,11177,"+"
"203","a",20.75,10.25,"u","g","q","v",0.71,"t","t",2,"t","g",49,0,"+"
"102","b",18.67,5,"u","g","q","v",0.375,"t","t",2,"f","g",0,38,"-"
"605","a",29.58,1.75,"y","p","k","v",1.25,"f","f",0,"t","g",280,0,"-"
"352","b",22.5,11.5,"y","p","m","v",1.5,"f","f",0,"t","g",0,4000,"-"
"629","a",19.58,0.665,"u","g","w","v",1.665,"f","f",0,"f","g",220,5,"-"
"688","b",17.92,0.205,"u","g","aa","v",0.04,"f","f",0,"f","g",280,750,"-"
"325","a",29.5,1.085,"y","p","x","v",1,"f","f",0,"f","g",280,13,"-"
"454","b",52.42,1.5,"u","g","d","v",3.75,"f","f",0,"t","g",0,350,"-"
"276","a",19.17,5.415,"u","g","i","h",0.29,"f","f",0,"f","g",80,484,"-"
"388","b",26.67,14.585,"u","g","i","bb",0,"f","f",0,"t","g",178,0,"-"
"177","a",26.08,8.665,"u","g","aa","v",1.415,"t","f",0,"f","g",160,150,"+"
"404","b",34,5.085,"y","p","i","bb",1.085,"f","f",0,"t","g",480,0,"-"
"83","a",32.08,3.5,"u","g","d","v",3,"t","f",0,"t","g",300,0,"-"
"247","a",19.67,0.21,"u","g","q","h",0.29,"t","t",11,"f","g",80,99,"+"
"249","b",21.83,11,"u","g","x","v",0.29,"t","t",6,"f","g",121,0,"+"
"456","b",34.58,0,"u",NA,"e","v",0,"f","f",0,"f","p",720,0,"-"
"59","b",43.25,3,"u","g","q","h",6,"t","t",11,"f","g",80,0,"+"
"589","b",25.33,0.58,"u","g","c","v",0.29,"t","t",7,"t","g",96,5124,"+"
"227","a",22.5,8.46,"y","p","x","v",2.46,"f","f",0,"f","g",164,0,"+"
"288","b",18.83,0.415,"y","p","c","v",0.165,"f","t",1,"f","g",200,1,"-"
"110","b",29.17,3.5,"u","g","w","v",3.5,"t","t",3,"t","g",329,0,"-"
"395","a",33.08,1.625,"u","g","d","v",0.54,"f","f",0,"t","g",0,0,"-"
"670","b",47.17,5.835,"u","g","w","v",5.5,"f","f",0,"f","g",465,150,"-"
"105","b",54.83,15.5,"u","g","e","z",0,"t","t",20,"f","g",152,130,"-"
"48","b",41.5,1.54,"u","g","i","bb",3.5,"f","f",0,"f","g",216,0,"+"
"88","b",34,4.5,"u","g","aa","v",1,"t","f",0,"t","g",240,0,"-"
"626","b",22,7.835,"y","p","i","bb",0.165,"f","f",0,"t","g",280,0,"-"
"7","a",22.92,11.585,"u","g","cc","v",0.04,"t","f",0,"f","g",80,1349,"+"
"4","b",20.17,5.625,"u","g","w","v",1.71,"t","f",0,"f","s",120,0,"+"
"306","b",23.5,2.75,"u","g","ff","ff",4.5,"f","f",0,"f","g",160,25,"-"
"139","a",26.92,13.5,"u","g","q","h",5,"t","t",2,"f","g",0,5000,"+"
"269","b",18,0.165,"u","g","q","n",0.21,"f","f",0,"f","g",200,40,"+"
"665","b",31.83,0.04,"y","p","m","v",0.04,"f","f",0,"f","g",0,0,"-"
"21","b",23.25,1,"u","g","c","v",0.835,"t","f",0,"f","s",300,0,"+"
"168","b",36.67,3.25,"u","g","q","h",9,"t","f",0,"t","g",102,639,"+"
"135","b",48.58,6.5,"u","g","q","h",6,"t","f",0,"t","g",350,0,"+"
"498","b",25.75,0.5,"u","g","c","v",1.46,"t","t",5,"t","g",312,0,"+"
"308","b",27.75,1.29,"u","g","k","h",0.25,"f","f",0,"t","s",140,0,"-"
"283","a",16.5,1.25,"u","g","q","v",0.25,"f","t",1,"f","g",108,98,"-"
"161","b",44,2,"u","g","m","v",1.75,"t","t",2,"t","g",0,15,"+"
"138","a",18.83,9.5,"u","g","w","v",1.625,"t","t",6,"t","g",40,600,"+"
"520","b",20.42,7.5,"u","g","k","v",1.5,"t","t",1,"f","g",160,234,"+"
"588","b",26.67,1.75,"y","p","c","v",1,"t","t",5,"t","g",160,5777,"+"
"386","b",22.58,1.5,"y","p","aa","v",0.54,"f","f",0,"t","g",120,67,"-"
"340","a",39.08,4,"u","g","c","v",3,"f","f",0,"f","g",480,0,"-"
"173","a",49.83,13.585,"u","g","k","h",8.5,"t","f",0,"t","g",0,0,"+"
"36","b",27.25,1.585,"u","g","cc","h",1.835,"t","t",12,"t","g",583,713,"+"
"539","b",80.25,5.5,"u","g","k","v",0.54,"t","f",0,"f","g",0,340,"-"
"612","b",22,0.79,"u","g","w","v",0.29,"f","t",1,"f","g",420,283,"-"
"552","b",34.75,15,"u","g","r","n",5.375,"t","t",9,"t","g",0,134,"+"
"136","b",39.92,0.54,"y","p","aa","v",0.5,"t","t",3,"f","g",200,1000,"+"
"403","a",22.67,0.335,"u","g","q","v",0.75,"f","f",0,"f","s",160,0,"-"
"12","a",38.25,6,"u","g","k","v",1,"t","f",0,"t","g",0,0,"+"
"309","a",31.75,3,"y","p","j","j",0,"f","f",0,"f","g",160,20,"-"
"429","b",33.58,0.335,"y","p","cc","v",0.085,"f","f",0,"f","g",180,0,"-"
"141","a",56.5,16,"u","g","j","ff",0,"t","t",15,"f","g",0,247,"+"
"652","a",22.5,0.415,"u","g","i","v",0.335,"f","f",0,"t","s",144,0,"-"
"414","b",22.25,0.46,"u","g","k","v",0.125,"f","f",0,"t","g",280,55,"-"
"174","b",22.67,10.5,"u","g","q","h",1.335,"t","f",0,"f","g",100,0,"+"
"446","b",16.5,0.125,"u","g","c","v",0.165,"f","f",0,"f","g",132,0,"-"
"202","b",24.83,2.75,"u","g","c","v",2.25,"t","t",6,"f","g",422,600,"+"
"99","a",28.5,1,"u","g","q","v",1,"t","t",2,"t","g",167,500,"-"
"673","b",29.5,2,"y","p","e","h",2,"f","f",0,"f","g",256,17,"-"
"625","b",23.75,12,"u","g","c","v",2.085,"f","f",0,"f","s",80,0,"-"
"235","a",20.67,1.835,"u","g","q","v",2.085,"t","t",5,"f","g",220,2503,"+"
"486","b",28.17,0.125,"y","p","k","v",0.085,"f","f",0,"f","g",216,2100,"-"
"80","b",49.58,19,"u","g","ff","ff",0,"t","t",1,"f","g",94,0,"-"
