"","gq","gqtypeg","farm","ownershg","value","rent","ftotinc","nfams","ncouples","nmothers","nfathers","momloc","stepmom","momrule","poploc","steppop","poprule","sploc","sprule","famsize","nchild","nchlt5","famunit","eldch","yngch","nsibs","relateg","age","sex","raceg","marst","chborn","school","educrec","schltype","empstatg","labforce","occscore","sei","classwkg","wkswork2","hrswork2","yrlastwk","workedyr","inctot","incwage","incbus","incfarm","incss","incwelfr","incother","poverty","migrat5g","movedin","vetstat","binaryClass"
"1128","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)",4e+05,0,18000,"1","1","1","1","0","0","0","0","0","0","2","1","5","3","0","1",9,5,"0","Head_Householder",60,"Male","Black_Negro","Married_spouse_present","No_children","No_not_in_school","4+_years_of_college","Not_enrolled","Unemployed","Yes_in_labor_force",33,48,"Works_for_wages_salary","50-52_weeks","40_hours","Worked_2_yrs_prior","No",0,0,0,"0",0,0,0,122,"Same_house","5","No_Service","P"
"877","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)",225000,0,51000,"1","1","1","1","2","0","1","1","0","1","0","0","5","0","0","1",99,99,"2","Child",11,"Male","White","Never_married_single","No_children","Yes_in_school","Grade_5-8","Public_school","Employed","No_not_in_labor_force",0,0,"Works_for_wages_salary","50-52_weeks","40_hours","Worked_current_yr","Yes",0,999999,999999,"999999",99999,99999,99999,345,"Same_house","0","No_Service","P"
"8676","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)",162500,0,45392,"1","1","1","1","0","0","0","0","0","0","0","0","6","0","0","1",99,99,"0","Other_relatives",20,"Male","White","Never_married_single","3","No_not_in_school","Grade_5-8","Not_enrolled","Employed","Yes_in_labor_force",9,6,"Works_for_wages_salary","1-13_weeks","40_hours","Worked_current_yr","Yes",192,192,0,"0",0,0,0,266,"Moved_place_not_reported","0","No_Service","P"
"7844","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,625,36200,"3","0","1","0","1","0","1","0","0","0","0","0","4","0","0","1",99,99,"2","Child",20,"Male","Black_Negro","Never_married_single","1_child","No_not_in_school","1_to_3_years_of_college","Not_enrolled","Not_in_labor_force","No_not_in_labor_force",0,0,"Works_for_wages_salary","40-47_weeks","40_hours","Worked_6-10_yrs_ago","No",8016,0,0,"0",0,8016,0,278,"Same_house","0","No_Service","P"
"5921","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,875,75189,"1","1","1","2","2","0","1","1","0","1","0","0","5","0","0","1",99,99,"1","Child",11,"Male","White","Never_married_single","No_children","Yes_in_school","Grade_5-8","Public_school","Unemployed","Yes_in_labor_force",0,0,"Works_for_wages_salary","48-49_weeks","40_hours","Worked_previous_yr","No",0,999999,999999,"999999",99999,99999,99999,496,"Moved_place_not_reported","0","No_Service","P"
"6525","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,675,28000,"3","2","0","0","0","0","0","0","0","0","0","0","1","0","0","3",99,99,"0","Partner_friend_visitor",22,"Female","White","Never_married_single","No_children","No_not_in_school","Grade_12","Not_enrolled","Not_in_labor_force","No_not_in_labor_force",0,0,"Works_for_wages_salary","1-13_weeks","40_hours","Never_worked","No",0,0,0,"0",0,0,0,1,"Moved_place_not_reported","0","No_Service","P"
"5070","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)",4e+05,0,80250,"1","1","1","1","0","0","0","0","0","0","1","1","4","2","0","1",20,14,"0","Spouse",47,"Female","White","Married_spouse_present","2__children","No_not_in_school","1_to_3_years_of_college","Not_enrolled","Employed","Yes_in_labor_force",21,66,"Works_for_wages_salary","27-39_weeks","35-39_hours","Worked_previous_yr","Yes",8200,8200,0,"0",0,0,0,501,"Same_house","0","No_Service","P"
"2899","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,387,11250,"1","1","1","1","0","0","0","0","0","0","2","1","4","2","2","1",2,1,"0","Head_Householder",27,"Male","White","Married_spouse_present","1_child","No_not_in_school","Grade_5-8","Not_enrolled","Employed","Yes_in_labor_force",11,11,"Works_for_wages_salary","50-52_weeks","41-48_hours","Worked_previous_yr","Yes",11250,11250,0,"0",0,0,0,89,"Same_house","2","No_Service","P"
"7074","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)",187500,0,11068,"1","1","0","0","0","0","0","0","0","0","2","1","2","0","0","1",99,99,"0","Head_Householder",71,"Male","White","Married_spouse_present","2__children","No_not_in_school","Grade_5-8","Not_enrolled","Not_in_labor_force","No_not_in_labor_force",0,0,"Works_for_wages_salary","50-52_weeks","40_hours","Worked_6-10_yrs_ago","No",7684,0,0,"0",7224,460,0,148,"Same_house","6","No_Service","P"
"4649","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)",137500,0,85216,"1","1","2","1","2","0","1","1","0","1","0","0","7","0","0","1",99,99,"3","Child",23,"Male","White","Never_married_single","2__children","Yes_in_school","Grade_12","Public_school","Unemployed","Yes_in_labor_force",24,47,"Works_for_wages_salary","1-13_weeks","60+_hours","Worked_current_yr","Yes",0,0,0,"0",0,0,0,415,"Moved_place_not_reported","0","No_Service","P"
"2158","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,675,62721,"1","1","1","1","2","0","1","1","0","1","0","0","4","0","0","1",99,99,"1","Child",13,"Male","White","Never_married_single","No_children","Yes_in_school","Grade_5-8","Public_school","Employed","Yes_in_labor_force",0,0,"Self-employed","50-52_weeks","30-34_hours","Never_worked","No",0,999999,999999,"999999",99999,99999,99999,499,"Same_house","0","No_Service","P"
"3475","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,625,40000,"1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1",99,99,"0","Head_Householder",34,"Male","Chinese","Divorced","No_children","Yes_in_school","4+_years_of_college","Public_school","Employed","Yes_in_labor_force",25,44,"Self-employed","50-52_weeks","49-59_hours","Worked_more_than_10_yrs_ago","Yes",40000,0,40000,"0",0,0,0,501,"Moved_place_not_reported","1","No_Service","P"
"1947","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)",225000,0,41411,"1","1","1","0","3","0","1","0","0","0","2","1","3","0","0","1",99,99,"0","Head_Householder",51,"Male","White","Married_spouse_present","No_children","Yes_in_school","4+_years_of_college","Public_school","Not_in_labor_force","No_not_in_labor_force",26,72,"Works_for_wages_salary","14-26_weeks","40_hours","Worked_previous_yr","Yes",24219,2375,0,"0",0,0,0,427,"Same_house","6","Yes","P"
"2579","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,512,47958,"1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1",99,99,"0","Head_Householder",35,"Female","Black_Negro","Divorced","No_children","No_not_in_school","4+_years_of_college","Not_enrolled","Employed","Yes_in_labor_force",19,46,"Works_for_wages_salary","50-52_weeks","40_hours","Worked_current_yr","Yes",47958,47908,0,"0",0,0,0,501,"Moved_place_not_reported","2","Yes","P"
"1529","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)",85000,0,39892,"1","1","1","1","0","0","0","0","0","0","2","1","4","2","0","1",20,18,"0","Head_Householder",45,"Male","White","Married_spouse_present","No_children","No_not_in_school","Grade_5-8","Not_enrolled","Employed","Yes_in_labor_force",23,18,"Works_for_wages_salary","50-52_weeks","40_hours","Never_worked","Yes",32700,32000,0,"0",0,0,0,312,"Same_house","6","No_Service","P"
"7288","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,725,74700,"1","1","0","0","0","0","0","0","0","0","1","1","2","0","0","1",99,99,"0","Spouse",71,"Female","White","Married_spouse_present","1_child","No_not_in_school","Grade_12","Not_enrolled","Employed","Yes_in_labor_force",41,68,"Works_for_wages_salary","50-52_weeks","35-39_hours","Worked_6-10_yrs_ago","Yes",17000,13000,0,"0",4000,0,0,501,"Same_house","0","No_Service","N"
"4632","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,1000,48373,"2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1",99,99,"0","Head_Householder",39,"Male","White","Divorced","1_child","No_not_in_school","1_to_3_years_of_college","Not_enrolled","Employed","Yes_in_labor_force",41,68,"Self-employed","50-52_weeks","49-59_hours","Never_worked","Yes",48373,48373,0,"0",0,0,0,501,"Moved_place_not_reported","1","No_Service","P"
"6518","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,1000,2005,"1","2","2","2","0","0","0","0","0","0","3","1","7","1","0","1",41,41,"0","Parent",63,"Female","Other_Asian_or_Pacific","Married_spouse_present","5","No_not_in_school","Grade_12","Not_enrolled","Not_in_labor_force","No_not_in_labor_force",0,0,"Self-employed","50-52_weeks","49-59_hours","Never_worked","No",0,0,0,"0",0,0,0,10,"Moved_place_not_reported","0","No_Service","P"
"4343","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,875,23189,"1","1","1","1","2","0","1","1","0","1","0","0","6","0","0","1",99,99,"3","Child",2,"Female","White","Never_married_single","2__children","No_not_in_school","Grade_12","Not_enrolled","Employed","Yes_in_labor_force",0,0,"Works_for_wages_salary","50-52_weeks","40_hours","Worked_current_yr","No",0,999999,999999,"999999",99999,99999,99999,140,"Same_house","0","No_Service","P"
"1221","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,337,32870,"1","1","1","1","2","0","1","1","0","1","0","0","10","0","0","1",99,99,"7","Child",20,"Female","White","Never_married_single","No_children","No_not_in_school","Grade_5-8","Not_enrolled","Unemployed","Yes_in_labor_force",0,0,"Works_for_wages_salary","50-52_weeks","40_hours","Never_worked","No",0,0,0,"0",0,0,0,122,"Moved_place_not_reported","0","No_Service","P"
"2857","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)",187500,0,93600,"1","1","1","1","2","0","1","1","0","1","0","0","4","0","0","1",99,99,"1","Child",6,"Male","Black_Negro","Never_married_single","No_children","Yes_in_school","None_or_preschool","Public_school","Employed","No_not_in_labor_force",0,0,"Works_for_wages_salary","50-52_weeks","40_hours","Worked_previous_yr","Yes",0,999999,999999,"999999",99999,99999,99999,501,"Moved_place_not_reported","0","No_Service","P"
"5399","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)",4e+05,0,333831,"1","0","1","0","0","0","0","0","0","0","0","0","2","1","0","1",42,42,"0","Parent",69,"Female","White","Widowed","4","No_not_in_school","Grade_12","Not_enrolled","Not_in_labor_force","No_not_in_labor_force",0,0,"Works_for_wages_salary","50-52_weeks","40_hours","Never_worked","No",4800,0,0,"0",0,4800,0,501,"Moved_place_not_reported","0","No_Service","P"
"525","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,675,45500,"1","2","2","2","0","0","0","0","0","0","2","1","7","2","1","1",5,1,"1","Head_Householder",29,"Male","White","Married_spouse_present","1_child","No_not_in_school","1_to_3_years_of_college","Not_enrolled","Employed","Yes_in_labor_force",27,22,"Works_for_wages_salary","50-52_weeks","40_hours","Worked_6-10_yrs_ago","Yes",8000,8000,0,"0",0,0,0,230,"Same_house","5","No_Service","N"
"1068","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,875,37000,"1","0","1","0","1","0","1","0","0","0","0","0","7","0","0","1",99,99,"3","Child",36,"Female","White","Never_married_single","No_children","No_not_in_school","4+_years_of_college","Not_enrolled","Employed","Yes_in_labor_force",61,93,"Works_for_wages_salary","50-52_weeks","40_hours","Worked_previous_yr","Yes",10000,10000,0,"0",0,0,0,184,"Moved_place_not_reported","0","No_Service","P"
"5521","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,537,18000,"1","1","0","0","0","0","0","0","0","0","1","1","2","0","0","1",99,99,"0","Spouse",24,"Female","White","Married_spouse_present","No_children","No_not_in_school","4+_years_of_college","Not_enrolled","Not_in_labor_force","No_not_in_labor_force",23,18,"Works_for_wages_salary","50-52_weeks","40_hours","Worked_previous_yr","Yes",5000,5000,0,"0",0,0,0,217,"Moved_place_not_reported","0","No_Service","P"
"8213","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)",4e+05,0,90000,"1","1","1","1","2","0","1","1","0","1","0","0","5","0","0","1",99,99,"2","Child",21,"Female","White","Never_married_single","No_children","Yes_in_school","1_to_3_years_of_college","Public_school","Not_in_labor_force","No_not_in_labor_force",0,0,"Works_for_wages_salary","50-52_weeks","40_hours","Never_worked","No",0,0,0,"0",0,0,0,501,"Same_house","0","No_Service","P"
"5837","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,875,38000,"1","1","1","1","0","0","0","0","0","0","2","1","5","3","0","1",17,9,"0","Head_Householder",47,"Male","White","Married_spouse_present","5","No_not_in_school","Grade_12","Not_enrolled","Employed","Yes_in_labor_force",22,10,"Works_for_wages_salary","50-52_weeks","60+_hours","Worked_previous_yr","Yes",36000,11000,7000,"0",0,0,0,257,"Moved_place_not_reported","1","Yes","N"
"5861","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,575,58300,"1","1","0","0","0","0","0","0","0","0","1","1","2","0","0","1",99,99,"0","Spouse",27,"Female","White","Married_spouse_present","No_children","No_not_in_school","4+_years_of_college","Not_enrolled","Employed","Yes_in_labor_force",26,72,"Works_for_wages_salary","40-47_weeks","40_hours","Worked_previous_yr","Yes",18100,18000,0,"0",0,0,0,501,"Moved_place_not_reported","0","No_Service","P"
"6336","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)",275000,0,58000,"1","1","0","0","0","0","0","0","0","0","2","1","2","0","0","1",99,99,"0","Head_Householder",41,"Male","Chinese","Married_spouse_present","6","No_not_in_school","1_to_3_years_of_college","Not_enrolled","Employed","Yes_in_labor_force",25,44,"Works_for_wages_salary","50-52_weeks","40_hours","Worked_current_yr","Yes",34000,34000,0,"0",0,0,0,501,"Same_house","6","No_Service","P"
"5490","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,575,47000,"1","2","2","2","0","0","0","0","0","0","6","1","9","1","0","1",5,5,"1","Sibling",29,"Male","White","Married_spouse_present","No_children","No_not_in_school","Grade_10","Not_enrolled","Employed","Yes_in_labor_force",28,22,"Works_for_wages_salary","48-49_weeks","30-34_hours","Worked_current_yr","Yes",24000,24000,0,"0",0,0,0,183,"Moved_place_not_reported","0","No_Service","P"
"7493","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,362,29000,"1","1","1","1","0","0","0","0","0","0","1","1","4","2","2","1",3,0,"0","Spouse",26,"Female","White","Married_spouse_present","2__children","Yes_in_school","Grade_5-8","Public_school","Not_in_labor_force","No_not_in_labor_force",22,18,"Works_for_wages_salary","50-52_weeks","40_hours","Worked_3-5_yrs_ago","No",0,0,0,"0",0,0,0,231,"Moved_place_not_reported","0","No_Service","P"
"1790","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)",275000,0,122208,"1","1","1","1","1","3","1","2","0","1","0","0","4","0","0","1",99,99,"1","Child",18,"Male","White","Never_married_single","No_children","Yes_in_school","Grade_11","Public_school","Employed","Yes_in_labor_force",10,19,"Works_for_wages_salary","50-52_weeks","15-29_hours","Worked_more_than_10_yrs_ago","No",0,0,0,"0",0,0,0,501,"Moved_place_not_reported","0","No_Service","P"
"4938","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,625,31000,"1","1","0","0","0","0","0","0","0","0","2","1","2","0","0","1",99,99,"0","Head_Householder",29,"Male","White","Married_spouse_present","3","No_not_in_school","1_to_3_years_of_college","Not_enrolled","Unemployed","Yes_in_labor_force",16,15,"Works_for_wages_salary","50-52_weeks","40_hours","Worked_2_yrs_prior","No",0,0,0,"0",0,0,0,373,"Moved_place_not_reported","2","No_Service","P"
"464","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)",350000,0,43350,"1","0","0","1","0","0","0","1","0","1","0","0","5","0","0","1",99,99,"2","Child",9,"Male","Other_Asian_or_Pacific","Never_married_single","2__children","Yes_in_school","Grade_1-4","Public_school","Employed","No_not_in_labor_force",0,0,"Self-employed","50-52_weeks","15-29_hours","Never_worked","Yes",0,999999,999999,"999999",99999,99999,99999,293,"Same_house","0","Yes","P"
"7975","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)",350000,0,42600,"1","1","0","0","0","0","0","0","0","0","2","1","2","0","0","1",99,99,"0","Head_Householder",52,"Male","White","Married_spouse_present","No_children","No_not_in_school","Grade_12","Not_enrolled","Employed","Yes_in_labor_force",21,18,"Works_for_wages_salary","50-52_weeks","41-48_hours","Never_worked","Yes",42600,32000,10000,"0",0,0,0,501,"Same_house","6","No_Service","P"
"3862","Institution","Institution_(1990)","Non-Farm","Rented",999999,0,999999,"1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1",99,99,"0","Institutional_inmates",15,"Male","White","Never_married_single","2__children","Yes_in_school","Grade_5-8","Public_school","Employed","Yes_in_labor_force",0,0,"Self-employed","14-26_weeks","15-29_hours","Never_worked","Yes",0,999999,999999,"999999",0,0,0,0,"Same_house","0","No_Service","P"
"8275","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,337,25800,"1","1","1","1","2","0","1","1","3","1","0","0","4","0","0","1",99,99,"0","Child",7,"Female","White","Never_married_single","No_children","Yes_in_school","Grade_1-4","Public_school","Not_in_labor_force","Yes_in_labor_force",0,0,"Works_for_wages_salary","48-49_weeks","15-29_hours","Never_worked","No",0,999999,999999,"999999",99999,99999,99999,198,"Same_house","0","Yes","P"
"1894","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)",4e+05,0,133515,"2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1",99,99,"0","Head_Householder",40,"Male","White","Never_married_single","No_children","No_not_in_school","4+_years_of_college","Not_enrolled","Employed","Yes_in_labor_force",61,93,"Self-employed","50-52_weeks","41-48_hours","Worked_more_than_10_yrs_ago","Yes",133515,0,123515,"0",0,0,0,501,"Moved_place_not_reported","2","No_Service","P"
"3100","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,387,16587,"1","1","1","1","0","0","0","0","0","0","1","1","5","3","0","1",13,8,"0","Spouse",45,"Female","White","Married_spouse_present","3","No_not_in_school","Grade_12","Not_enrolled","Employed","Yes_in_labor_force",24,47,"Works_for_wages_salary","1-13_weeks","40_hours","Worked_more_than_10_yrs_ago","Yes",2617,2617,0,"0",0,0,0,112,"Same_house","0","No_Service","P"
"3989","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)",4e+05,0,227716,"2","1","1","1","2","0","1","1","0","1","0","0","5","0","0","1",99,99,"2","Child",11,"Male","White","Never_married_single","7","Yes_in_school","Grade_1-4","Public_school","Employed","Yes_in_labor_force",0,0,"Works_for_wages_salary","50-52_weeks","40_hours","Never_worked","No",0,999999,999999,"999999",99999,99999,99999,501,"Moved_place_not_reported","0","No_Service","P"
"6876","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)",225000,0,60600,"1","1","1","1","0","0","0","0","0","0","2","1","5","3","1","1",16,2,"0","Head_Householder",37,"Male","White","Married_spouse_present","3","No_not_in_school","1_to_3_years_of_college","Not_enrolled","Employed","Yes_in_labor_force",32,49,"Works_for_wages_salary","50-52_weeks","40_hours","Never_worked","Yes",36000,36000,0,"0",0,0,0,410,"Moved_place_not_reported","2","No_Service","P"
"6763","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,412,25476,"1","1","1","1","0","0","0","0","0","0","1","1","6","4","2","1",8,1,"0","Spouse",31,"Female","Black_Negro","Married_spouse_present","4","No_not_in_school","Grade_1-4","Not_enrolled","Employed","Yes_in_labor_force",22,18,"Works_for_wages_salary","50-52_weeks","15-29_hours","Worked_previous_yr","Yes",6356,6356,0,"0",0,0,0,154,"Same_house","0","No_Service","P"
"1327","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,675,4224,"1","1","0","0","0","0","0","0","0","0","0","0","6","0","0","1",99,99,"0","Grandchild",6,"Male","Other_Asian_or_Pacific","Never_married_single","3","Yes_in_school","None_or_preschool","Public_school","Employed","Yes_in_labor_force",0,0,"Self-employed","40-47_weeks","49-59_hours","Worked_3-5_yrs_ago","Yes",0,999999,999999,"999999",99999,99999,99999,25,"Moved_place_not_reported","0","No_Service","P"
"8748","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,512,45000,"1","1","0","0","0","0","0","0","0","0","1","1","2","0","0","1",99,99,"0","Spouse",27,"Female","White","Married_spouse_present","No_children","Yes_in_school","1_to_3_years_of_college","Public_school","Employed","Yes_in_labor_force",14,26,"Works_for_wages_salary","48-49_weeks","15-29_hours","Never_worked","Yes",10000,10000,0,"0",0,0,0,501,"Moved_place_not_reported","0","No_Service","P"
