"","Style","Price","Rating","Size","Season","NeckLine","SleeveLength","waiseline","Material","FabricType","Decoration","Pattern","Class"
"117","casual","low",4.7,"l","autumn","o-neck","full","natural","cotton","chiffon","lace","print","1"
"345","casual","average",4.7,"xl","winter","v-neck","short","empire","milksilk","broadcloth","applique","print","1"
"408","casual","average",4.3,"m","autumn","o-neck","sleevless","natural","polyster","chiffon","plain","solid","1"
"106","cute","low",4.7,"m","spring","o-neck","short","empire","polyster","chiffon","ruffles","dot","2"
"63","casual","average",4.7,"m","spring","o-neck","sleevless","natural","polyster","chiffon","sashes","solid","1"
"223","casual","low",4.8,"free","summer","o-neck","sleevless","natural","cotton","chiffon","sashes","print","2"
"425","casual","average",4.7,"m","summer","o-neck","sleevless","natural","cotton","chiffon","ruffles","dot","1"
"315","casual","average",5,"free","winter","o-neck","sleevless","natural","polyster","broadcloth","lace","solid","2"
"50","sexy","low",5,"free","summer","v-neck","sleevless","empire","cotton","chiffon","sequined","animal","2"
"410","casual","low",5,"free","summer","o-neck","sleevless","natural","model","jersey","plain","solid","2"
"474","casual","average",4.6,"m","spring","o-neck","halfsleeve","natural","polyster","chiffon","lace","solid","1"
"137","novelty","average",4.9,"l","autumn","o-neck","short","natural","polyster","chiffon","ruffles","print","2"
"497","casual","average",4.7,"m","summer","v-neck","full","empire","cotton","worsted","lace","solid","2"
"494","brief","average",4.7,"m","winter","o-neck","halfsleeve","natural","acrylic","chiffon","sashes","striped","1"
"281","party","very-high",4.5,"m","spring","v-neck","cap-sleeves","natural","silk","worsted","lace","solid","2"
"142","sexy","low",4.5,"l","spring","o-neck","sleevless","natural","cotton","worsted","lace","solid","1"
"284","party","high",4.6,"m","summer","slash-neck","sleevless","natural","nylon","chiffon","pearls","solid","2"
"169","brief","average",4.6,"free","winter","o-neck","full","natural","mix","chiffon","sashes","solid","1"
"47","casual","average",4.74739285714286,"m","summer","o-neck","halfsleeve","natural","cotton","chiffon","ruffles","dot","2"
"203","sexy","average",5,"m","summer","v-neck","sleevless","empire","cotton","chiffon","sequined","solid","2"
"294","casual","high",5,"free","summer","v-neck","sleevless","natural","nylon","sattin","pearls","print","2"
"23","sexy","average",4.7,"s","summer","v-neck","sleevless","empire","cotton","chiffon","sequined","solid","2"
"180","casual","average",4.5,"free","summer","o-neck","short","natural","cotton","jersey","pockets","solid","2"
"213","work","low",4.5,"m","winter","v-neck","threequarter","natural","polyster","chiffon","bow","patchwork","1"
"422","casual","average",4.2,"free","summer","o-neck","sleevless","natural","cotton","worsted","lace","striped","2"
"224","casual","average",5,"s","winter","o-neck","sleevless","empire","polyster","chiffon","ruffles","plaid","1"
"399","casual","average",4.8,"free","winter","o-neck","sleevless","natural","polyster","chiffon","sashes","solid","1"
"397","bohemian","low",4.4,"l","summer","bowneck","short","natural","cotton","chiffon","none","dot","1"
"162","casual","average",3.7,"free","autumn","boat-neck","full","natural","other","other","plain","solid","2"
"42","casual","average",4.8,"m","winter","o-neck","short","natural","lycra","broadcloth","applique","patchwork","1"
"0","sexy","low",4.6,"m","summer","o-neck","sleevless","empire","milksilk","chiffon","ruffles","animal","2"
"414","casual","low",4.7,"l","summer","o-neck","full","natural","mix","worsted","lace","patchwork","2"
"77","casual","low",4.79166666666667,"free","spring","v-neck","sleevless","natural","cotton","chiffon","sequined","print","1"
"495","casual","low",4.7,"m","spring","o-neck","full","natural","polyster","chiffon","sashes","solid","2"
"283","party","high",4.8,"m","summer","sweetheart","sleevless","princess","nylon","sattin","pearls","print","2"
"115","cute","average",4.3,"l","winter","o-neck","sleevless","natural","polyster","chiffon","sashes","solid","1"
"232","casual","low",5,"s","spring","o-neck","sleevless","natural","chiffonfabric","chiffon","flowers","print","1"
"292","work","average",5,"free","winter","o-neck","half","natural","microfiber","chiffon","embroidary","print","1"
"60","cute","high",4.65783333333333,"m","spring","v-neck","full","natural","rayon","chiffon","beading","solid","2"
"85","casual","low",4.9,"l","summer","boat-neck","short","natural","cotton","chiffon","button","patchwork","2"
"326","bohemian","low",5,"free","spring","o-neck","short","natural","nylon","jersey","sashes","print","2"
"496","sexy","low",4.3,"free","summer","o-neck","full","empire","cotton","chiffon","button","solid","1"
"354","casual","average",4.7,"m","summer","o-neck","thressqatar","natural","chiffonfabric","chiffon","ruched","solid","1"
"490","casual","low",4.8,"free","winter","bowneck","full","natural","polyster","chiffon","bow","solid","1"
"299","casual","very-high",4.6,"m","winter","o-neck","short","natural","chiffonfabric","chiffon","flowers","solid","2"
"48","casual","low",4.7,"m","summer","o-neck","sleevless","empire","milksilk","chiffon","ruffles","solid","1"
"391","brief","low",4.6,"m","summer","o-neck","short","natural","cotton","chiffon","ruffles","animal","1"
"241","sexy","average",4.7,"m","winter","v-neck","sleevless","natural","polyster","broadcloth","lace","patchwork","1"
"245","casual","low",4.6,"m","summer","o-neck","sleevless","natural","cotton","chiffon","sashes","striped","1"
"304","vintage","average",4.9,"free","summer","o-neck","urndowncollor","empire","polyster","chiffon","embroidary","print","1"
"305","vintage","average",4.7,"s","summer","turndowncollor","short","empire","cotton","chiffon","button","plaid","1"
"246","casual","average",4.7,"l","spring","v-neck","halfsleeve","natural","silk","broadcloth","applique","print","2"
"238","casual","average",4.7,"l","summer","o-neck","sleevless","natural","silk","chiffon","beading","solid","1"
"218","casual","low",4.6,"l","winter","o-neck","full","natural","cotton","worsted","applique","patchwork","1"
"134","bohemian","average",4.7,"l","autumn","o-neck","sleevless","natural","polyster","chiffon","none","solid","1"
"461","casual","average",4.5,"m","summer","o-neck","full","natural","cotton","worsted","lace","solid","1"
"458","work","average",5,"m","summer","o-neck","sleveless","natural","polyster","broadcloth","rivet","solid","2"
"390","casual","average",4.61724166666667,"m","spring","o-neck","halfsleeve","natural","acrylic","chiffon","lace","solid","1"
"52","casual","average",3.821,"l","spring","o-neck","halfsleeve","natural","polyster","chiffon","hollowout","solid","2"
"438","bohemian","low",4.6,"free","winter","o-neck","sleevless","empire","polyster","chiffon","none","patchwork","2"
"396","casual","average",4.5,"free","summer","o-neck","short","natural","polyster","chiffon","cascading","solid","1"
"64","sexy","low",4,"s","autumn","o-neck","sleevless","empire","cotton","worsted","lace","solid","2"
"356","vintage","low",4,"free","summer","turndowncollor","short","natural","cotton","wollen","hollowout","solid","1"
"478","cute","average",5,"m","autumn","v-neck","sleevless","natural","cotton","chiffon","rivet","solid","1"
"123","sexy","low",4.82555757575757,"free","winter","v-neck","sleevless","empire","cotton","chiffon","sequined","solid","2"
"76","casual","average",5,"xl","winter","boat-neck","full","natural","cotton","worsted","applique","geometric","2"
"217","casual","low",4.6,"free","summer","o-neck","full","natural","cotton","worsted","lace","solid","2"
"97","casual","average",4.71,"free","winter","v-neck","full","natural","polyster","chiffon","ruffles","print","1"
"193","cute","average",4.67208333333334,"m","summer","o-neck","short","natural","cotton","chiffon","rivet","print","1"
"18","brief","average",4.62626666666667,"m","winter","peterpan-collor","threequarter","natural","cotton","chiffon","bow","patchwork","1"
"272","party","very-high",4.9,"m","spring","sweetheart","sleevless","natural","silk","chiffon","beading","solid","2"
"30","casual","average",4.6,"l","autumn","o-neck","sleevless","empire","polyster","chiffon","ruffles","solid","1"
"173","casual","average",4.5,"m","winter","v-neck","sleevless","natural","cotton","chiffon","button","striped","1"
"236","bohemian","average",5,"m","spring","slash-neck","sleevless","empire","polyster","chiffon","ruffles","solid","2"
"74","casual","low",4.4,"s","autumn","o-neck","sleevless","natural","polyster","chiffon","plain","solid","1"
"15","casual","low",4.173,"free","winter","boat-neck","full","natural","other","other","lace","solid","1"
"452","casual","average",4.8,"l","autumn","boat-neck","sleevless","natural","polyster","chiffon","sashes","solid","1"
"264","party","very-high",4.9,"m","spring","sweetheart","sleeevless","empire","rayon","chiffon","beading","print","2"
"348","casual","low",4.7,"free","winter","o-neck","sleevless","natural","milksilk","chiffon","ruffles","animal","2"
"91","casual","average",4.8,"l","winter","o-neck","short","natural","cotton","jersey","pockets","solid","2"
"121","vintage","average",4.80393333333333,"free","summer","o-neck","sleevless","empire","polyster","chiffon","embroidary","print","1"
"151","vintage","medium",4.70743333333333,"s","winter","turndowncollor","halfsleeve","natural","cotton","broadcloth","lace","plaid","1"
"387","casual","low",4.7,"free","summer","o-neck","full","natural","cotton","worsted","lace","solid","2"
"206","vintage","average",4.5,"l","autumn","o-neck","sleevless","empire","cotton","worsted","lace","solid","1"
"248","casual","average",4.7,"m","summer","o-neck","sleevless","natural","polyster","chiffon","sashes","character","1"
"440","sexy","low",4.5,"free","summer","o-neck","sleevless","empire","cotton","corduroy","sashes","solid","2"
"228","casual","average",5,"free","summer","v-neck","sleevless","empire","modal","chiffon","ruffles","patchwork","1"
"139","cute","average",4.3,"free","summer","boat-neck","sleevless","natural","cotton","worsted","lace","striped","2"
"125","casual","average",4.4,"m","summer","o-neck","short","empire","cotton","corduroy","lace","patchwork","1"
"439","casual","low",4.6,"free","autumn","o-neck","full","natural","rayon","worsted","lace","solid","2"
"363","casual","average",4.1,"l","winter","o-neck","sleevless","natural","polyster","chiffon","hollowout","solid","2"
"499","casual","low",4.4,"free","summer","v-neck","short","empire","cotton","corduroy","lace","solid","1"
"270","party","average",4.8,"l","spring","sweetheart","sleevless","empire","microfiber","organza","pleat","solid","2"
"467","casual","low",4.4,"l","summer","o-neck","sleevless","natural","cotton","chiffon","sashes","solid","1"
"337","casual","low",4.4,"free","spring","o-neck","sleevless","natural","polyster","chiffon","sashes","print","1"
"436","party","average",4.7,"m","spring","o-neck","halfsleeve","empire","cotton","shiffon","feathers","patchwork","1"
"211","casual","average",5,"m","winter","o-neck","sleevless","natural","polyster","chiffon","sashes","solid","2"
"126","cute","low",4.9,"m","autumn","o-neck","short","natural","chiffonfabric","chiffon","bow","dot","1"
"132","work","average",4.6,"m","spring","v-neck","full","natural","acrylic","chiffon","lace","solid","1"
"40","brief","average",5,"free","spring","v-neck","sleevless","natural","cotton","broadcloth","lace","solid","2"
"35","casual","low",4.6,"free","winter","boat-neck","full","natural","cotton","worsted","applique","patchwork","2"
"296","casual","medium",4.7,"m","spring","o-neck","sleevless","natural","cotton","chiffon","bow","patchwork","2"
"394","casual","low",5,"free","winter","o-neck","full","natural","wool","worsted","applique","solid","1"
"386","bohemian","average",4,"free","winter","o-neck","sleevless","natural","polyster","chiffon","ruffles","striped","1"
"302","casual","average",4.8,"free","summer","o-neck","sleevless","natural","cotton","chiffon","sashes","solid","1"
"116","casual","average",4.5,"l","spring","o-neck","short","natural","cotton","chiffon","bow","patchwork","1"
"460","casual","low",4.6,"free","spring","v-neck","sleevless","natural","silk","chiffon","draped","solid","1"
"49","casual","medium",4.72313333333333,"l","winter","boat-neck","full","empire","polyster","chiffon","bow","solid","2"
"285","party","medium",4.7,"m","winter","o-neck","sleevless","empire","cotton","chiffon","button","solid","2"
"253","casual","average",4.9,"m","autumn","v-neck","sleevless","empire","polyster","chiffon","applique","print","2"
"71","sexy","low",4.68173333333333,"m","spring","v-neck","short","natural","polyster","satin","ruffles","solid","2"
"366","brief","average",4.9,"free","winter","o-neck","sleevless","natural","polyster","chiffon","sashes","solid","1"
"167","brief","average",4.9,"free","summer","slash-neck","sleevless","natural","cotton","broadcloth","sequined","solid","1"
"308","casual","average",4.8,"l","autumn","o-neck","short","natural","cashmere","chiffon","embroidary","print","1"
"112","casual","average",4.74716666666667,"m","autumn","o-neck","short","empire","polyster","chiffon","applique","print","1"
"233","cute","average",4.6513222943723,"m","winter","o-neck","short","natural","polyster","chiffon","sashes","solid","1"
"453","cute","average",4.5,"l","winter","v-neck","sleevless","natural","polyster","jersey","sashes","solid","2"
"72","sexy","average",4.2,"m","winter","v-neck","sleevless","natural","cotton","flannael","lace","solid","1"
"26","sexy","average",4.7,"m","spring","o-neck","sleevless","natural","polyster","chiffon","sashes","solid","2"
"336","casual","low",4.7,"s","summer","o-neck","full","natural","cotton","shiffon","feathers","patchwork","1"
"14","casual","low",5,"m","summer","boat-neck","short","natural","cotton","chiffon","sashes","solid","1"
"61","casual","average",4.60265,"free","spring","o-neck","short","natural","cotton","chiffon","hollowout","plaid","1"
"131","sexy","average",4.6,"m","winter","o-neck","full","natural","polyster","broadcloth","lace","patchwork","2"
"34","party","high",4.7,"m","spring","o-neck","threequarter","princess","nylon","sattin","pearls","print","1"
"333","sexy","low",4.8,"free","summer","slash-neck","sleevless","empire","silk","corduroy","lace","solid","1"
"335","casual","average",4.5,"m","winter","o-neck","sleevless","natural","polyster","chiffon","ruched","striped","1"
"184","sexy","low",4.3,"free","winter","v-neck","sleevless","natural","silk","worsted","lace","solid","2"
"152","sexy","low",4.7,"free","summer","turndowncollor","sleevless","natural","cotton","broadcloth","sequined","solid","2"
"327","casual","low",5,"free","spring","bowneck","sleevless","natural","silk","chiffon","applique","print","1"
"479","cute","low",4.5957,"free","spring","v-neck","sleevless","natural","silk","worsted","lace","patchwork","2"
"428","sexy","medium",4.80766111111111,"free","winter","o-neck","sleevless","natural","polyster","broadcloth","sequined","solid","1"
"230","casual","average",4.6,"free","winter","v-neck","full","natural","cotton","flannel","sequined","striped","1"
"27","casual","low",4.68883333333333,"l","summer","o-neck","sleevless","natural","cotton","jersey","pockets","print","1"
"277","party","very-high",4.722,"m","winter","o-neck","full","natural","cotton","shiffon","feathers","patchwork","2"
"147","casual","average",4.8,"l","winter","v-neck","short","empire","polyster","chiffon","ruffles","solid","1"
"301","party","high",4.5,"m","winter","o-neck","sleevless","natural","nylon","chiffon","pearls","solid","2"
"59","work","average",4.66166666666666,"m","autumn","slash-neck","sleevless","natural","polyster","chiffon","bow","patchwork","1"
"355","sexy","low",4.5,"free","summer","slash-neck","sleevless","empire","polyster","corduroy","hollowout","solid","1"
"92","ol","medium",4.63233333333333,"m","winter","mandarin-collor","halfsleeve","natural","cotton","broadcloth","sashes","solid","1"
"201","casual","average",4.1,"m","autumn","v-neck","full","natural","polyster","chiffon","sashes","solid","2"
"331","cute","low",4.67094444444444,"l","spring","o-neck","sleevless","empire","polyster","chiffon","sashes","leopard","2"
"240","casual","average",4.7,"m","winter","v-neck","sleevless","empire","polyster","chiffon","applique","print","1"
"407","casual","low",4.7,"l","autumn","o-neck","short","natural","polyster","shiffon","pockets","patchwork","2"
"412","casual","low",4.7,"free","winter","o-neck","sleevless","natural","milksilk","chiffon","ruffles","animal","1"
"487","sexy","average",4.78329444444444,"free","winter","slash-neck","sleevless","natural","cotton","broadcloth","sequined","solid","2"
"456","sexy","low",4.75847857142857,"free","summer","v-neck","sleevless","dropped","cotton","broadcloth","sequined","solid","2"
"293","party","very-high",4.9,"m","spring","v-neck","sleevless","empire","rayon","sattin","beading","solid","2"
"359","casual","low",4.7,"s","winter","o-neck","sleeevless","natural","knitting","chiffon","lace","solid","1"
"469","cute","average",4.7,"l","summer","o-neck","sleevless","natural","polyster","broadcloth","lace","solid","1"
"446","sexy","high",5,"m","summer","v-neck","sleevless","natural","mix","chiffon","pearls","striped","1"
"493","bohemian","low",4.6,"free","summer","o-neck","sleevless","natural","cotton","chiffon","none","solid","2"
"409","casual","average",4.63411071428571,"xl","winter","v-neck","short","empire","polyster","shiffon","pockets","solid","2"
"466","casual","average",4.8,"m","summer","o-neck","halfsleeve","natural","cotton","chiffon","ruffles","dot","1"
"309","sexy","low",4.7,"free","spring","v-neck","sleeveless","natural","cotton","flannel","sequined","striped","2"
"346","casual","low",4.629,"l","winter","v-neck","full","natural","mix","worsted","applique","solid","1"
"208","cute","average",4.7,"l","summer","o-neck","sleevless","natural","cotton","worsted","lace","print","1"
"244","casual","average",4.7275,"m","winter","o-neck","full","natural","cotton","jersey","feathers","solid","2"
"81","party","average",4.7,"m","spring","v-neck","sleevless","natural","polyster","chiffon","hollowout","solid","1"
"96","casual","average",4.80879166666667,"m","spring","o-neck","sleevless","natural","silk","chiffon","embroidary","print","1"
"393","casual","average",5,"m","spring","o-neck","thressqatar","natural","spandex","chiffon","ruched","striped","1"
"468","casual","average",4.3,"m","winter","slash-neck","sleeveless","natural","polyster","chiffon","sashes","solid","1"
"340","casual","low",4.7,"free","spring","o-neck","halfsleeve","natural","silk","chiffon","sashes","print","1"
"55","novelty","average",4.6813,"s","winter","turndowncollor","full","natural","cotton","shiffon","feathers","patchwork","1"
"364","casual","average",4.2,"m","winter","v-neck","full","empire","polyster","flannael","lace","patchwork","2"
"267","party","very-high",4.8,"l","spring","sweetheart","sleevless","empire","microfiber","organza","beading","solid","2"
"198","sexy","average",5,"l","winter","o-neck","threequarter","natural","polyster","broadcloth","lace","geometric","1"
"371","sexy","low",4.7,"m","winter","v-neck","sleevless","natural","polyster","chiffon","ruched","striped","1"
"177","brief","average",4.3,"m","spring","o-neck","full","natural","mix","worsted","sequined","patchwork","2"
"200","casual","average",4.7,"s","summer","v-neck","short","natural","cotton","chiffon","ruffles","dot","1"
"321","sexy","average",4.5,"m","summer","bowneck","sleevless","natural","cotton","chiffon","bow","solid","1"
"258","party","high",4.61479166666667,"m","winter","sweetheart","sleevless","natural","nylon","chiffon","pearls","solid","1"
"100","fashion","average",4,"free","summer","open","full","natural","cotton","wollen","sequined","solid","1"
"260","party","average",5,"m","winter","o-neck","capsleeves","empire","polyster","broadcloth","lace","solid","2"
"324","casual","average",5,"l","winter","o-neck","thressqatar","natural","polyster","broadcloth","applique","solid","1"
"1","casual","low",4.65886255411255,"l","summer","o-neck","petal","natural","microfiber","chiffon","ruffles","animal","1"
"290","party","very-high",4.9,"l","spring","slash-neck","sleevless","natural","chiffonfabric","chiffon","flowers","print","2"
"130","casual","low",4.6111,"m","summer","v-neck","full","natural","acrylic","worsted","lace","solid","1"
