"","Sex","Age","Debt","Married","BankCustomer","EducationLevel","Ethicity","Years_employed","PriorDefault","Employed","CreditScore","Driverslicense","Citizen","Zipcode","Income","class"
"168","b",36.67,3.25,"u","g","q","h",9,"t","f",0,"t","g",102,639,"+"
"597","a",21.5,6,"u","g","aa","v",2.5,"t","t",3,"f","g",80,918,"+"
"466","b",31.08,3.085,"u","g","c","v",2.5,"f","t",2,"t","g",160,41,"-"
"107","a",25,11,"y","p","aa","v",4.5,"t","f",0,"f","g",120,0,"-"
"529","b",43.25,25.21,"u","g","q","h",0.21,"t","t",1,"f","g",760,90,"-"
"555","b",41.92,0.42,"u","g","c","h",0.21,"t","t",6,"f","g",220,948,"+"
"422","b",29.42,1.25,"u","g","w","v",1.75,"f","f",0,"f","g",200,0,"-"
"90","b",62.5,12.75,"y","p","c","h",5,"t","f",0,"f","g",112,0,"-"
"163","b",32,1.75,"y","p","e","h",0.04,"t","f",0,"t","g",393,0,"+"
"543","b",36.33,3.79,"u","g","w","v",1.165,"t","f",0,"t","g",200,0,"-"
"478","b",22.75,11.5,"u","g","i","v",0.415,"f","f",0,"f","g",0,0,"-"
"50","a",25.75,0.5,"u","g","c","h",0.875,"t","f",0,"t","g",491,0,"+"
"118","b",57.83,7.04,"u","g","m","v",14,"t","t",6,"t","g",360,1332,"+"
"464","a",23,1.835,"u","g","j","j",0,"f","t",1,"f","g",200,53,"-"
"228","b",19.67,0.375,"u","g","q","v",2,"t","t",2,"t","g",80,0,"+"
"641","b",33.17,2.25,"y","p","cc","v",3.5,"f","f",0,"t","g",200,141,"-"
"380","b",43.17,5,"u","g","i","bb",2.25,"f","f",0,"t","g",141,0,"-"
"672","a",50.25,0.835,"u","g","aa","v",0.5,"f","f",0,"t","g",240,117,"-"
"88","b",34,4.5,"u","g","aa","v",1,"t","f",0,"t","g",240,0,"-"
"532","b",43.17,2.25,"u","g","i","bb",0.75,"t","f",0,"f","g",560,0,"-"
"590","b",30.17,6.5,"u","g","cc","v",3.125,"t","t",8,"f","g",330,1200,"+"
"356","b",41.17,1.335,"u","g","d","v",0.165,"f","f",0,"f","g",168,0,"-"
"683","b",36.42,0.75,"y","p","d","v",0.585,"f","f",0,"f","g",240,3,"-"
"70","b",32.33,7.5,"u","g","e","bb",1.585,"t","f",0,"t","s",420,0,"-"
"687","a",25.25,13.5,"y","p","ff","ff",2,"f","t",1,"t","g",200,1,"-"
"314","b",16.25,0,"y","p","aa","v",0.25,"f","f",0,"f","g",60,0,"-"
"218","b",53.92,9.625,"u","g","e","v",8.665,"t","t",5,"f","g",0,0,"+"
"413","b",40.58,1.5,"u","g","i","bb",0,"f","f",0,"f","s",300,0,"-"
"492","b",39.25,9.5,"u","g","m","v",6.5,"t","t",14,"f","g",240,4607,"+"
"569","a",35.75,0.915,"u","g","aa","v",0.75,"t","t",4,"f","g",0,1583,"+"
"270","b",37.58,0,"u","g","i","bb",0,"f","f",0,"f","p",211.082853479853,0,"+"
"545","b",44.25,11,"y","p","d","v",1.5,"t","f",0,"f","s",0,0,"-"
"512","a",44.33,0,"u","g","c","v",2.5,"t","f",0,"f","g",0,0,"+"
"573","a",65.17,14,"u","g","ff","ff",0,"t","t",11,"t","g",0,1400,"+"
"116","b",37.75,7,"u","g","q","h",11.5,"t","t",7,"t","g",300,5,"-"
"473","b",19.17,4,"y","p","i","v",1,"f","f",0,"t","g",360,1000,"-"
"167","a",32.33,0.54,"u","g","cc","v",0.04,"t","f",0,"f","g",440,11177,"+"
"40","b",34.17,9.17,"u","g","c","v",4.5,"t","t",12,"t","g",0,221,"+"
"391","b",39.92,5,"u","g","i","bb",0.21,"f","f",0,"f","g",550,0,"-"
"280","b",21.17,0.875,"y","p","c","h",0.25,"f","f",0,"f","g",280,204,"-"
"4","b",20.17,5.625,"u","g","w","v",1.71,"t","f",0,"f","s",120,0,"+"
"329","b",30.1012667505464,4,"y","p","i","v",0.085,"f","f",0,"t","g",411,0,"-"
"491","b",24.17,0.875,"u","g","q","v",4.625,"t","t",2,"t","g",520,2000,"+"
"19","a",19.17,8.585,"u","g","cc","h",0.75,"t","t",7,"f","g",96,0,"+"
"182","a",20.67,3,"u","g","q","v",0.165,"t","t",3,"f","g",100,6,"+"
"567","a",25.17,2.875,"u","g","x","h",0.875,"t","f",0,"f","g",360,0,"+"
"78","b",21.67,1.165,"y","p","k","v",2.5,"t","t",1,"f","g",180,20,"-"
"513","b",20.25,9.96,"u","g","e","dd",0,"t","f",0,"f","g",0,0,"+"
"68","b",19.42,6.5,"u","g","w","h",1.46,"t","t",7,"f","g",80,2954,"+"
"623","b",18.83,0,"u","g","q","v",0.665,"f","f",0,"f","g",160,1,"-"
"472","b",17.42,6.5,"u","g","i","v",0.125,"f","f",0,"f","g",60,100,"-"
"638","b",28.58,3.625,"u","g","aa","v",0.25,"f","f",0,"t","g",100,0,"-"
"295","a",31.92,3.125,"u","g","ff","ff",3.04,"f","t",2,"t","g",200,4,"-"
"140","a",31.25,3.75,"u","g","cc","h",0.625,"t","t",9,"t","g",181,0,"+"
"131","b",20.42,1.835,"u","g","c","v",2.25,"t","t",1,"f","g",100,150,"+"
"41","b",28.92,15,"u","g","c","h",5.335,"t","t",11,"f","g",0,2283,"+"
"664","b",31.08,1.5,"y","p","w","v",0.04,"f","f",0,"f","s",160,0,"-"
"192","b",41.75,0.96,"u","g","x","v",2.5,"t","f",0,"f","g",510,600,"+"
"293","b",35.75,2.415,"u","g","w","v",0.125,"f","t",2,"f","g",220,1,"-"
"396","b",29.83,2.04,"y","p","x","h",0.04,"f","f",0,"f","g",128,1,"-"
"263","a",20.42,10.5,"y","p","x","h",0,"f","f",0,"t","g",154,32,"-"
"176","b",25,12.5,"u","g","aa","v",3,"t","f",0,"t","s",20,0,"+"
"367","b",39.42,1.71,"y","p","m","v",0.165,"f","f",0,"f","s",400,0,"-"
"432","b",21.83,1.54,"u","g","k","v",0.085,"f","f",0,"t","g",356,0,"-"
"562","b",23.33,1.5,"u","g","c","h",1.415,"t","f",0,"f","g",422,200,"+"
"138","a",18.83,9.5,"u","g","w","v",1.625,"t","t",6,"t","g",40,600,"+"
"519","b",39.17,1.71,"u","g","x","v",0.125,"t","t",5,"t","g",480,0,"+"
"319","b",36.75,0.125,"y","p","c","v",1.5,"f","f",0,"t","g",232,113,"+"
"114","b",20.67,1.25,"y","p","c","h",1.375,"t","t",3,"t","g",140,210,"-"
"452","b",36.5,4.25,"u","g","q","v",3.5,"f","f",0,"f","g",454,50,"-"
"449","b",20,7,"u","g","c","v",0.5,"f","f",0,"f","g",0,0,"-"
"583","b",32.67,9,"y","p","w","h",5.25,"t","f",0,"t","g",154,0,"+"
"395","a",33.08,1.625,"u","g","d","v",0.54,"f","f",0,"t","g",0,0,"-"
"450","b",36.8978453703704,3,"y","p","i","bb",7,"f","f",0,"f","g",0,1,"-"
"217","b",55.92,11.5,"u","g","ff","ff",5,"t","t",5,"f","g",0,8851,"+"
"158","b",28,2,"u","g","k","h",4.165,"t","t",2,"t","g",181,0,"+"
"640","b",34.17,2.75,"u","g","i","bb",2.5,"f","f",0,"t","g",232,200,"-"
"494","a",18.83,4.415,"y","p","c","h",3,"t","f",0,"f","g",240,0,"+"
"108","b",40.92,2.25,"y","p","x","h",10,"t","f",0,"t","g",176,0,"-"
"518","a",28.17,0.375,"u","g","q","v",0.585,"t","t",4,"f","g",80,0,"+"
"538","b",34.25,1.75,"u","g","w","bb",0.25,"t","f",0,"t","g",163,0,"-"
"392","b",27.42,12.5,"u","g","aa","bb",0.25,"f","f",0,"t","g",720,0,"-"
"85","b",37.17,4,"u","g","c","bb",5,"t","f",0,"t","s",280,0,"-"
"44","b",56.42,28,"y","p","c","v",28.5,"t","t",40,"f","g",0,15,"+"
"111","a",24.5,1.04,"y","p","ff","ff",0.5,"t","t",3,"f","g",180,147,"-"
"26","a",47,13,"u","g","i","bb",5.165,"t","t",9,"t","g",0,0,"+"
"221","b",65.42,11,"u","g","e","z",20,"t","t",7,"t","g",22,0,"+"
"265","b",17.08,0.085,"y","p","c","v",0.04,"f","f",0,"f","g",140,722,"-"
"157","a",68.67,15,"u","g","e","z",0,"t","t",14,"f","g",0,3376,"+"
"128","b",34.42,4.25,"u","g","i","bb",3.25,"t","t",2,"f","g",274,610,"+"
"315","b",23,0.75,"u","g","m","v",0.5,"t","f",0,"t","s",320,0,"-"
"385","b",34,5.5,"y","p","c","v",1.5,"f","f",0,"t","g",60,0,"-"
"174","b",22.67,10.5,"u","g","q","h",1.335,"t","f",0,"f","g",100,0,"+"
"299","b",22.17,12.125,"u","g","c","v",3.335,"f","t",2,"t","g",180,173,"-"
"260","b",32.75,2.335,"u","g","d","h",5.75,"f","f",0,"t","g",292,0,"-"
"165","a",40.83,10,"u","g","q","h",1.75,"t","f",0,"f","g",29,837,"+"
"584","a",28.08,15,"y","p","e","z",0,"t","f",0,"f","g",0,13212,"+"
"339","b",28,3,"u","g","w","v",0.75,"f","f",0,"t","g",300,67,"-"
"91","b",31.42,15.5,"u","g","c","v",0.5,"t","f",0,"f","g",120,0,"-"
"411","b",25.17,3,"u","g","c","v",1.25,"f","t",1,"f","g",0,22,"-"
"98","a",22.5,11,"y","p","q","v",3,"t","f",0,"t","g",268,0,"-"
"515","b",37.3947050925926,10.5,"u","g","x","v",6.5,"t","f",0,"f","g",0,0,"+"
"127","b",22.75,11,"u","g","q","v",2.5,"t","t",7,"t","g",100,809,"+"
"681","b",27.83,1,"y","p","d","h",3,"f","f",0,"f","g",176,537,"-"
"557","a",32.17,1.46,"u","g","w","v",1.085,"t","t",16,"f","g",120,2079,"+"
"434","b",58.58,2.71,"u","g","c","v",2.415,"f","f",0,"t","g",320,0,"-"
"115","a",25.42,1.125,"u","g","q","v",1.29,"t","t",2,"f","g",200,0,"-"
"191","b",42,0.205,"u","g","i","h",5.125,"t","f",0,"f","g",400,0,"+"
"84","b",27.25,0.625,"u","g","aa","v",0.455,"t","f",0,"t","g",200,0,"-"
"301","b",18.25,0.165,"u","g","d","v",0.25,"f","f",0,"t","s",280,0,"-"
"207","b",28.67,9.335,"u","g","q","h",5.665,"t","t",6,"f","g",381,168,"+"
"601","a",42.25,1.75,"y","p","ff","ff",0,"f","f",0,"t","g",150,1,"-"
"382","a",24.33,2.5,"y","p","i","bb",4.5,"f","f",0,"f","g",200,456,"-"
"276","a",19.17,5.415,"u","g","i","h",0.29,"f","f",0,"f","g",80,484,"-"
"86","b",29.7652415746753,0.375,"u","g","d","v",0.875,"t","f",0,"t","s",928,0,"-"
"483","b",23.75,0.415,"y","p","c","v",0.04,"f","t",2,"f","g",128,6,"-"
"502","a",64.08,0.165,"u","g","ff","ff",0,"t","t",1,"f","g",232,100,"+"
"304","a",24.75,13.665,"u","g","q","h",1.5,"f","f",0,"f","g",280,1,"-"
"654","a",23.58,0.83,"u","g","q","v",0.415,"f","t",1,"t","g",200,11,"-"
"514","b",22.67,2.54,"y","p","c","h",2.585,"t","f",0,"f","g",0,0,"+"
"568","b",43.08,0.375,"y","p","c","v",0.375,"t","t",8,"t","g",300,162,"+"
"311","b",19,1.75,"y","p","c","v",2.335,"f","f",0,"t","g",112,6,"-"
"551","b",51.33,10,"u","g","i","bb",0,"t","t",11,"f","g",0,1249,"+"
"57","b",44.33,0.5,"u","g","i","h",5,"t","f",0,"t","g",320,0,"+"
"307","b",18.58,10.29,"u","g","ff","ff",0.415,"f","f",0,"f","g",80,0,"-"
"484","b",34.67,1.08,"u","g","m","v",1.165,"f","f",0,"f","s",28,0,"-"
"110","b",29.17,3.5,"u","g","w","v",3.5,"t","t",3,"t","g",329,0,"-"
"341","b",42.75,4.085,"u","g","aa","v",0.04,"f","f",0,"f","g",108,100,"-"
"660","b",22.25,9,"u","g","aa","v",0.085,"f","f",0,"f","g",0,0,"-"
"645","b",37.33,2.665,"u","g","cc","v",0.165,"f","f",0,"t","g",0,501,"-"
"121","b",25.67,12.5,"u","g","cc","v",1.21,"t","t",67,"t","g",140,258,"+"
"43","b",39.58,13.915,"u","g","w","v",8.625,"t","t",6,"t","g",70,0,"+"
"389","b",22.92,0.17,"u","g","m","v",0.085,"f","f",0,"f","s",0,0,"-"
"47","b",31.92,4.46,"u","g","cc","h",6.04,"t","t",3,"f","g",311,300,"+"
"99","a",28.5,1,"u","g","q","v",1,"t","t",2,"t","g",167,500,"-"
"312","a",16.33,0.21,"u","g","aa","v",0.125,"f","f",0,"f","g",200,1,"-"
"231","a",47.42,3,"u","g","x","v",13.875,"t","t",2,"t","g",519,1704,"+"
"480","a",16.92,0.5,"u","g","i","v",0.165,"f","t",6,"t","g",240,35,"-"
"359","a",36.75,4.71,"u","g","ff","ff",0,"f","f",0,"f","g",160,0,"-"
"10","b",22.08,0.83,"u","g","c","h",2.165,"f","f",0,"t","g",128,0,"+"
"309","a",31.75,3,"y","p","j","j",0,"f","f",0,"f","g",160,20,"-"
"212","b",60.08,14.5,"u","g","ff","ff",18,"t","t",15,"t","g",0,1000,"+"
"544","b",30.08,1.04,"y","p","i","bb",0.5,"t","t",10,"t","g",132,28,"-"
"684","b",40.58,3.29,"u","g","m","v",3.5,"f","f",0,"t","s",400,0,"-"
"255","b",18.17,10.25,"u","g","c","h",1.085,"f","f",0,"f","g",320,13,"-"
"264","b",50.75,0.585,"u","g","ff","ff",0,"f","f",0,"f","g",145,0,"-"
"53","b",34.92,2.5,"u","g","w","v",0,"t","f",0,"t","g",239,200,"+"
"145","b",32.83,2.5,"u","g","cc","h",2.75,"t","t",6,"f","g",160,2072,"+"
"556","b",29.58,4.5,"u","g","w","v",7.5,"t","t",2,"t","g",330,0,"+"
"30","b",29.25,14.79,"u","g","aa","v",5.04,"t","t",5,"t","g",168,0,"+"
"235","a",20.67,1.835,"u","g","q","v",2.085,"t","t",5,"f","g",220,2503,"+"
"327","b",40.83,3.5,"u","g","i","bb",0.5,"f","f",0,"f","s",1160,0,"-"
"214","b",26.67,2.71,"y","p","cc","v",5.25,"t","t",1,"f","g",211,0,"+"
"5","b",32.08,4,"u","g","m","v",2.5,"t","f",0,"t","g",360,0,"+"
"524","a",28.58,1.665,"u","g","q","v",2.415,"t","f",0,"t","g",440,0,"-"
"587","b",51.58,15,"u","g","c","v",8.5,"t","t",9,"f","g",0,0,"+"
"547","b",23.92,1.5,"u","g","d","h",1.875,"t","t",6,"f","g",200,327,"+"
"249","b",21.83,11,"u","g","x","v",0.29,"t","t",6,"f","g",121,0,"+"
"527","a",57.08,0.335,"u","g","i","bb",1,"t","f",0,"t","g",252,2197,"-"
"613","b",19.33,10.915,"u","g","c","bb",0.585,"f","t",2,"t","g",200,7,"-"
"257","b",20,0,"u","g","d","v",0.5,"f","f",0,"f","g",144,0,"-"
"294","a",16.08,0.335,"u","g","ff","ff",0,"f","t",1,"f","g",160,126,"-"
"495","b",19.17,9.5,"u","g","w","v",1.5,"t","f",0,"f","g",120,2206,"+"
"287","b",29.5,0.58,"u","g","w","v",0.29,"f","t",1,"f","g",340,2803,"-"
"233","b",27.67,13.75,"u","g","w","v",5.75,"t","f",0,"t","g",487,500,"+"
"600","a",29.5,0.46,"u","g","k","v",0.54,"t","t",4,"f","g",380,500,"+"
"627","b",36.08,2.54,"u","g","ff","ff",0,"f","f",0,"f","g",0,1000,"-"
"525","b",45.17,1.5,"u","g","c","v",2.5,"t","f",0,"t","g",140,0,"-"
"418","b",38.42,0.705,"u","g","c","v",0.375,"f","t",2,"f","g",225,500,"-"
"605","a",29.58,1.75,"y","p","k","v",1.25,"f","f",0,"t","g",280,0,"-"
"204","b",36.33,2.125,"y","p","w","v",0.085,"t","t",1,"f","g",50,1187,"+"
"242","b",28.33,5,"u","g","w","v",11,"t","f",0,"t","g",70,0,"+"
"129","a",28.42,3.5,"u","g","w","v",0.835,"t","f",0,"f","s",280,0,"+"
"197","b",48.17,7.625,"u","g","w","h",15.5,"t","t",12,"f","g",0,790,"+"
"398","b",26.17,12.5,"y","p","k","h",1.25,"f","f",0,"t","g",0,17,"-"
"54","b",34.25,3,"u","g","cc","h",7.415,"t","f",0,"t","g",0,0,"+"
"181","a",21.25,2.335,"u","g","i","bb",0.5,"t","t",4,"f","s",80,0,"+"
"615","b",29.42,1.25,"u","g","c","h",0.25,"f","t",2,"t","g",400,108,"-"
"60","b",56.75,12.25,"u","g","m","v",1.25,"t","t",4,"t","g",200,0,"+"
"347","b",26.75,4.5,"y","p","c","bb",2.5,"f","f",0,"f","g",200,1210,"-"
"669","b",51.83,2.04,"y","p","ff","ff",1.5,"f","f",0,"f","g",120,1,"-"
"64","b",26.67,4.25,"u","g","cc","v",4.29,"t","t",1,"t","g",120,0,"+"
"624","b",21.58,0.79,"y","p","cc","v",0.665,"f","f",0,"f","g",160,0,"-"
"136","b",39.92,0.54,"y","p","aa","v",0.5,"t","t",3,"f","g",200,1000,"+"
"589","b",25.33,0.58,"u","g","c","v",0.29,"t","t",7,"t","g",96,5124,"+"
"324","b",33.67,1.25,"u","g","w","v",1.165,"f","f",0,"f","g",120,0,"-"
"626","b",22,7.835,"y","p","i","bb",0.165,"f","f",0,"t","g",229.460666666667,0,"-"
"361","b",23.08,2.5,"u","g","ff","ff",0.085,"f","f",0,"t","g",100,4208,"-"
"65","b",34.17,1.54,"u","g","cc","v",1.54,"t","t",1,"t","g",520,50000,"+"
"100","b",37.5,1.75,"y","p","c","bb",0.25,"t","f",0,"t","g",164,400,"-"
"286","a",28.3863283333333,1.5,"u","g","ff","ff",0,"f","t",2,"t","g",200,105,"-"
"244","b",18.5,2,"u","g","i","v",1.5,"t","t",2,"f","g",120,300,"+"
"205","a",35.42,12,"u","g","q","h",14,"t","t",8,"f","g",0,6590,"+"
"634","a",23.75,0.71,"u","g","w","v",0.25,"f","t",1,"t","g",240,4,"-"
"511","a",46,4,"u","g","j","j",0,"t","f",0,"f","g",100,960,"+"
"500","b",34.1171390538847,4,"u","g","x","v",5,"t","t",3,"t","g",290,2279,"+"
"679","a",20.08,1.25,"u","g","c","v",0,"f","f",0,"f","g",0,0,"-"
"431","b",22.92,3.165,"y","p","c","v",0.165,"f","f",0,"f","g",160,1058,"-"
"379","b",33.58,0.25,"u","g","i","bb",4,"f","f",0,"t","s",420,0,"-"
"458","b",36.17,5.5,"u","g","i","bb",5,"f","f",0,"f","g",210,687,"-"
"581","b",41,0.04,"u","g","e","v",0.04,"f","t",1,"f","s",560,0,"+"
"446","b",16.5,0.125,"u","g","c","v",0.165,"f","f",0,"f","g",132,0,"-"
"152","b",37.33,6.5,"u","g","m","h",4.25,"t","t",12,"t","g",93,0,"+"
"16","b",28.25,0.875,"u","g","m","v",0.96,"t","t",3,"t","g",396,0,"+"
"189","a",33.08,4.625,"u","g","q","h",1.625,"t","t",2,"f","g",0,0,"+"
"32","b",49.5,7.585,"u","g","i","bb",7.585,"t","t",15,"t","g",0,5000,"+"
"522","b",22.83,3,"u","g","m","v",1.29,"t","t",1,"f","g",260,800,"+"
"667","a",17.92,0.54,"u","g","c","v",1.75,"f","t",1,"t","g",80,5,"-"
"208","b",35.17,2.5,"u","g","k","v",4.5,"t","t",7,"f","g",150,1270,"+"
"655","a",21.08,5,"y","p","ff","ff",0,"f","f",0,"f","g",0,0,"-"
"621","b",22.67,0.165,"u","g","c","j",2.25,"f","f",0,"t","s",0,0,"+"
"342","b",26.92,2.25,"u","g","i","bb",0.5,"f","f",0,"t","g",640,4000,"-"
"275","b",18.58,5.71,"u","g","d","v",0.54,"f","f",0,"f","g",120,0,"-"
"633","b",32.42,2.165,"y","p","k","ff",0,"f","f",0,"f","g",120,0,"-"
"591","b",27,0.75,"u","g","c","h",4.25,"t","t",3,"t","g",312,150,"+"
"503","b",28.25,5.125,"u","g","x","v",4.75,"t","t",2,"f","g",420,7,"+"
"596","a",46.08,3,"u","g","c","v",2.375,"t","t",8,"t","g",396,4159,"+"
"282","b",17.67,4.46,"u","g","c","v",0.25,"f","f",0,"f","s",80,0,"-"
"352","b",22.5,11.5,"y","p","m","v",1.5,"f","f",0,"t","g",0,4000,"-"
"474","b",20.67,0.415,"u","g","c","v",0.125,"f","f",0,"f","g",0,44,"-"
"225","b",23.25,4,"u","g","c","bb",0.25,"t","f",0,"t","g",160,0,"+"
"183","a",57.08,19.5,"u","g","c","v",5.5,"t","t",7,"f","g",0,3000,"+"
"35","b",27.83,1.5,"u","g","w","v",2,"t","t",11,"t","g",434,35,"+"
"403","a",22.67,0.335,"u","g","q","v",0.75,"f","f",0,"f","s",160,0,"-"
"340","a",39.08,4,"u","g","c","v",3,"f","f",0,"f","g",480,0,"-"
"51","b",26,1,"u","g","q","v",1.75,"t","f",0,"t","g",280,0,"+"
"161","b",44,2,"u","g","m","v",1.75,"t","t",2,"t","g",0,15,"+"
"302","b",23.42,1,"u","g","c","v",0.5,"f","f",0,"t","s",280,0,"-"
"83","a",31.5985712359022,3.5,"u","g","d","v",3,"t","f",0,"t","g",300,0,"-"
"66","a",36,1,"u","g","c","v",2,"t","t",11,"f","g",0,456,"+"
"424","b",33.67,2.165,"u","g","c","v",1.5,"f","f",0,"f","p",120,0,"-"
"289","a",21.75,1.75,"y","p","j","j",0,"f","f",0,"f","g",160,0,"-"
"490","a",47.25,0.75,"u","g","q","h",2.75,"t","t",1,"f","g",333,892,"+"
"451","b",39.5,1.625,"u","g","c","v",1.5,"f","f",0,"f","g",0,316,"-"
"334","b",34.75,2.5,"u","g","cc","bb",0.5,"f","f",0,"f","g",348,0,"-"
"564","b",42.17,5.04,"u","g","q","h",12.75,"t","f",0,"t","g",92,0,"+"
"593","b",34.17,5.25,"u","g","w","v",0.085,"f","f",0,"t","g",290,6,"+"
"454","b",52.42,1.5,"u","g","d","v",3.75,"f","f",0,"t","g",0,350,"-"
"542","b",19.67,10,"y","p","k","h",0.835,"t","f",0,"t","g",140,0,"-"
"362","b",26.83,0.54,"u","g","k","ff",0,"f","f",0,"f","g",100,0,"-"
"644","b",36.17,0.42,"y","p","w","v",0.29,"f","f",0,"t","g",309,2,"-"
"439","b",25.92,0.875,"u","g","k","v",0.375,"f","t",2,"t","g",174,3,"-"
"285","b",17.58,10,"u","g","w","h",0.165,"f","t",1,"f","g",120,1,"-"
"366","a",22.75,6.165,"u","g","aa","v",0.165,"f","f",0,"f","g",220,1000,"-"
"348","b",63.33,0.54,"u","g","c","v",0.585,"t","t",3,"t","g",180,0,"-"
"663","b",32.08,4,"y","p","cc","v",1.5,"f","f",0,"t","g",120,0,"-"
"12","a",38.25,6,"u","g","k","v",1,"t","f",0,"t","g",0,0,"+"
"481","b",23.5,3.165,"y","p","k","v",0.415,"f","t",1,"t","g",280,80,"-"
"303","a",15.92,2.875,"u","g","q","v",0.085,"f","f",0,"f","g",120,0,"-"
"6","b",33.17,1.04,"u","g","r","h",6.5,"t","f",0,"t","g",164,31285,"+"
"81","a",27.67,1.5,"u","g","m","v",2,"t","f",0,"f","s",368,0,"-"
"433","b",25.25,1,"u","g","aa","v",0.5,"f","f",0,"f","g",200,0,"-"
"256","b",20,11.045,"u","g","c","v",2,"f","f",0,"t","g",136,0,"-"
"420","b",35,2.5,"u","g","i","v",1,"f","f",0,"t","g",210,0,"-"
"467","a",30.42,1.375,"u","g","w","h",0.04,"f","t",3,"f","g",0,33,"-"
"448","b",31.25,1.125,"u","g","ff","ff",0,"f","t",1,"f","g",96,19,"-"
"109","a",19.75,0.75,"u","g","c","v",0.795,"t","t",5,"t","g",140,5,"-"
"373","b",26.25,1.54,"u","g","w","v",0.125,"f","f",0,"f","g",100,0,"-"
"430","b",51.83,3,"y","p","ff","ff",1.5,"f","f",0,"f","g",180,4,"-"
"353","b",30.75,1.585,"u","g","d","v",0.585,"f","f",0,"t","s",0,0,"-"
"281","b",23.92,0.585,"y","p","cc","h",0.125,"f","f",0,"f","g",240,1,"-"
"224","a",37.75,5.5,"u","g","q","v",0.125,"t","f",0,"t","g",228,0,"+"
"18","b",21.83,0.25,"u","g","d","h",0.665,"t","f",0,"t","g",0,0,"+"
"370","b",33,2.5,"y","p","w","v",7,"f","f",0,"t","g",280,0,"-"
"305","b",48.75,26.335,"y","p","ff","ff",0,"t","f",0,"t","g",0,0,"-"
"326","b",30.17,1.085,"y","p","c","v",0.04,"f","f",0,"f","g",170,179,"-"
